top_category	second_layer_family	status	definition	include_terms	exclude_terms	example_third_layer_names	key_specs	priority	note
紧固件与连接件	螺母	target	内螺纹配套紧固件	螺母；防松螺母；六角螺母	气管接头螺母；接头组件	六角螺母；防松螺母	螺纹规格；材质；强度等级；表面处理	P1	接头部件螺母要谨慎，不一定归本族
紧固件与连接件	垫圈/垫片	target	紧固件配套承压、防松或密封垫片	平垫；弹垫；垫圈；垫片	法兰垫片；橡胶密封垫；定制垫片	平垫圈；弹簧垫圈	适配螺纹；外径；厚度；材质；硬度	P1	密封用途强的垫片后续可拆到密封件
紧固件与连接件	螺杆/丝杆	target	长杆状外螺纹件	螺杆；丝杆；通丝螺杆；全螺纹丝杆	螺杆泵；泵配件	通丝螺杆；全螺纹丝杆	螺纹规格；长度；材质；强度等级；表面处理	P1	注意排除设备中的螺杆泵
紧固件与连接件	管卡/抱箍	target	用于固定管线或构件的卡箍类紧固件	管卡；抱箍；U型卡；卡箍	消防卡箍；液压管夹	管卡；U型抱箍	适配管径；材质；结构形式；表面处理	P1	消防卡箍优先归安全消防或管道连接
紧固件与连接件	钉类	target	钉入式固定件	铁钉；水泥钉；钢钉；射钉	螺丝；膨胀锚栓	水泥钉；铁钉	规格；长度；材质；包装数量	P2	低风险长尾
紧固件与连接件	销/卡簧	target	销轴、弹性销、卡簧等定位或限位件	销；钢销；弹性销；卡簧；开口销	螺丝；螺母	弹性销；卡簧	直径；长度；材质；结构形式	P2	后续可按机械标准件治理
紧固件与连接件	扣件/连接件	target	脚手架扣件、角码、挂钩等连接件	扣件；角码；挂钩；接驳器；山型卡	吊钩；膨胀锚栓	脚手架扣件；角码；钢筋接驳器	规格；材质；适配对象；承载要求	P2	先保守聚合，后续按数量拆分
液压气动	液压接头	target	液压系统中用于油路连接的接头	液压接头；高压接头；油管接头；对丝	气动接头；水暖接头；消防接头	液压直通接头；液压弯头接头	螺纹规格；连接形式；适配管径；压力等级；材质；密封形式	P0	高压不自动等于液压，需要结合油管、液压词判断
液压气动	气动接头	target	压缩空气系统管路接头	气动接头；快插；PU管接头；气管接头	液压接头；水管接头	气动快插接头；PU管接头	适配管径；螺纹规格；连接形式；材质；耐压	P1	与电气接头、水暖接头分边界
液压气动	胶管总成	target	带两端接头或扣压件的胶管组合件	胶管总成；扣压胶管；高压胶管总成	普通胶管；气管；管材	高压胶管总成；液压胶管总成	胶管规格；长度；压力等级；两端接头；扣压形式	P0	项目风险高，优先治理
液压气动	高压油管/胶管	target	未明确总成但用于高压油路的软管	高压油管；高压胶管；钢丝软管；树脂管	消防水带；金属软管	高压油管；高压钢丝软管	内径；长度；压力等级；层数；材质	P0	和胶管总成边界需由是否带接头判断
液压气动	气管	target	气动系统用软管	气管；PU管；气源管	水管；电线管	PU气管；气源管	外径；内径；材质；颜色；耐压	P2	数量少但模板简单
液压气动	液压气动阀	target	液压或气动系统控制阀	电磁阀；气动阀；气源处理件	水暖阀门；电气开关	气动电磁阀；常闭气动阀	阀型；接口规格；电压；压力范围；通径	P1	和管材管件阀门、电气电料边界要按系统用途
电气电料	电线电缆	target	输配电和信号传输线缆	电线；电缆；护套线；成品网线	扎带；热缩管；电缆接头	电缆；电线；成品网线	型号；芯数；截面积；电压等级；材质；阻燃要求	P0	电缆和网线可后续按弱电拆分
电气电料	电缆附件	target	电缆连接、固定、防水、绝缘附件	电缆接头；防水接头；热缩管；线鼻子；端子	管道接头；气动接头	电缆防水接头；热缩管；铜线鼻子	适配线径；材质；连接方式；防护等级	P0	与接线端子可能交叉，按用途聚合
电气电料	接线端子/线鼻子	target	电线端接和压接端子	接线端子；冷压端子；铜鼻子；线鼻子	铜接头水暖件	接线端子；冷压线鼻端子	适配线径；孔径；材质；绝缘方式	P0	当前数量大，适合优先模板化
电气电料	开关插座	target	建筑和临电用开关、插座、插头、插线板	开关；插座；插头；插线板；底盒	断路器；漏保	一位开关；插座；插头	额定电流；电压；孔位；安装方式；防护等级	P1	低风险但采购频繁
电气电料	低压电器	target	断路器、漏电保护器、接触器等控制保护元件	断路器；漏电保护器；接触器；继电器	普通开关；插座	小型断路器；漏电保护器	极数；额定电流；分断能力；曲线；品牌型号	P0	安全风险高，不能让 AI 猜型号
电气电料	照明光源	target	灯泡、灯管、灯具和照明配件	灯泡；灯管；LED灯；灯具	爆闪灯；警示灯	LED灯泡；灯管	功率；电压；色温；接口；长度	P2	与安全警示灯按用途分边界
电气电料	电工辅材	target	绝缘、捆扎、安装辅材	电工胶布；扎带；绝缘胶带；波纹管	包装胶带；管道胶带	电工胶布；尼龙扎带	规格；材质；长度；颜色；耐温/阻燃	P1	扎带用途可跨类，电气优先按实际来源
劳保防护	手套	target	手部防护用品	手套；帆布手套；乳胶手套；焊工手套；浸胶手套	扳手套筒；手套箱	帆布手套；乳胶手套；焊工手套	材质；尺码；防护用途；厚度；包装单位	P0	第三层要按商品名拆，不把全部叫手套
劳保防护	安全帽/头部防护	target	头部防护用品	安全帽；帽衬；草帽	安全帽配件非防护用途	安全帽；安全帽帽衬	材质；颜色；规格；认证标准	P1	安全类需认证或有效期字段
劳保防护	眼面防护	target	眼镜、面罩、镜片等	防护眼镜；焊工眼镜；焊罩；镜片	普通眼镜	防护眼镜；焊工眼镜；焊罩镜片	防护类型；镜片等级；适用场景	P1	焊接相关可与焊接切割交叉，按防护用品归劳保
劳保防护	呼吸防护	target	口罩、防毒面具等呼吸防护用品	口罩；防尘口罩；防毒面具	普通纸巾	防尘口罩；一次性口罩	防护等级；类型；包装数量	P1	安全风险高
劳保防护	足部防护	target	劳保鞋、雨鞋等	劳保鞋；雨鞋；高帮劳保鞋	普通拖鞋	雨鞋；劳保鞋	尺码；材质；防护等级；颜色	P1	尺码不应进入物料族
劳保防护	安全带/安全绳	target	坠落防护用品	安全带；五点式安全带；安全绳；生命绳	普通绳；尼龙绳	五点式安全带；安全绳	长度；承载；标准；挂点；材质	P0	安全风险高，应优先治理
工具量具	扳手	target	手动拧紧工具	扳手；活动扳手；内六角扳手；梅花扳手	电动扳手；扳手套筒	活动扳手；内六角扳手	规格；类型；材质；品牌	P1	套筒与扳手分族
工具量具	套筒	target	套筒及套筒套装	套筒；套筒头；套筒套装	扳手；电动扳手	套筒；套筒套装	规格；方榫；件数；材质	P1	常和扳手混，第二层先分开
工具量具	钳类	target	夹持、剪切、剥线等钳类工具	钳；尖嘴钳；老虎钳；剥线钳；管钳	管卡；钳形表	尖嘴钳；剥线钳；管钳	类型；规格；绝缘等级；材质	P1	管钳可以保留在钳类
工具量具	螺丝刀/批类	target	手动螺丝刀和批类工具	螺丝刀；批头；取出器	螺丝；电动螺丝刀	十字螺丝刀；一字螺丝刀；螺丝取出器	头型；规格；长度；绝缘等级	P1	必须排除螺丝紧固件
工具量具	测量工具	target	长度、水平、电气检测等工具	卷尺；水平尺；测绳；测电笔	仪表；传感器	卷尺；水平尺；测电笔	量程；精度；长度；品牌	P1	测电笔是否电气可按工具用途保留
工具量具	刀具/刃具	target	美工刀、刀片、剪切刃具	美工刀；刀片；剪刀；刮刀	切割片；钻头	美工刀；美工刀片	规格；材质；刀片宽度	P2	与工具耗材切割片分边界
工具量具	锤铲撬工具	target	锤、铲、撬等土建手工具	锤；铁锹；撬杠；撬棍	电镐；风镐	手锤；方头铁锹；撬杠	规格；材质；长度；重量	P2	低风险，可后续治理
工具耗材	钻头	target	钻孔耗材	钻头；冲击钻头；麻花钻；合金钻头	电钻；钻夹头；钻尾螺丝	冲击钻头；麻花钻头；合金钻头	直径；长度；柄型；适用材质；材质	P0	第三层按钻头类型拆
工具耗材	开孔器	target	开孔类耗材	开孔器；宝塔钻；扩孔器	电钻；钻头夹具	宝塔钻开孔器；合金开孔器	规格范围；柄型；适用材质	P1	可从钻头里拆出
工具耗材	切磨耗材	target	切割、磨削、抛光耗材	切割片；磨光片；砂轮片；百叶轮；钢丝轮	切割机；角磨机	切割片；砂轮片；百叶轮	直径；厚度；孔径；适用材质	P1	与焊接切割按工具耗材归属
工具耗材	刷涂耗材	target	刷漆、清洁表面处理耗材	毛刷；滚筒刷；钢丝刷；漆刷	扫把；拖把	毛刷；滚筒刷；钢丝刷	宽度；材质；长度；用途	P2	钢丝刷可与清洁工具交叉，按工具耗材保留
工具耗材	砂纸/磨料	target	砂纸、磨料、石笔等耗材	砂纸；磨片；石笔	切割片	砂纸；石笔	粒度；尺寸；材质；包装	P2	低风险
吊装索具	吊带/吊装带	target	柔性吊装带和吊装袋	吊带；吊装带；吊装袋；吊包	安全带；包装袋	扁平吊带；吊装袋	额定载荷；长度；宽度；层数；安全系数	P0	安全风险高
吊装索具	卸扣/卡环	target	吊装连接卸扣、卡环	卸扣；卡环；蝴蝶扣	消防卡箍；管卡	弓形卸扣；D型卸扣	额定载荷；规格；材质；安全系数	P0	和紧固件分开
吊装索具	钢丝绳	target	钢丝绳及配套夹扣	钢丝绳；钢丝绳夹；铝扣	安全绳；电缆	钢丝绳；钢丝绳卡扣	直径；结构；长度；破断拉力；表面处理	P0	当前已有多规格，需优先治理
吊装索具	葫芦/起重工具	target	手拉葫芦、卷扬机等起重工具	葫芦；手拉葫芦；卷扬机	电动工具	手拉葫芦；卷扬机	额定载荷；起升高度；链条规格	P1	可与施工机具边界按起重用途判断
吊装索具	吊钩/吊具	target	吊钩、吊具、起重钳	吊钩；吊具；起重钳；鸭嘴吊具	普通挂钩	吊钩；钢板起重钳	额定载荷；开口；材质；适用对象	P1	安全责任重
金属材料	型钢	target	槽钢、角钢、工字钢、方钢等结构型材	槽钢；角钢；角铁；工字钢；方钢；扁钢	钢管；钢板	槽钢；角钢；工字钢	规格；材质；长度；表面处理	P0	角铁归角钢或别名，不单独做族
金属材料	钢管	target	结构或金属材料属性的钢管	钢管；无缝管；镀锌管；方管	输送管材；PPR管	无缝钢管；镀锌方管	规格；壁厚；材质；长度；表面处理	P0	和管材管件阀门的输送管要按用途分边界
金属材料	钢板/板材	target	钢板、铁皮、不锈钢板等板材	钢板；铁皮；镀锌铁皮；不锈钢板	定制钢板加工件	钢板；镀锌铁皮	厚度；宽度；长度；材质；表面处理	P1	定制切割件走定制加工件
金属材料	钢筋/线材	target	钢筋、铁丝、扎丝等线材	钢筋；螺纹钢筋；铁丝；扎丝；不锈钢丝网	钢丝绳；电线	螺纹钢筋；铁丝；扎丝	直径；材质；长度/重量；表面处理	P1	钢丝绳归吊装索具
建筑材料	水泥砂石	target	水泥、砂、石等基础建材	水泥；黄砂；沙子；石子	水泥钉；水泥砖	水泥；黄砂；石子	强度等级；粒径；包装；单位	P0	高频基础材料
建筑材料	砖板模板	target	砖、板、模板、木方等土建材料	水泥砖；建筑模板；木方；方木；板材	金属板材；定制板	建筑模板；木方；水泥砖	规格；材质；厚度；长度；等级	P0	木方和方木应合并口径
建筑材料	防水保温材料	target	防水、保温、止水类材料	止水针头；挤塑板；防水卷材；聚氨酯	密封胶；油漆	阻燃挤塑板；注浆止水针头	规格；材质；厚度；适用场景	P1	和化工胶粘涂料按施工用途分边界
建筑材料	装饰装修材料	target	墙纸、墙布、地板胶等装修材料	墙纸；墙布；地板胶；亚克力板	办公后勤家具	墙纸；地板胶	规格；材质；颜色；厚度	P2	低频长尾
化工胶粘涂料	油漆涂料	target	油漆、防锈漆、自喷漆、乳胶漆等	油漆；防锈漆；自喷漆；乳胶漆；地坪漆	胶水；清洗剂	自喷漆；防锈漆；乳胶漆	颜色；容量；类型；适用基材；品牌	P1	颜色应进 SKU，不建族
化工胶粘涂料	胶粘密封	target	胶水、密封胶、玻璃胶、发泡胶等	胶水；AB胶；密封胶；玻璃胶；发泡胶	生料带；焊条	玻璃胶；AB胶；密封胶	类型；容量；颜色；固化方式；适用材料	P1	与管道辅材按用途分边界
化工胶粘涂料	润滑防锈	target	润滑剂、防锈剂、除锈剂、防锈润滑剂	润滑剂；防锈剂；除锈剂；齿轮油	防锈漆	除锈剂；齿轮油；防锈润滑剂	类型；容量；粘度；适用设备	P2	设备保养常用
化工胶粘涂料	清洗脱漆剂	target	清洗剂、除胶剂、脱漆剂、松香水等	清洗剂；除胶剂；脱漆剂；松香水	洗洁精；办公清洁剂	重油污清洗剂；除胶剂	容量；用途；成分；安全要求	P2	和清洁办公后勤按工业用途区分
焊接切割	焊材	target	焊条、焊丝、碳棒等焊接材料	焊条；焊丝；碳棒	电焊钳；焊机配件	焊条；焊丝	牌号；直径；材质；包装重量	P0	直接影响焊接质量
焊接切割	焊割工具	target	割枪、割嘴、电焊钳、喷火枪等	割枪；割嘴；电焊钳；喷火枪；割炬	电动切割机；切割片	割枪；割嘴；电焊钳	型号；接口；适配气体；规格	P1	和工具量具区别为焊割专用
焊接切割	气体减压附件	target	氧气、乙炔、二氧化碳减压表和气路附件	氧气减压表；乙炔减压表；二氧化碳减压表	普通压力表	氧气减压表；乙炔减压表	适配气体；压力范围；接口规格	P1	安全相关
焊接切割	焊机配件	target	二保焊机、等离子、导电嘴等配件	导电嘴；分流器；绝缘套；等离子割嘴	焊条；电线	铜导电嘴；二保焊绝缘套	适配机型；规格；材质	P2	设备相关字段很关键
安全消防	消防器材	target	灭火器、消防箱等消防设施	灭火器；灭火器箱；消防箱	消防水带；消防接头	灭火器；灭火器箱	类型；容量；有效期；认证	P0	安全合规优先
安全消防	消防管件	target	消防水带、接头、卡箍、阀门等	消防水带；消防接头；消防卡箍；消防阀门	普通管件；水暖阀门	消防水带；消防接头	口径；压力等级；接口；认证	P0	和管材管件阀门按消防用途分开
安全消防	安全警示	target	警示牌、路锥、反光设施、爆闪灯等	警示牌；路锥；反光带；爆闪灯；减速带	普通灯具；办公标识	路锥；警示牌；爆闪灯	规格；颜色；材质；供电方式	P1	现场安全常用
安全消防	安全网/防护网	target	安全网、防坠网、防护网	安全网；防坠网；防护网	劳保安全绳	安全网；防坠安全网	尺寸；材质；网目；阻燃等级	P0	安全风险高
包装覆盖周转	覆盖材料	target	油布、彩条布、薄膜等覆盖材料	油布；彩条布；气泡膜；缠绕膜	防水卷材；地膜	油布；彩条布；缠绕膜	宽度；长度；厚度；材质	P2	常用低风险
包装覆盖周转	包装袋/吨袋	target	编织袋、吨袋、麻袋、自封袋等	编织袋；吨袋；麻袋；自封袋；集装袋	垃圾袋	编织袋；吨袋；麻袋	尺寸；承重；材质；包装数量	P2	与清洁垃圾袋分开
包装覆盖周转	胶带标签	target	胶带、标签、不干胶等包装标识用品	透明胶带；美纹纸；不干胶标签	电工胶布；生料带	透明胶带；不干胶标签	宽度；长度；材质；颜色	P2	按包装用途归类
包装覆盖周转	容器周转箱	target	水桶、油桶、周转箱、纸箱等容器	水桶；汽油桶；周转箱；纸箱	垃圾桶；消防箱	水桶；周转箱；纸箱	容量；尺寸；材质；承重	P2	和后勤垃圾桶区分用途
清洁办公后勤	清洁工具	target	扫把、拖把、抹布、垃圾桶等清洁工具	扫把；拖把；抹布；垃圾桶；吸油棉	油布；工具刷	扫把；拖把；垃圾桶	规格；材质；尺寸；用途	P2	后勤长尾，允许 needs_review
清洁办公后勤	清洁用品	target	洗洁精、清洁剂等后勤清洁消耗品	洗洁精；清洁剂；洗手液	工业清洗剂	洗洁精；清洁剂	容量；类型；香型/用途	P2	和工业清洗剂分开
清洁办公后勤	门窗五金	target	门锁、挂锁、合页、插销、锁扣等	门锁；挂锁；合页；插销；锁扣；闭门器	膨胀螺丝；角码	门锁；挂锁；合页	适配对象；材质；规格；颜色	P1	办公室门锁等用途限定可进三级名称或规格
清洁办公后勤	办公文具	target	记号笔、纸笔、办公用品	记号笔；笔；标签纸	油漆笔工业标识	记号笔	颜色；规格；包装数量	P2	低风险
清洁办公后勤	生活后勤	target	桌椅、凳子、床垫等生活后勤物品	凳子；床垫；电视支架；生活用品	工具梯子；设备支架	塑料方凳；床垫；电视支架	尺寸；材质；型号；承重	P3	非核心，按需治理
定制加工件	定制管路件	target	按图或现场需求加工的管路接头和管件	定制管路接头；加工接头；推进泵加长弯头	标准液压接头；标准水暖接头	定制管路接头	图纸号；材质；接口；尺寸；加工要求	P1	先不强行并入标准管件
定制加工件	定制板牌件	target	铭牌、标志牌、钢板切割等板牌加工件	铭牌；名牌；标志牌；定制钢板；数字牌	标准钢板；办公标牌	不锈钢铭牌；定制钢板	图纸号；材质；尺寸；厚度；文字内容	P2	定制内容必须结构化
定制加工件	定制结构件	target	抱箍、方柱、夹板、钢筋等加工结构件	加工件；抱箍加工件；方柱加工件；钢筋加工件	标准管卡；标准钢筋	钢筋加工件；抱箍加工件	图纸号；材质；尺寸；表面处理	P2	有图纸号优先
定制加工件	设备定制配件	target	与具体设备相关的非标配件	活塞；刮泥板；泵加长件；设备配件	标准设备备件	注浆机活塞；刮泥板	设备型号；图纸号；材质；尺寸	P2	不适合直接自动采购
设备备件	润滑配件	target	黄油嘴、油嘴、润滑附件	黄油嘴；油嘴；黄油嘴接头	液压接头；气动接头	黄油嘴；不锈钢黄油嘴	螺纹规格；角度；材质；表面处理	P1	数量集中，可优先小治理
设备备件	传动件	target	皮带、轴承、链条、轮类等传动件	皮带；轴承；链条；脚轮；叶轮	吊装链条；手推车	传动皮带；轴承；万向脚轮	型号；尺寸；材质；适配设备	P1	设备型号重要
设备备件	密封过滤件	target	机械密封、油封、滤芯、水封等	机械密封；油封；滤芯；水封	普通垫片	机械密封；滤芯；油封	型号；尺寸；材质；适配设备	P1	避免和紧固垫片混
设备备件	泵类配件	target	泵相关叶轮、活塞、枪头等配件	泵活塞；叶轮；枪头；水枪滤芯	整机水泵	泥浆泵活塞；高压水枪滤芯	适配设备；型号；材质；规格	P2	和施工机具整机区分
施工机具设备	泵类设备	target	潜水泵、污水泵、增压泵等整机	水泵；污水泵；潜水泵；增压泵；自吸泵	泵配件；胶管	污水泵；潜水泵；增压泵	流量；扬程；功率；口径；电压	P1	项目常用
施工机具设备	小型施工设备	target	振动棒、雾炮机、高压清洗机等施工设备	振动棒；雾炮机；高压清洗机；打码机	电动手工具	混凝土振动棒；雾炮机	功率；型号；规格；适用场景	P2	后续按设备台账区分资产/耗材
施工机具设备	手推搬运设备	target	手推车、气瓶车等搬运设备	手推车；氧气瓶手推车；乙炔瓶手推车	万向脚轮	氧气瓶手推车；乙炔瓶手推车	承重；尺寸；适配对象；材质	P2	和吊装索具不同
施工机具设备	泵油润滑设备	target	电动油脂泵、黄油泵等	油脂泵；黄油泵；抽油泵	黄油嘴	电动油脂泵；多点黄油泵	流量；压力；电压；接口	P2	设备和配件要分开
电动气动工具	电动工具	target	电钻、角磨机、电镐、热风机等电动工具	电钻；角磨机；电镐；热风机；切割机	钻头；切割片；钻夹头	电钻；角磨机；电镐	功率；电压；规格；品牌型号	P1	工具本体，不含耗材
电动气动工具	气动工具	target	气动扳手、风镐、吹尘枪等气动工具	气动扳手；风镐；吹尘枪	气动接头；气管	气动扳手；风镐	接口；耗气量；工作压力；规格	P1	和液压气动接头分开
电动气动工具	工具附件	target	电动工具配件和附件	碳刷；钻夹头；防护罩；钥匙；批头	钻头；切割片	碳刷；钻夹头；批头	适配工具；规格；型号	P2	和工具耗材可能交叉，按是否配件判断
弱电安防	网络通信	target	网线、水晶头、交换机、路由器等	网线；水晶头；交换机；路由器	电力电缆	成品网线；RJ45水晶头；交换机	类别；长度；端口数；速率	P1	可从电气电料独立
弱电安防	监控安防	target	摄像头、监控套装、报警器等	监控摄像头；监控套装；报警器；蜂鸣器	消防报警器	监控摄像头；声光报警器	型号；供电方式；防护等级；通讯方式	P1	安全相关但数量少
弱电安防	对讲通信	target	对讲机及配件	对讲机；通讯设备	手机；路由器	对讲机	频段；功率；型号；配件	P2	低数量
