issue_id	issue_type	severity	scope	affected_count	sample_item_codes	sample_names	recommended_action	owner_decision_needed
GOV-0019	synonym_connector	P0	synonym:接头/直接/直通	181	PIPE-000002；PIPE-000009；PIPE-000016；WELD-000002；ELEC-000043；METAL-000017；METAL-000018；METAL-000019	PPR直通；PPR内牙直通；PPR异径直接；电焊快速接头；防水网线接头；不锈钢卡扣接头；不锈钢加长接头；不锈钢卡套接头	按系统拆分：水暖/PPR/PVC/镀锌归标准管件，液压/气动/消防/电缆接头归各自专族。	yes
GOV-0020	synonym_lifting_sling	P2	synonym:吊带/吊装带/扁平吊装带	27	MAT-000016；MAT-000034；MAT-000035；MAT-000036；MAT-000042；MAT-000066；MAT-000067；MAT-000073	吊带；扁平吊装带；吊装带	吊带、吊装带可归并；扁平/环形作为型式属性，保留额定载荷和长度为必填。	no
GOV-0021	name_embeds_material	P1	name_attribute:不锈钢/PPR/镀锌	205	METAL-000001；PIPE-000001；PIPE-000002；PIPE-000003；PIPE-000004；PIPE-000005；PIPE-000007；PIPE-000008	不锈钢合页；PPR管；PPR直通；PPR弯头；PPR热熔机；PPR管剪刀；PPR三通；PPR内牙三通	材质/表面处理从标准名称迁移到规格属性；保留对搜索别名的兼容。	yes
GOV-0022	name_embeds_pressure_or_strength	P1	name_attribute:高压/高强度/防爆/耐磨	98	WELD-000001；PIPE-000035；PIPE-000039；PIPE-000040；PIPE-000041；ELEC-000040；SPARE-000021；SPARE-000022	耐磨焊丝；高压油管；高压铜球阀；LED防爆机床方形灯；高压水枪过滤总成；高压水枪滤芯；高压加厚接头；高压弯头	压力等级、强度或防护特征进入规格模板；高压同时用于液压边界判定，需人工确认。	yes
GOV-0023	name_embeds_form_factor	P2	name_attribute:加厚/内六角/五坑/扁平	51	SPARE-000012；SPARE-000013；TOOL-000028；PIPE-000046；SPARE-000031；SPARE-000032；TOOL-000064；TOOL-000075	加厚铁合页；内六角扳手；高压加厚接头；内六角螺丝；五坑钻头；扁平吊装带；加厚卡槽；内六角扳手套装	型式、柄型、厚度等属性不建议固化在族名；可脚本抽取候选属性后人工复核。	yes
GOV-0024	family_scope_screw	P0	material_family:螺丝	125	FAST-000001；SPARE-000014；SPARE-000015；SPARE-000016；SPARE-000017；SPARE-000018；SPARE-000019；SPARE-000020	膨胀螺丝；螺丝；鱼尾螺丝；骑马螺丝；内六角螺丝；高强度螺丝；六角螺丝；花篮螺丝	螺丝族混入膨胀锚栓、花篮螺丝、螺丝刀和套件语义；需要长词优先规则和成套口径。	yes
GOV-0025	family_scope_hydraulic_connector	P0	material_family:液压接头	73	METAL-000017；METAL-000018；METAL-000019；PIPE-000045；METAL-000020；METAL-000021；PIPE-000050；PIPE-000136	不锈钢卡扣接头；不锈钢加长接头；不锈钢加长弯头；不锈钢卡套接头；不锈钢卡套三通；高压油管接头；高压外接头；液压快速接头	液压接头与高压弯头、对丝、油管快接、铜接头边界重叠；需先定义液压系统判定词。	yes
GOV-0026	family_scope_pipe_connector	P0	material_family:直接/接头	63	PIPE-000002；PIPE-000009；PIPE-000016；PIPE-000020；PIPE-000031；PIPE-000032；PIPE-000067；PIPE-000070	PPR直通；PPR内牙直通；PPR异径直接；排水异径补心；不锈钢内接；不锈钢外接；PVC直通；UPVC直通	直接/接头是宽族，PPR/PVC/UPVC/镀锌和内外丝应作为系统、材质、连接属性；液压/气动/消防需排除。	yes
GOV-0027	family_scope_hose_assembly	P1	material_family:胶管总成	34	PIPE-000318；PIPE-000319；PIPE-000320；PIPE-000321；PIPE-000322；PIPE-000323；PIPE-000324；PIPE-000325	胶管总成；高压管总成	胶管总成规格高度依赖长度、层数和两端螺纹，缺一项就不能唯一选型。	yes
GOV-0028	family_scope_drill_bit	P1	material_family:钻头	57	TOOL-000012；TOOL-000013；TOOL-000048；TOOL-000049；TOOL-000050；TOOL-000051；TOOL-000052；TOOL-000053	冲击钻头；钨钢钻头；合金钻头；五坑钻头；钻头；麻花钻头；宝塔钻头开孔器；铣刀钻头	钻头按柄型、直径、长度、适用材质区分；五坑/冲击/麻花等不应拆成杂乱族名。	yes
GOV-0029	family_scope_cable	P1	material_family:电缆	22	ELEC-000030；ELEC-000052；ELEC-000053；ELEC-000054；ELEC-000071；ELEC-000072；ELEC-000073；ELEC-000104	电缆；电缆防水接头；电缆线；屏蔽信号电缆；金属电缆防水接头；电缆三角支架	电缆、电缆线、电线、电缆防水接头和支架需要本体/附件边界。	yes
GOV-0030	required_template_missing	P0	family_attributes_blank	947	ELEC-000002；ELEC-000003；ELEC-000004；ELEC-000005；CHEM-000001；ELEC-000008；TOOL-000001；CONST-000001	热缩管；电工胶布；聚氨酯堵漏剂；线盒；紧线器；木方；铁钉；墙纸	补齐物料族必填规格模板；优先处理高频族和所有 needs_review 的空模板族。	yes
GOV-0031	required_template_inconsistent	P1	material_family:螺丝	84	SPARE-000014；SPARE-000015；SPARE-000016；SPARE-000017；SPARE-000018；SPARE-000019；SPARE-000020；SPARE-000026	螺丝；鱼尾螺丝；骑马螺丝；内六角螺丝；高强度螺丝；六角螺丝；六角自攻螺丝；六角螺栓组件	该族现有规格键不统一（高频键：规格、强度等级、套件组成、成套、头型、类型、材质、包含）；需收敛为必填/选填模板并映射旧字段同义词。	yes
GOV-0032	required_template_inconsistent	P1	material_family:液压接头	73	METAL-000017；METAL-000018；METAL-000019；PIPE-000045；METAL-000020；METAL-000021；PIPE-000050；PIPE-000136	不锈钢卡扣接头；不锈钢加长接头；不锈钢加长弯头；不锈钢卡套接头；不锈钢卡套三通；高压油管接头；高压外接头；液压快速接头	该族现有规格键不统一（高频键：规格、类型、材质、螺纹、特征、连接、连接形式、型号/规格）；需收敛为必填/选填模板并映射旧字段同义词。	yes
GOV-0033	required_template_inconsistent	P1	material_family:直接/接头	63	PIPE-000002；PIPE-000009；PIPE-000016；PIPE-000020；PIPE-000031；PIPE-000032；PIPE-000067；PIPE-000070	PPR直通；PPR内牙直通；PPR异径直接；排水异径补心；不锈钢内接；不锈钢外接；PVC直通；UPVC直通	该族现有规格键不统一（高频键：规格、类型、连接、材质、品牌、表面、表面处理、直径）；需收敛为必填/选填模板并映射旧字段同义词。	yes
GOV-0034	required_template_inconsistent	P1	material_family:钻头	54	TOOL-000012；TOOL-000013；TOOL-000048；TOOL-000049；TOOL-000050；TOOL-000051；TOOL-000052；TOOL-000053	冲击钻头；钨钢钻头；合金钻头；五坑钻头；钻头；麻花钻头；二坑二槽钻头	该族现有规格键不统一（高频键：直径、规格、品牌、柄型、长度、材质、适用材质、材质/用途）；需收敛为必填/选填模板并映射旧字段同义词。	yes
GOV-0035	required_template_inconsistent	P1	material_family:胶管总成	34	PIPE-000318；PIPE-000319；PIPE-000320；PIPE-000321；PIPE-000322；PIPE-000323；PIPE-000324；PIPE-000325	胶管总成；高压管总成	该族现有规格键不统一（高频键：长度、层数、螺纹/规格、规格、螺纹、直径、配置）；需收敛为必填/选填模板并映射旧字段同义词。	yes
GOV-0036	required_template_inconsistent	P1	material_family:电缆	17	ELEC-000030；ELEC-000071；ELEC-000072；ELEC-000073；ELEC-000104；ELEC-000105；ELEC-000109；ELEC-000123	电缆；电缆线；屏蔽信号电缆	该族现有规格键不统一（高频键：规格、品牌、类型、芯数、截面积）；需收敛为必填/选填模板并映射旧字段同义词。	yes
