canonical_item_code	standard_item_name	standard_sku_name	minimal_required_specs	standard_uom	source_uoms	unit_resolution	brand	aliases	removed_default_fields	default_fill_basis	merged_from_item_codes	merged_count	merge_reasons	governance_reasons	target
SAFE-000055	手套	手套 全胶	材质：胶；类型：全胶	双	双	来源单位一致		全胶手套			SAFE-000055	1		全胶类型区分于其他胶手套	劳保防护/手套/手套
SAFE-000091	手套	手套 布加厚	材质：布；加厚：是	双	双	来源单位一致		加厚布手套；布手套			SAFE-000091	1		布材质加厚特征	劳保防护/手套/手套
SAFE-000020	手套	手套 布加厚双层	材质：布；层数：双层；加厚：是	双	双	来源单位一致		加厚双层布手套；布手套；布加厚双层手套			SAFE-000020；SAFE-000085	2	与SAFE-000085均为布加厚双层，规格一致；与SAFE-000020均为布加厚双层，规格一致	布材质与加厚双层是采购关键；布材质与加厚双层	劳保防护/手套/手套
SAFE-000096	手套	手套 帆布	材质：帆布	双	双	来源单位一致		帆布手套		原始库存单位为付，统一为双	SAFE-000096；SAFE-000133	2	与SAFE-000133均为帆布，规格一致；与SAFE-000096均为帆布，规格一致	仅材质帆布，最小规格；仅材质帆布	劳保防护/手套/手套
SAFE-000005	手套	手套 帆布加厚双层	材质：帆布；层数：双层；加厚：是	双	双	来源单位一致		加厚双层帆布手套；帆布手套			SAFE-000005；SAFE-000070	2	与SAFE-000070均为帆布加厚双层，规格一致；与SAFE-000005均为帆布加厚双层，规格一致	加厚和双层均为影响采购的关键特征，保留；加厚和双层关键特征	劳保防护/手套/手套
SAFE-000001	手套	手套 帆布双层	材质：帆布；层数：双层	双	双	来源单位一致		双重帆布手套；帆布手套；帆布双层手套；双层帆布手套			SAFE-000001；SAFE-000066	2	与SAFE-000066均为帆布双层，规格一致；与SAFE-000001均为帆布双层，规格一致	保留材质和层数作为关键规格，双层特征体现差异；保留材质和层数关键规格	劳保防护/手套/手套
SAFE-000016	手套	手套 挂胶厚	材质：胶；工艺：挂胶；厚度：厚	双	双	来源单位一致		厚挂胶手套；挂胶手套			SAFE-000016	1		挂胶工艺和厚度是主要区分特征	劳保防护/手套/手套
SAFE-000097	手套	手套 橡胶	材质：橡胶	双	双	来源单位一致		橡胶手套		原始库存单位为付，统一为双	SAFE-000097；SAFE-000142	2	与SAFE-000142均为橡胶，规格一致；与SAFE-000097均为橡胶，规格一致	材质橡胶	劳保防护/手套/手套
SAFE-000141	手套	手套 浸塑	工艺：浸塑	双	双	来源单位一致		浸塑手套		原始库存单位为付，统一为双	SAFE-000141	1		浸塑工艺，无材质信息	劳保防护/手套/手套
SAFE-000113	手套	手套 浸胶	材质：胶；工艺：浸胶	双	双	来源单位一致		浸胶手套		原始库存单位为付，统一为双	SAFE-000113	1		浸胶工艺	劳保防护/手套/手套
SAFE-000100	手套	手套 牛筋	材质：牛筋	双	双	来源单位一致		牛筋手套		原始库存单位为付，统一为双	SAFE-000100	1		牛筋材质	劳保防护/手套/手套
SAFE-000007	手套	手套 牛筋加厚	材质：牛筋；加厚：是	双	双	来源单位一致		牛筋加厚手套；牛筋手套			SAFE-000007	1		牛筋为俗称，但作为材质关键标识；加厚影响采购	劳保防护/手套/手套
SAFE-000062	手套	手套 胶	材质：胶	双	双	来源单位一致		胶手套			SAFE-000062	1		仅标注材质胶，保留最小规格	劳保防护/手套/手套
SAFE-000010	创可贴	创可贴 100片/盒	尺寸：70mm×18mm；包装数量：100片/盒	片	片	来源单位一致		止血贴；创可贴	原始单位：张；统一为片；原始单位：个；原始单位：盒	缺失尺寸和包装数量，按常见采购规格补齐（70mm×18mm，100片/盒）	SAFE-000010；SAFE-000078；SAFE-000104	3	相同标准SKU名称和最小规格，建议合并	原始缺失规格，按常用规格补齐；单位由张统一为片；别名含止血贴；单位由个统一为片；单位由盒统一为片	劳保防护/急救用品/创可贴
SAFE-000127	红花油	红花油 20ml	规格/容量：20ml	瓶	瓶	来源单位一致		红花油	类型：红花油	规格/容量缺失，按常见采购规格补为20ml	SAFE-000127	1		原始缺少容量规格，按常见规格生成20ml标准SKU	劳保防护/急救用品/红花油
SAFE-000014	医用胶带	医用胶带 1.25cm×5m	宽度：1.25cm；长度：5m	卷	卷	来源单位一致			类型：医用胶带	宽度和长度缺失，根据常见医用胶带规格，默认宽度1.25cm，长度5m作为初始SKU。	SAFE-000014	1		原始规格仅有类型，删除冗余类型字段；补充宽度和长度以区分SKU。	劳保防护/急救用品/医用胶带
SAFE-000009	碘伏	碘伏 500ml	容量：500ml	瓶	瓶	来源单位一致		碘伏500ml；碘伏			SAFE-000009	1		容量是碘伏采购关键规格，保留。无其他字段需要删除或补齐。	劳保防护/急救用品/碘伏
SAFE-000032	电子血压计	电子血压计 上臂式	测量部位：上臂	台	台	来源单位一致	鱼跃	鱼跃电子血压计；电子血压计	类型：电子血压计	原始缺失型号及测量方式，按最常见上臂式自动电子血压计补齐	SAFE-000032	1		原始仅提供品牌和类型，型号缺失，按通用上臂式补齐最小规格；品牌提取至brand字段，类型重复删除。	劳保防护/急救用品/电子血压计
SAFE-000011	医用绷带	医用绷带 8cm×600cm	宽度：8cm；长度：600cm	卷	卷	来源单位一致		绷带；医用绷带	类型：绷带	原始缺失宽度和长度规格，按常见医用绷带规格8cm×600cm补齐。	SAFE-000011	1		原始required_specs只有冗余类型字段，缺失关键宽度和长度；已删除类型，并按常见规格补齐宽度和长度。	劳保防护/急救用品/医用绷带
SAFE-000095	防护眼镜	防护眼镜 多功能护目	类型：多功能护目	副	副	来源单位一致		多功能护目眼镜；护目镜			SAFE-000095	1		保留类型规格，删除描述性文字，统一单位为副	劳保防护/眼面防护/防护眼镜
SAFE-000018	防护眼镜	防护眼镜 平光	镜片类型：平光	副	副	来源单位一致		平镜眼镜；平光防护眼镜			SAFE-000018	1		保留镜片类型规格，删除描述性文字，统一单位为副	劳保防护/眼面防护/防护眼镜
SAFE-000002	防护眼镜	防护眼镜 打磨用	用途：打磨	副	副	来源单位一致		打磨眼镜；防护眼镜		用途为打磨，未指定镜片类型/颜色，按常见打磨防护眼镜默认透明防冲击镜片	SAFE-000002	1		保留用途规格，删除无具体值的描述字段，统一单位为副	劳保防护/眼面防护/防护眼镜
SAFE-000107	防护眼镜	防护眼镜 护目	类型：护目	副	副	来源单位一致		护目眼镜；护目镜			SAFE-000107	1		保留类型规格，删除描述性文字，统一单位为副	劳保防护/眼面防护/防护眼镜
SAFE-000068	防护眼镜	防护眼镜 白色平光	颜色：白色；镜片类型：平光	副	副	来源单位一致		白色平光眼镜；平光防护眼镜			SAFE-000068	1		保留颜色和镜片类型规格，删除描述性文字，统一单位为副	劳保防护/眼面防护/防护眼镜
SAFE-000008	防护眼镜	防护眼镜 透明	颜色：透明	副	副	来源单位一致		透明防护眼镜；防护眼镜			SAFE-000008	1		保留颜色规格，删除描述性文字，统一单位为副	劳保防护/眼面防护/防护眼镜
SAFE-000128	雨鞋	雨鞋 41码 带衬里	筒高：高筒；尺码：41；材质：PVC；特征：带衬里	双	双	来源单位一致	回力	41码回力雨鞋带衬里；雨鞋		筒高缺失默认高筒，材质缺失默认PVC	SAFE-000128	1		原始尺码和带衬里特征保留，补齐筒高和材质	劳保防护/足部防护/雨鞋
SAFE-000077	雨鞋	雨鞋 加厚	筒高：高筒；尺码：42；材质：PVC；特征：加厚	双	双	来源单位一致	回力	回力加厚雨鞋；雨鞋		筒高缺失默认高筒，尺码缺失默认42码，材质缺失默认PVC	SAFE-000077	1		原始加厚特征保留，补齐筒高、尺码和材质	劳保防护/足部防护/雨鞋
SAFE-000050	雨鞋	雨鞋 厚底	筒高：高筒；尺码：42；材质：PVC；特征：厚底	双	双	来源单位一致	回力	回力厚底雨鞋；雨鞋		筒高缺失默认高筒，尺码缺失默认42码，材质缺失默认PVC	SAFE-000050	1		原始厚底特征保留，补齐筒高、尺码和材质	劳保防护/足部防护/雨鞋
SAFE-000049	雨鞋	雨鞋 高筒	筒高：高筒；尺码：42；材质：PVC	双	双	来源单位一致	回力	回力雨鞋高筒；高筒雨鞋；回力雨鞋；雨鞋	类型：雨鞋	尺码缺失默认42码，材质缺失默认PVC；筒高缺失默认高筒，尺码缺失默认42码，材质缺失默认PVC	SAFE-000049；SAFE-000067；SAFE-000083	3	标准SKU名称和最小规格一致，均为雨鞋 高筒，尺码42，材质PVC	原始高筒特征保留，补齐尺码和材质；无特征，推断为高筒，补齐尺码材质，删除冗余类型字段；无特征，推断为高筒，补齐尺码材质	劳保防护/足部防护/雨鞋
SAFE-000052	鞋垫	鞋垫 均码	材质：棉；规格/尺码：均码	双	双	来源单位一致		鞋垫	类型：鞋垫	原始规格仅类型字段，缺失材质和尺码信息，按常见棉质劳保鞋垫和均码规格补齐	SAFE-000052	1		原始规格仅类型，缺失材质和尺码，按常见劳保鞋垫补齐关键规格，确保采购时能区分材质和尺码	劳保防护/足部防护/鞋垫
SAFE-000048	焊接面罩	焊接面罩 头戴式	类型：头戴式	个	个	来源单位一致		好电焊帽；电焊帽	品质描述:好	根据别名'电焊帽'推断为头戴式；遮光等级缺失，未补充	SAFE-000048	1		根据别名和常见类型，确定为头戴式焊接面罩；删除品质描述	劳保防护/眼面防护/焊接面罩
SAFE-000110	焊接面罩	焊接面罩 头盔式	类型：头盔式	个	个	来源单位一致		头盔式面罩		原始类型明确为头盔式；单位从'只'改为'个'	SAFE-000110	1		类型明确为头盔式，单位统一为个	劳保防护/眼面防护/焊接面罩
SAFE-000082	焊接面罩	焊接面罩 手持式	类型：手持式	个	个	来源单位一致		焊接面罩		常见手持式焊接面罩，无其他信息	SAFE-000082	1		根据通用名称，推断为手持式焊接面罩	劳保防护/眼面防护/焊接面罩
SAFE-000022	焊工手套	焊工手套	材质：牛皮；长度：35cm	双	双	来源单位一致		电焊手套；焊工手套	用途：电焊防护；用途：焊工防护	材质按常见焊工手套推断为牛皮；长度按标准款推断为35cm；单位统一为双；材质推断为牛皮；原单位'付'统一为'双'	SAFE-000022；SAFE-000108	2	标准焊工手套，材质和长度推断一致，且无其他特征差异；单位差异已统一	原始缺失材质和长度，按常见标准款补齐；删除用途字段；单位统一	劳保防护/手套/焊工手套
SAFE-000054	焊工手套	焊工手套 加长	材质：牛皮；长度：40cm	双	双	来源单位一致		加长焊工手套	用途：焊工	材质推断为牛皮；长度按加长焊工手套常见规格推断为40cm；单位统一为双	SAFE-000054	1		原始缺失材质和具体长度，按加长款常见规格补齐；删除用途字段	劳保防护/手套/焊工手套
SAFE-000059	焊工手套	焊工手套 双层加厚	材质：牛皮；特征：双层加厚	双	双	来源单位一致		双层电焊手套厚；电焊手套	用途：电焊	材质推断为牛皮；特征保留原始双层加厚；长度按标准款推断35cm（未写入规格因默认）；单位统一为双	SAFE-000059	1		原始缺失材质和长度，特征明确双层加厚；删除用途字段	劳保防护/手套/焊工手套
SAFE-000116	焊工眼镜	焊工眼镜 白色/灰色	镜片颜色：白色/灰色	副	副	来源单位一致		电焊眼镜白色 灰色；焊工眼镜	用途：电焊防护		SAFE-000116	1		原始颜色信息保留，删除用途字段；颜色差异导致与其它SKU不同，不合并	劳保防护/眼面防护/焊工眼镜
SAFE-000004	焊工眼镜	焊工眼镜 遮光11#	遮光等级：11#；镜片颜色：墨绿色	副	副	来源单位一致		电焊眼镜；焊工眼镜	用途：电焊；用途：电焊防护；用途：焊工防护	遮光等级按常见焊工眼镜默认11#；镜片颜色按电焊防护习惯默认墨绿色	SAFE-000004；SAFE-000017；SAFE-000105；SAFE-000114	4	所有规格（遮光等级、镜片颜色、标准单位）一致，仅aliases和governance_note略有差异；所有规格一致	原始用途字段为描述性信息，已删除；遮光等级和镜片颜色按行业常见推断补齐，避免SKU过于笼统；遮光等级和镜片颜色按行业常见推断补齐	劳保防护/眼面防护/焊工眼镜
SAFE-000117	焊罩镜片	焊罩镜片 白/黑	颜色：白/黑	盒	盒	来源单位一致		焊罩镜片 白 黑；焊罩镜片		原始缺失遮光号、尺寸，仅保留颜色，需采购确认。	SAFE-000117	1		保留颜色字段，其他缺失未补，保持最小SKU。	劳保防护/眼面防护/焊罩镜片
WELD-000067	焊罩镜片	焊罩镜片 黑色	颜色：黑色	盒	盒	来源单位一致		焊罩镜片黑色；焊罩镜片		原始缺失遮光号、尺寸，仅保留颜色，需采购确认。	WELD-000067	1		保留颜色字段，其他缺失未补，保持最小SKU。	劳保防护/眼面防护/焊罩镜片
SAFE-000024	劳保鞋	劳保鞋 高帮	帮高：高帮；尺码：42；防护等级：防砸防刺穿	双	双	来源单位一致		进口高帮劳保鞋；高帮劳保鞋	特征：进口	尺码按常见42码补充，防护等级按常见防砸防刺穿补充	SAFE-000024	1		原始缺失尺码和防护等级，按常见采购配置生成初始SKU	劳保防护/足部防护/劳保鞋
MAT-000025	自封袋	自封袋 10#	规格：10#	个	个	来源单位一致		10#自封袋			MAT-000025	1		规格10#为最常见自封袋规格，保留为核心字段	包装覆盖周转/包装袋/吨袋/自封袋
MAT-000044	吨袋	吨袋 1.5吨	载重：1.5吨	个	个	来源单位一致		1.5吨袋；吨袋；1.5T吨袋；集装袋	定制/载重/尺寸按规格字段维护（说明性描述，删除）；单位：T（统一转换为吨）	尺寸缺失，保留载重作为唯一规格；T与吨等价视为1.5吨	MAT-000044；MAT-000077	2	载重相同（1.5吨），尺寸均缺失，疑似规格一致；载重相同（1.5吨），尺寸均缺失，疑似与MAT-000044重复	提取载重1.5吨，删除说明性描述；提取载重1.5T并统一单位为吨，删除说明性描述	包装覆盖周转/包装袋/吨袋/吨袋
MAT-000098	吨袋	吨袋 4*4米 4T 双层	尺寸：4*4米；载重：4T；结构：双层	个	个	来源单位一致		定做4*4米*4吨双层吨袋；定制集装袋	定制：是（因已具体，删除泛化定制标记）		MAT-000098	1		提取尺寸、载重、结构，删除泛化定制描述	包装覆盖周转/包装袋/吨袋/吨袋
MAT-000024	吨袋	吨袋 大号	规格：大号	个	个	来源单位一致		大吨袋；吨袋	定制/载重/尺寸按规格字段维护（说明性描述，删除）	原始只提供“大号”，无具体载重尺寸，作为通用大号吨袋处理	MAT-000024	1		缺失载重、尺寸具体数值，仅保留“大号”作为规格，待后续补充	包装覆盖周转/包装袋/吨袋/吨袋
MAT-000170	马夹袋	马夹袋 30*40cm	尺寸：30*40cm；厚度：0.03mm；材质：PE	条	条	来源单位一致				基于市场常见马夹袋规格，默认选取30*40cm，厚度0.03mm，材质PE作为初始SKU。	MAT-000170	1		原始数据缺失尺寸、厚度、材质，按常见规格补全；无冗余字段删除。	包装覆盖周转/包装袋/吨袋/马夹袋
MAT-000227	编织袋	编织袋 0.8m*1.2m	尺寸：0.8m*1.2m	条	条	来源单位一致		编织袋0.8m*1.2m；编织袋			MAT-000227	1		保留原始尺寸规格，单位统一为条	包装覆盖周转/包装袋/吨袋/编织袋
MAT-000038	编织袋	编织袋 50*80cm	尺寸：50cm*80cm	条	条	来源单位一致		编织袋；蛇皮袋	类型：编织袋；类型：蛇皮袋	尺寸缺失，按常见通用编织袋尺寸50cm*80cm推定；尺寸缺失，按常见编织袋尺寸50cm*80cm推定	MAT-000038；MAT-000110；MAT-000169	3	尺寸均推定50cm*80cm，疑似可合并	原始无规格，按常用中号尺寸补全，单位统一为条；原始规格待补，按常用中号尺寸补全，单位统一为条；蛇皮袋统一为编织袋，尺寸按常用中号补全，单位统一为条	包装覆盖周转/包装袋/吨袋/编织袋
MAT-000050	编织袋	编织袋 大号	尺寸：大号	条	条	来源单位一致		大编织袋；大号编织袋；编织袋	类型：编织袋		MAT-000050；MAT-000222	2	规格均为大号，疑似可合并	保留原始大小号规格，单位统一为条	包装覆盖周转/包装袋/吨袋/编织袋
MAT-000053	编织袋	编织袋 小号	尺寸：小号	条	条	来源单位一致		小编织袋；编织袋			MAT-000053	1		保留原始大小号规格，单位统一为条	包装覆盖周转/包装袋/吨袋/编织袋
SAFE-000027	雨衣	雨衣 一次性	类型：一次性	套	套	来源单位一致		一次性雨衣；雨衣		缺失材质、厚度，按常见一次性雨衣推断材质为PE，厚度未定，未补；缺失厚度，按常见一次性雨衣厚度通常较薄，未补	SAFE-000027；SAFE-000109	2	与SAFE-000109规格相同（类型一次性，无加厚，单位套），建议合并为同一SKU并统一单位；与SAFE-000027规格相同，建议合并	保留类型为一次性，删除默认的形态描述，单位按原始套；保留类型一次性，单位套	劳保防护/雨具/雨衣
SAFE-000057	雨衣	雨衣 一次性加厚	类型：一次性；特征：加厚	套	件；套	来源单位不一致，统一为套		一次性加厚雨衣；一次性雨衣；加厚一次性雨衣		缺失材质、厚度，未补；缺失厚度，未补	SAFE-000057；SAFE-000073；SAFE-000112	3	与SAFE-000073、SAFE-000112规格相同（一次性加厚），但单位不同（件 vs 套），建议统一单位；与SAFE-000057、SAFE-000112规格相同（一次性加厚），但单位不同，建议统一单位；与SAFE-000057、SAFE-000073规格相同，建议统一单位	保留类型和特征，单位为件；保留类型和特征，单位套	劳保防护/雨具/雨衣
SAFE-000047	雨衣	雨衣 加厚	特征：加厚	套	套	来源单位一致		加厚雨衣；雨衣		缺失材质，常见加厚雨衣材质为PVC或尼龙，未补	SAFE-000047	1		保留特征加厚，无类型则默认为普通，单位套	劳保防护/雨具/雨衣
SAFE-000058	雨衣	雨衣 加厚套装	套装：是；特征：加厚	套	套	来源单位一致		加厚雨衣套装；雨衣套装		缺失材质，未补	SAFE-000058	1		保留套装和特征，单位套	劳保防护/雨具/雨衣
SAFE-000130	下水裤	下水裤 44码 PVC	尺码：44码；材质：PVC	套	套	来源单位一致		下水裤44码；下水裤		原始缺失材质，以行业常见的PVC材质作为默认填充，确保采购基本识别。	SAFE-000130	1		保留尺码作为关键规格，补充默认材质PVC，避免采购混淆。	劳保防护/身体防护/下水裤
SAFE-000089	防护服	防护服 连体加厚	款式：连体；特征：加厚	套	套	来源单位一致		加厚连体裤；连体工作服；防护服		原始规格缺失材质、尺码、防护等级，根据治理备注保留款式和特征作为初始SKU区分依据，待后续补充完整规格。	SAFE-000089；SAFE-000093	2	standard_sku_name和minimal_required_specs一致，疑似重复。	根据治理备注连体加厚，缺失材质等，保留款式和特征为最小关键规格。	劳保防护/身体防护/防护服
SAFE-000081	救生衣	救生衣 成人浮力≥100N	浮力等级：≥100N；尺码：成人	件	件	来源单位一致		救生衣	执行标准：GB 4303-2008（默认国标）	原始缺失规格，根据常见采购需求推断为成人救生衣，浮力等级≥100N，执行标准GB 4303-2008。	SAFE-000081	1		原始规格缺失，根据常见采购规格生成了成人、浮力≥100N的救生衣SKU，删除了执行标准等默认字段。	劳保防护/身体防护/救生衣
MAT-000158	水桶	水桶 1T 304	材质：304；容量：1T；配置：支架	只	只	来源单位一致		304支架水桶1T；水桶			MAT-000158	1		保留材质、容量和支架配置以区分	包装覆盖周转/容器周转箱/水桶
ADMIN-000004	水桶	水桶 20L	容量：20L	个	个	来源单位一致		水桶		根据常见小水桶容量推断为20L	ADMIN-000004	1		原始规格缺失，按常见规格填充容量	包装覆盖周转/容器周转箱/水桶
TOOL-000070	汽油桶	汽油桶 20L	容量：20L；材质：铁	个	个	来源单位一致		20L汽油桶；汽油桶		原始缺失材质，按常见汽油桶铁质推断	TOOL-000070	1		原始缺失材质，按常见铁质补齐；容量20L唯一指定。	包装覆盖周转/容器周转箱/汽油桶
MAT-000218	周转箱	周转箱 570*420*155 加厚	尺寸:570*420*155;特征:加厚;是否带盖:否;材质:塑料	个	个	来源单位一致		加厚周转箱570*420*155;加厚周转箱	颜色:默认蓝色	材质缺失，按常见周转箱材质推断为塑料	MAT-000218	1		尺寸加厚为核心规格，保留；颜色不关键且默认，删除；材质缺失按行业常见推断	包装覆盖周转/容器周转箱/周转箱
MAT-000221	周转箱	周转箱 600*400*150 加厚	尺寸:600*400*150;特征:加厚;是否带盖:否;材质:塑料	个	个	来源单位一致		加厚周转箱600*400*150;加厚周转箱	颜色:默认蓝色	材质缺失，按常见周转箱材质推断为塑料	MAT-000221	1		尺寸加厚为核心规格；颜色删除；材质推断	包装覆盖周转/容器周转箱/周转箱
MAT-000220	周转箱	周转箱 830*580*500 加厚 带盖	尺寸:830*580*500;特征:加厚;是否带盖:是;材质:塑料	个	个	来源单位一致		加厚周转箱带盖830*580*500;带盖周转箱	颜色:默认蓝色	材质缺失，按常见周转箱材质推断为塑料	MAT-000220	1		带盖、尺寸、加厚为核心规格；颜色删除；材质推断	包装覆盖周转/容器周转箱/周转箱
TOOL-000336	灰斗	灰斗 铁	材质：铁	个	个	来源单位一致		铁灰斗；灰斗	类型：灰斗	缺失尺寸/容量，推断为通用型，仅保留材质作为区分	TOOL-000336	1		保留材质字段，删除冗余的类型字段（灰斗本身即类型），缺失尺寸/容量暂不补全，后续可根据需求细化	包装覆盖周转/容器周转箱/灰斗
MAT-000107	收纳箱	收纳箱 75L	容量：75L	个	个	来源单位一致		大塑料箱75；塑料箱	规格：大	型号/规格75解释为容量75L；材质默认塑料	MAT-000107	1		‘75’作为容量字段，规格‘大’删除，材质默认塑料	包装覆盖周转/容器周转箱/收纳箱
MAT-000157	收纳箱	收纳箱 800*800*600 带盖	尺寸：800*800*600mm；带盖：是	个	个	来源单位一致		整理箱带盖800*800*600；整理箱		原始单位‘只’转换为‘个’；材质默认塑料；尺寸单位默认mm	MAT-000157	1		带盖是关键属性，尺寸保留，单位统一为个	包装覆盖周转/容器周转箱/收纳箱
MAT-000250	收纳箱	收纳箱 80L 透明	容量：80L；颜色/透明度：透明	个	个	来源单位一致		透明收纳箱80L；透明收纳箱		材质默认塑料	MAT-000250	1		容量和透明度是区分关键，材质默认塑料	包装覆盖周转/容器周转箱/收纳箱
