issue_type	scope	item_code	type_id	classification_key	detail	severity
human_confirmation_required	sku	CHEM-000042	MT-3F18DA60CBA2	化工胶粘涂料|胶粘密封|聚氨酯堵漏剂	高风险分类:化工胶粘涂料	medium
candidate_family	sku	CHEM-000043	MT-63B368CD82FF	定制加工件|定制橡胶件|橡胶支座	定制橡胶件(候选)	high
missing_required_specs	sku	CHEM-000044	MT-AF3FB9BF0C16	包装覆盖周转|胶带标签|双面胶带	thickness,brand	high
missing_required_specs	sku	CHEM-000045	MT-F72BC9831090	化工胶粘涂料|胶粘密封|胶水	适用材料	high
human_confirmation_required	sku	CHEM-000045	MT-F72BC9831090	化工胶粘涂料|胶粘密封|胶水	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000046	MT-B03FC47E1E0F	化工胶粘涂料|胶粘密封|双面胶带	brand,类型	high
human_confirmation_required	sku	CHEM-000046	MT-B03FC47E1E0F	化工胶粘涂料|胶粘密封|双面胶带	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000047	MT-5F1FF80BE457	化工胶粘涂料|油漆涂料|调和漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000048	MT-5F1FF80BE457	化工胶粘涂料|油漆涂料|调和漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000050	MT-5790859F3B32	化工胶粘涂料|橡胶材料|橡胶板	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000051	MT-6225EE557EA9	化工胶粘涂料|胶粘密封|强力胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000052	MT-9794F808E59A	包装覆盖周转|胶带标签|封箱胶带	brand	high
human_confirmation_required	sku	CHEM-000053	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000054	MT-3130BAFDF7B6	化工胶粘涂料|防锈除锈|防锈润滑剂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000055	MT-8AFC5CA44BC5	工具量具|胶枪/施胶工具|胶枪	specification,brand,适用	high
candidate_family	sku	CHEM-000055	MT-8AFC5CA44BC5	工具量具|胶枪/施胶工具|胶枪	胶枪/施胶工具(候选新增)	high
candidate_family	sku	CHEM-000057	MT-B808D0AAB21B	定制加工件|定制橡胶件|橡胶垫块	定制橡胶件(候选)	high
human_confirmation_required	sku	CHEM-000058	MT-3AE825323765	化工胶粘涂料|干性润滑剂|干性润滑剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000060	MT-74E98662F647	化工胶粘涂料|润滑脂|通用润滑脂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000062	MT-CA342C4A2A7B	化工胶粘涂料|清洗脱漆剂|油污清洗剂	brand	high
human_confirmation_required	sku	CHEM-000062	MT-CA342C4A2A7B	化工胶粘涂料|清洗脱漆剂|油污清洗剂	高风险分类:化工胶粘涂料	medium
candidate_family	sku	CHEM-000063	MT-B808D0AAB21B	定制加工件|定制橡胶件|橡胶垫块	定制橡胶件(候选)	high
missing_required_specs	sku	CHEM-000065	MT-6BA085721775	化工胶粘涂料|润滑油|气动油	brand	high
human_confirmation_required	sku	CHEM-000065	MT-6BA085721775	化工胶粘涂料|润滑油|气动油	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000067	MT-0B5ADF6838B6	化工胶粘涂料|润滑油|齿轮油	brand,model	high
human_confirmation_required	sku	CHEM-000067	MT-0B5ADF6838B6	化工胶粘涂料|润滑油|齿轮油	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000068	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	brand	high
human_confirmation_required	sku	CHEM-000068	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000069	MT-6B66ED2FD77C	化工胶粘涂料|胶粘密封|胶粘剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000071	MT-5994AF2C129C	化工胶粘涂料|清洗脱漆剂|电子清洗剂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000072	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000073	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000074	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000075	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000076	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000077	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000079	MT-AC19BC964F47	建筑材料|装饰装修材料|人工草皮	color,特征	high
missing_required_specs	sku	CHEM-000080	MT-8AFC5CA44BC5	工具量具|胶枪/施胶工具|胶枪	specification,brand,适用	high
candidate_family	sku	CHEM-000080	MT-8AFC5CA44BC5	工具量具|胶枪/施胶工具|胶枪	胶枪/施胶工具(候选新增)	high
human_confirmation_required	sku	CHEM-000081	MT-8715B3B240A7	化工胶粘涂料|润滑油|机油	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000082	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	material,capacity,brand,model,材料/体系,类型	high
human_confirmation_required	sku	CHEM-000082	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000083	MT-AF3FB9BF0C16	包装覆盖周转|胶带标签|双面胶带	brand	high
candidate_family	sku	CHEM-000084	MT-0E70A1131222	工具量具|检测仪器|流量计	检测仪器(候选新增)	high
missing_required_specs	sku	CHEM-000085	MT-3130BAFDF7B6	化工胶粘涂料|防锈除锈|防锈润滑剂	brand	high
human_confirmation_required	sku	CHEM-000085	MT-3130BAFDF7B6	化工胶粘涂料|防锈除锈|防锈润滑剂	高风险分类:化工胶粘涂料	medium
candidate_family	sku	CHEM-000089	MT-B63FEC174E4F	定制加工件|定制橡胶件|橡胶加工件	定制橡胶件(候选)	high
human_confirmation_required	sku	CHEM-000090	MT-B055FA54B2D4	化工胶粘涂料|润滑油|清洗机专用油	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000092	MT-3430F3EB5498	化工胶粘涂料|润滑脂|润滑脂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000094	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	material,package_specification,model,类型	high
human_confirmation_required	sku	CHEM-000094	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000095	MT-0B5ADF6838B6	化工胶粘涂料|润滑油|齿轮油	model	high
human_confirmation_required	sku	CHEM-000095	MT-0B5ADF6838B6	化工胶粘涂料|润滑油|齿轮油	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000096	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	package_specification,model,材料/体系,类型	high
human_confirmation_required	sku	CHEM-000096	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000097	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	material,package_specification,model,材料/体系,类型	high
human_confirmation_required	sku	CHEM-000097	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000098	MT-F72BC9831090	化工胶粘涂料|胶粘密封|胶水	model	high
human_confirmation_required	sku	CHEM-000098	MT-F72BC9831090	化工胶粘涂料|胶粘密封|胶水	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000099	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	brand	high
human_confirmation_required	sku	CHEM-000099	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000101	MT-9794F808E59A	包装覆盖周转|胶带标签|封箱胶带	color	high
human_confirmation_required	sku	CHEM-000102	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000103	MT-F39543671B00	化工胶粘涂料|清洗脱漆剂|稀释剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000106	MT-014EADA6155D	化工胶粘涂料|胶粘密封|螺纹锁固胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000107	MT-339EE2E959F2	工具耗材|刷涂耗材|滚筒刷	滚刷宽度,类型	high
human_confirmation_required	sku	CHEM-000108	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000110	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000111	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000112	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000113	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000114	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000115	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000117	MT-339EE2E959F2	工具耗材|刷涂耗材|滚筒刷	滚刷宽度,类型	high
missing_required_specs	sku	CHEM-000120	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	类型	high
human_confirmation_required	sku	CHEM-000120	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000121	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	brand	high
human_confirmation_required	sku	CHEM-000121	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000123	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	类型	high
human_confirmation_required	sku	CHEM-000123	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000125	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	brand	high
human_confirmation_required	sku	CHEM-000125	MT-299EA1DB79BF	化工胶粘涂料|油漆涂料|自喷漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000130	MT-B03FC47E1E0F	化工胶粘涂料|胶粘密封|双面胶带	thickness,特征,类型	high
human_confirmation_required	sku	CHEM-000130	MT-B03FC47E1E0F	化工胶粘涂料|胶粘密封|双面胶带	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000132	MT-1CAA06A5C1A8	化工胶粘涂料|油漆涂料|防锈漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000133	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	类型	high
human_confirmation_required	sku	CHEM-000133	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000134	MT-4081637AB122	化工胶粘涂料|防锈除锈|除锈剂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000135	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	color	high
human_confirmation_required	sku	CHEM-000135	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000136	MT-A4FACF4F3AA3	化工胶粘涂料|润滑脂|高温润滑脂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000137	MT-4081637AB122	化工胶粘涂料|防锈除锈|除锈剂	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000139	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	material,package_specification,model,材料/体系	high
human_confirmation_required	sku	CHEM-000139	MT-04E0BE02A02D	化工胶粘涂料|胶粘密封|密封胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000140	MT-339EE2E959F2	工具耗材|刷涂耗材|滚筒刷	specification,类型	high
missing_required_specs	sku	CHEM-000141	MT-8385DC54351B	化工胶粘涂料|油漆涂料|乳胶漆	specification,color,系列	high
human_confirmation_required	sku	CHEM-000141	MT-8385DC54351B	化工胶粘涂料|油漆涂料|乳胶漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000142	MT-8385DC54351B	化工胶粘涂料|油漆涂料|乳胶漆	specification,系列	high
human_confirmation_required	sku	CHEM-000142	MT-8385DC54351B	化工胶粘涂料|油漆涂料|乳胶漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000143	MT-339EE2E959F2	工具耗材|刷涂耗材|滚筒刷	滚刷宽度,类型	high
missing_required_specs	sku	CHEM-000144	MT-8385DC54351B	化工胶粘涂料|油漆涂料|乳胶漆	color	high
human_confirmation_required	sku	CHEM-000144	MT-8385DC54351B	化工胶粘涂料|油漆涂料|乳胶漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000145	MT-AF3FB9BF0C16	包装覆盖周转|胶带标签|双面胶带	thickness	high
human_confirmation_required	sku	CHEM-000146	MT-4081637AB122	化工胶粘涂料|防锈除锈|除锈剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000148	MT-6BA085721775	化工胶粘涂料|润滑油|气动油	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000149	MT-87DD45216B66	化工胶粘涂料|胶粘密封|堵漏剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000155	MT-B6257CC935CB	化工胶粘涂料|清洗脱漆剂|泡沫清洗剂	高风险分类:化工胶粘涂料	medium
human_confirmation_required	sku	CHEM-000156	MT-1BAA4AD8A641	化工胶粘涂料|胶粘密封|玻璃胶	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000157	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	类型	high
human_confirmation_required	sku	CHEM-000157	MT-00B736EFBAFE	化工胶粘涂料|油漆涂料|油漆	高风险分类:化工胶粘涂料	medium
missing_required_specs	sku	CHEM-000159	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000160	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000161	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000162	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000164	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000165	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CHEM-000166	MT-192E2DA1E5EE	设备备件|润滑配件|黄油嘴	material	high
missing_required_specs	sku	CONST-000006	MT-DF2752611492	建筑材料|砖板模板|建筑模板	颜色/表面	high
missing_required_specs	sku	CONST-000010	MT-2F1273F2CD13	建筑材料|装饰装修材料|彩钢瓦	width	high
missing_required_specs	sku	CONST-000011	MT-2F1273F2CD13	建筑材料|装饰装修材料|彩钢瓦	width	high
missing_required_specs	sku	CONST-000012	MT-2F1273F2CD13	建筑材料|装饰装修材料|彩钢瓦	specification	high
missing_required_specs	sku	CONST-000013	MT-AC19BC964F47	建筑材料|装饰装修材料|人工草皮	特征,背胶	high
missing_required_specs	sku	CONST-000016	MT-AC19BC964F47	建筑材料|装饰装修材料|人工草皮	color,背胶	high
missing_required_specs	sku	CONST-000017	MT-DF2752611492	建筑材料|砖板模板|建筑模板	color,颜色/表面	high
missing_required_specs	sku	CONST-000018	MT-DF2752611492	建筑材料|砖板模板|建筑模板	颜色/表面	high
missing_required_specs	sku	CONST-000022	MT-DF2752611492	建筑材料|砖板模板|建筑模板	颜色/表面	high
missing_required_specs	sku	CONST-000023	MT-DF2752611492	建筑材料|砖板模板|建筑模板	颜色/表面	high
missing_required_specs	sku	CONST-000027	MT-C3E9520C6BD9	定制加工件|定制板牌件|标识字牌	字符	high
missing_required_specs	sku	CONST-000034	MT-DF2752611492	建筑材料|砖板模板|建筑模板	颜色/表面	high
missing_required_specs	sku	CONST-000038	MT-DF2752611492	建筑材料|砖板模板|建筑模板	颜色/表面	high
missing_required_specs	sku	CONST-000040	MT-DF2752611492	建筑材料|砖板模板|建筑模板	color	high
missing_required_specs	sku	CONST-000041	MT-43A0E2C77E2A	清洁办公后勤|门窗五金|插销	功能	high
missing_required_specs	sku	ELEC-000005	MT-2142BF6DCF1A	电气电料|电工辅材|绝缘胶带	specification,功能	high
missing_required_specs	sku	ELEC-000007-V1	MT-DA173FC5AB33	电气电料|开关插座|插座	color,model,usb输出,安装方式,类型,输入电压,输出电压	high
missing_required_specs	sku	ELEC-000009	MT-220CBD8BBDE4	电气电料|电气箱柜|配电箱	specification,size,rated_current,power,环境,适用环境	high
missing_required_specs	sku	ELEC-000010	MT-DA173FC5AB33	电气电料|开关插座|插座	color,model,usb电流,usb输出,安装方式,类型,输入电压,输出电压	high
missing_required_specs	sku	ELEC-000011	MT-F756B8B03DB0	电气电料|开关插座|开关	含底座	high
missing_required_specs	sku	ELEC-000012	MT-F756B8B03DB0	电气电料|开关插座|开关	含底座	high
missing_required_specs	sku	ELEC-000013	MT-F756B8B03DB0	电气电料|开关插座|开关	含底座	high
missing_required_specs	sku	ELEC-000019	MT-2142BF6DCF1A	电气电料|电工辅材|绝缘胶带	specification,功能	high
missing_required_specs	sku	ELEC-000020	MT-DA173FC5AB33	电气电料|开关插座|插座	color,model,usb电流,usb输出,安装方式,类型,输入电压,输出电压	high
missing_required_specs	sku	ELEC-000023	MT-DA173FC5AB33	电气电料|开关插座|插座	color,model,usb电流,usb输出,孔位,安装方式,类型,输入电压,输出电压	high
