merged_item_code,governance_grade,priority,issue_type,standard_name,canonical_group_path,specs,unit,missing_specs,governance_reason,next_action,source_rows,alias_names
REVIEW-MAT-00031,C,medium,needs_human_review,PPR管剪刀,工具器具/其他/管道工具,品牌: 公元；用途: PPR管剪切,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:47；Sheet1:76,公元PPR剪刀
REVIEW-MAT-00032,C,medium,missing_specs,石子,工程建材/水泥砂石/水泥砂石,粒径: 4-6MM,斤,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:48,4-6MM石子
REVIEW-MAT-00033,C,medium,specs_conflict,工业插头,电气与自动化/插头插座/插头插座,品牌: 公牛；电压: 380V；电流: 25A,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:52,公牛380V*25A插头
REVIEW-MAT-00034,C,medium,specs_conflict,电工胶布,电气与自动化/绝缘材料/热缩绝缘,品牌: 3M,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:54,3M电胶布
REVIEW-MAT-00035,C,medium,low_precision_conflict,多功能剥线钳,工具器具/其他/手动工具,品牌: 世达；类型: 多功能剥线钳,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:139；Sheet1:55,世达多功能剥线钳
REVIEW-MAT-00036,C,medium,missing_specs,断点检测电笔,工具器具/其他/电工工具,功能: 找断点/测电,个,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,Sheet1:138；Sheet1:56,找断点电笔
REVIEW-MAT-00037,C,medium,low_precision_conflict,插座,电气与自动化/插头插座/插头插座,品牌: 公牛；电流: 16A,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:61,公牛16A插座
REVIEW-MAT-00038,D,high,alias_conflict,洁厕灵,行政办公与清洁/清洁用品/清洁工具耗材,类型: 洁厕清洁剂,瓶,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:62,洁厕灵
REVIEW-MAT-00039,C,medium,missing_specs,窗帘架拉链,工程建材/其他/窗帘配件,类型: 拉链/配件,套,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:110；Sheet1:276；Sheet1:64,窗帘架拉链
REVIEW-MAT-00040,C,medium,needs_human_review,钢钉线卡,电气与自动化/其他/电气辅材,规格: 20,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:65,20钢钉线卡
REVIEW-MAT-00041,C,medium,needs_human_review,三角阀,工程建材/其他/阀门,规格: 4分,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:168；Sheet1:66,4分三角阀
REVIEW-MAT-00043,C,medium,low_precision_conflict,PPR内牙三通,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；连接: 内牙；类型: 三通,个,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:68,公元PPR25内牙三通
REVIEW-MAT-00046,C,medium,missing_specs,洗衣机龙头,工程建材/水暖建材/水暖五金,用途: 洗衣机,个,至少一个: 规格；口径；DN；材质；类型,未满足当前分组的关键规格模板。,确认材质、口径/规格、连接方式和类型。,Sheet1:71,洗衣机龙头
REVIEW-MAT-00047,C,medium,specs_conflict,堵头,工程建材/其他/管件,规格: 4分,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:72,4分堵头
REVIEW-MAT-00048,C,medium,specs_conflict,堵头,工程建材/其他/管件,规格: 6分,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:73,6分堵头
REVIEW-MAT-00049,C,medium,needs_human_review,水管钩,工程建材/其他/管道辅材,规格: 25,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:155；Sheet1:176；Sheet1:196；Sheet1:77,25水管钩
REVIEW-MAT-00050,C,medium,needs_human_review,镀锌电线架,电气与自动化/其他/电气辅材,材质: 镀锌；位数: 4位,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:78,4位镀锌电线架
REVIEW-MAT-00051,C,medium,low_precision_conflict,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 50,个,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:81,50不锈钢挂锁
REVIEW-MAT-00052,D,high,alias_conflict,不锈钢插销,五金备件/其他/门窗五金,材质: 不锈钢,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:82,不锈钢插销
REVIEW-MAT-00053,C,medium,needs_human_review,带锁不锈钢插销,五金备件/其他/门窗五金,材质: 不锈钢；功能: 带锁,个,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:83,不锈钢插销带锁
REVIEW-MAT-00054,C,medium,needs_human_review,环保涂料,化工油漆胶粘/油漆涂料/涂料油漆,品牌: 立邦；系列: 5合1,桶,,存在低精度或人工复核标记，需要补齐信息。,确认类型、品牌/型号、颜色和包装规格。,Sheet1:85,立邦环保涂料5合1
REVIEW-MAT-00055,D,high,alias_conflict,滚筒刷,工具器具/涂装工具/刷辊喷涂,规格: 4寸,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:86,4寸滚筒
REVIEW-MAT-00056,C,medium,specs_conflict,插销,五金备件/其他/门窗五金,规格: 4寸,付,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:87,4寸插销
REVIEW-MAT-00057,C,medium,needs_human_review,加厚不锈钢合页,五金备件/其他/门窗五金,材质: 不锈钢；规格: 4寸；特征: 加厚,付,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:88,4寸不锈钢加厚合页
REVIEW-MAT-00059,D,high,alias_conflict,塑料扫把,行政办公与清洁/清洁用品/清洁工具耗材,材质: 塑料,个,至少一个: 规格；类型；品牌；包装规格,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:90,塑料扫把
REVIEW-MAT-00060,D,high,alias_conflict,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 40,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:91,40不锈钢挂锁
REVIEW-MAT-00061,D,high,alias_conflict,高粱扫把,行政办公与清洁/清洁用品/清洁工具耗材,材质/类型: 高粱,把,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:92,高粱扫把
REVIEW-MAT-00062,C,medium,needs_human_review,PVC地板胶,工程建材/其他/地面材料,材质: PVC；特征: 加厚,平方,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:95,加厚PVC地板胶
REVIEW-MAT-00063,C,medium,missing_specs,环保墙布,工程建材/其他/墙面材料,特征: 厚、环保,平方,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:97,厚环保墙布
REVIEW-MAT-00064,C,medium,missing_specs,不锈钢水壶,行政办公与清洁/生活后勤/生活用品,材质: 不锈钢；容量: 6.5升,个,至少一个: 规格；类型；品牌；包装规格,未满足当前分组的关键规格模板。,确认规格、品牌和包装单位。,Sheet1:99,6.5升不锈钢水壶
REVIEW-MAT-00065,C,medium,missing_specs,锂电池电钻,工具器具/电动工具/电钻角磨机,动力: 锂电池,台,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,Sheet1:100,锂电池电钻
REVIEW-MAT-00066,C,medium,needs_human_review,水桶,行政办公与清洁/生活后勤/生活用品,类型: 水桶,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、品牌和包装单位。,Sheet1:102,水桶
REVIEW-MAT-00067,D,high,alias_conflict,水龙头花洒套装,工程建材/水暖建材/水暖五金,类型: 水龙头+花洒,套,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:103；Sheet1:141,水龙头花洒
REVIEW-MAT-00068,D,high,alias_conflict,闭门器,五金备件/其他/门窗五金,规格: 大,套,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:106,闭门器大
REVIEW-MAT-00069,D,high,alias_conflict,不锈钢插销,五金备件/其他/门窗五金,材质: 不锈钢,套,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:107,不锈钢插销
REVIEW-MAT-00070,C,medium,needs_human_review,水龙头,工程建材/水暖建材/水暖五金,类型: 水龙头,个,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:108,水龙头
REVIEW-MAT-00071,C,medium,needs_note_review,空调插座,电气与自动化/插头插座/插头插座,品牌: 公牛；电流: 16A；用途: 空调,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:111；Sheet1:198,16A公牛空调插座；公牛16A空调插座
REVIEW-MAT-00073,C,medium,missing_specs,启辉器,电气与自动化/照明与报警/灯具,类型: 启辉器,个,至少一个: 型号；规格；品牌；电流；电压；功率；位数,未满足当前分组的关键规格模板。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:116,启辉器
REVIEW-MAT-00074,C,medium,missing_specs,螺口灯头,电气与自动化/照明与报警/灯具,接口: 螺口,个,至少一个: 型号；规格；品牌；电流；电压；功率；位数,未满足当前分组的关键规格模板。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:118,螺口灯头
REVIEW-MAT-00075,C,medium,low_precision_conflict,排气扇,电气与自动化/其他/通风设备,规格: 50*50,台,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:119,50*50排气扇
REVIEW-MAT-00076,C,medium,low_precision_conflict,漏电保护器,电气与自动化/低压电器/低压电器,品牌: 施耐德；极数: 2P；电流: 63A,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:120,2P*63A施耐德漏电保护器
REVIEW-MAT-00077,C,medium,low_precision_conflict,空气开关,电气与自动化/低压电器/低压电器,品牌: 施耐德；极数: 3P；电流: 63A,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:121,3P*63A施耐德空气开关
REVIEW-MAT-00078,C,medium,specs_conflict,不锈钢洗脸盆,工程建材/其他/洁具,材质: 不锈钢；长度: 2米；特征: 加厚,台,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:125,2米加厚不锈钢洗脸盆
REVIEW-MAT-00079,C,medium,needs_human_review,大弯水龙头,工程建材/水暖建材/水暖五金,类型: 大弯,个,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:126,大弯水龙头
REVIEW-MAT-00080,C,medium,missing_specs,洗脸盆下水管,工程建材/其他/洁具配件,用途: 洗脸盆；类型: 下水管,套,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:127；Sheet1:194,洗脸盆下水管
REVIEW-MAT-00081,C,medium,missing_specs,沙子,工程建材/水泥砂石/水泥砂石,包装: 大包,包,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:129,大包沙子
REVIEW-MAT-00082,C,medium,missing_specs,石子,工程建材/水泥砂石/水泥砂石,包装: 大包,包,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:130,大包石子
REVIEW-MAT-00083,C,medium,low_precision_conflict,帆布手套,劳保用品/手部防护/手套,类型: 双重/双层帆布,双,,存在低精度或人工复核标记，需要补齐信息。,确认类型、规格、材质和安全等级。,Sheet1:131,双重帆布手套
REVIEW-MAT-00084,C,medium,needs_human_review,铜挂锁,五金备件/门锁锁具/门锁锁具,材质: 铜,个,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:132,铜挂锁
REVIEW-MAT-00085,D,high,alias_conflict,扫把,行政办公与清洁/清洁用品/清洁工具耗材,类型: 扫把,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:133,扫把
REVIEW-MAT-00088,D,high,unit_conflict,冷热水龙头,工程建材/水暖建材/水暖五金,规格: 4分；类型: 冷热,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:140；Sheet1:379,4分冷热水龙头
REVIEW-MAT-00091,C,medium,specs_conflict,电缆,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；规格: 3*6+1,米,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:147,3*6+1起帆电缆
REVIEW-MAT-00092,D,high,alias_conflict,铜鼻子,电气与自动化/接线连接/接线端子,规格: 100A；材质: 铜,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:148,100A铜鼻子
REVIEW-MAT-00093,D,high,alias_conflict,铜鼻子,电气与自动化/接线连接/接线端子,规格: 200A；材质: 铜,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:149,200A铜鼻子
REVIEW-MAT-00094,C,medium,low_precision_conflict,垃圾袋,行政办公与清洁/清洁用品/清洁工具耗材,规格: 大,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、品牌和包装单位。,Sheet1:150；Sheet1:222；Sheet1:236；Sheet1:364,大垃圾袋
REVIEW-MAT-00095,C,medium,missing_specs,防护眼镜,劳保用品/其他/眼面防护,用途: 打磨,个,至少一个: 类型；规格；材质；型号,未满足当前分组的关键规格模板。,确认类型、规格、材质和安全等级。,Sheet1:151,打磨眼镜
REVIEW-MAT-00098,D,high,alias_conflict,镀锌角铁,金属原材料/钢材型材/钢材型材,材质/表面: 镀锌；规格: 4*4*0.5,米,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:154；Sheet1:182；Sheet1:200,4*4*0.5镀锌角铁
REVIEW-MAT-00099,D,high,alias_conflict,羊毛刷,工具器具/涂装工具/刷辊喷涂,规格: 4寸,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:156,4寸羊毛刷
REVIEW-MAT-00100,C,medium,specs_conflict,三通,工程建材/其他/排水管件,品牌: 公元；规格: 75；类型: 三通,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:160,公元75三通
REVIEW-MAT-00101,C,medium,needs_human_review,补心,工程建材/其他/排水管件,品牌: 公元；规格: 75*50；类型: 补心/异径,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:161,公元75*50补心
REVIEW-MAT-00102,C,medium,specs_conflict,弯头,工程建材/其他/排水管件,品牌: 公元；规格: 75；类型: 弯头,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:163,公元75弯头
REVIEW-MAT-00103,C,medium,specs_conflict,三通,工程建材/其他/排水管件,品牌: 公元；规格: 50；类型: 三通,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:165,公元50三通
REVIEW-MAT-00104,C,medium,specs_conflict,弯头,工程建材/其他/排水管件,品牌: 公元；规格: 50；类型: 弯头,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:166,公元50弯头
REVIEW-MAT-00105,C,medium,needs_human_review,异径三通,工程建材/其他/排水管件,品牌: 公元；规格: 75*50；类型: 三通,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:167,公元75*50三通
REVIEW-MAT-00106,C,medium,low_precision_conflict,金属软管,工程建材/水暖建材/水暖五金,长度: 80公分；材质: 金属,个,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:172,80公分金属软管
REVIEW-MAT-00107,C,medium,low_precision_conflict,金属软管,工程建材/水暖建材/水暖五金,长度: 40公分；材质: 金属,个,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:173,40公分金属软管
REVIEW-MAT-00108,D,high,alias_conflict,生料带,工程建材/水暖建材/水暖五金,类型: 密封带,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:174,生料带
REVIEW-MAT-00109,C,medium,low_precision_conflict,PPR阀门,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 阀门,个,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:175,公元25PPR阀门
REVIEW-MAT-00110,D,high,alias_conflict,记号笔,行政办公与清洁/办公用品/文具书写,类型: 记号笔,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:178,记号笔
REVIEW-MAT-00111,C,medium,low_precision_conflict,PPR弯头,工程建材/水暖建材/水暖五金,规格: 25；类型: 弯头,个,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:180,25PPR弯头
REVIEW-MAT-00112,D,high,alias_conflict,羊毛刷,工具器具/涂装工具/刷辊喷涂,规格: 4寸,支,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:183,4寸羊毛刷
REVIEW-MAT-00113,C,medium,low_precision_conflict,冲击钻头,工具器具/工具配件/工具配件,规格: 6厘,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:184,6厘冲击钻头
REVIEW-MAT-00114,C,medium,low_precision_conflict,冲击钻头,工具器具/工具配件/工具配件,规格: 20厘,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:185,20厘冲击钻头
REVIEW-MAT-00115,D,high,alias_conflict,美工刀,工具器具/其他/手动工具,品牌: 得力,支,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:186,得力美工刀
REVIEW-MAT-00117,C,medium,low_precision_conflict,膨胀螺丝,五金备件/其他/紧固件,规格: 14*120,支,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级和单位。,Sheet1:191,14*120膨胀螺丝
REVIEW-MAT-00118,C,medium,specs_conflict,不锈钢洗脸盆,工程建材/其他/洁具,材质: 不锈钢；规格: 120*80；特征: 加厚,套,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:193,不锈钢120*80加厚洗脸盆
REVIEW-MAT-00119,C,medium,specs_conflict,插头,电气与自动化/插头插座/插头插座,品牌: 德力西；电流: 16A,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:199,德力西16A插头
REVIEW-MAT-00120,C,medium,low_precision_conflict,BV电线,电气与自动化/电线电缆与敷设/电线电缆,型号: BV；截面积: 2.5平方,米,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:204,BV2.5平方电线
REVIEW-MAT-00121,C,medium,needs_human_review,PPR给水管,工程建材/水暖建材/水暖五金,规格: 32；用途: 给水,米,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:206,32PPR给水管
