question_id	draft_sku_id	draft_item_code	priority	放行等级	标准名称	标准分组	标准单位	当前必填规格	missing_specs	question	recommended_next_action	source_candidate_rows	整理依据
MISS-000102	SKU-DRAFT-000102	PIPE-000022	medium	B	排水三通	工程材料/排水管件	个	品牌：公元；规格：50；类型：三通	材质；口径	请补充“排水三通”的材质、口径。	确认材质、口径、压力等级、连接方式和壁厚。	103	材质需按同批胶管确认
MISS-000103	SKU-DRAFT-000103	PIPE-000023	medium	B	排水弯头	工程材料/排水管件	个	品牌：公元；规格：50；类型：弯头	材质；口径	请补充“排水弯头”的材质、口径。	确认材质、口径、压力等级、连接方式和壁厚。	104	材质需按同批胶管确认
MISS-000104	SKU-DRAFT-000104	PIPE-000024	medium	B	排水异径三通	工程材料/排水管件	个	品牌：公元；规格：75*50；类型：三通	材质；口径	请补充“排水异径三通”的材质、口径。	确认材质、口径、压力等级、连接方式和壁厚。	105	材质需按同批胶管确认
MISS-000105	SKU-DRAFT-000105	PIPE-000025	high	C	金属软管	工程材料/水暖五金	个	材质：金属；长度：80公分	规格	请补充“金属软管”的规格。	确认材质、口径、压力等级、连接方式和壁厚。	106	接口规格缺失，无法区分接口 SKU
MISS-000106	SKU-DRAFT-000106	PIPE-000026	high	C	金属软管	工程材料/水暖五金	个	材质：金属；长度：40公分	规格	请补充“金属软管”的规格。	确认材质、口径、压力等级、连接方式和壁厚。	107	接口规格缺失，无法区分接口 SKU
MISS-000109	SKU-DRAFT-000109	ADMIN-000006	high	C	记号笔	办公低耗/文具	个	类型：记号笔	颜色	请补充“记号笔”的颜色。	确认品牌、规格、包装规格和材质。	110	颜色缺失，无法区分颜色 SKU
MISS-000110	SKU-DRAFT-000110	PIPE-000028	medium	B	PPR弯头	工程材料/PPR管件	个	规格：25；类型：弯头	材质；口径	请补充“PPR弯头”的材质、口径。	确认材质、口径、压力等级、连接方式和壁厚。	111	原始未提供品牌；需复核是否与同类 PPR 弯头合并
MISS-000111	SKU-DRAFT-000111	TOOL-000011	medium	B	羊毛刷	工具器具/涂装工具	支	规格：4寸	品牌；型号	请补充“羊毛刷”的品牌、型号。	确认品牌、型号/规格、尺寸和适用设备。	112	与其他批次同物料单位待统一
MISS-000118	SKU-DRAFT-000118	ELEC-000033	high	C	插头	电气材料/插头插座	个	品牌：德力西；电流：16A	型号；电压；安装方式	请补充“插头”的型号、电压、安装方式。	确认品牌、型号、电压/电流和安装或连接方式。	119	极数/孔型缺失，无法区分插头 SKU
MISS-000119	SKU-DRAFT-000119	ELEC-000034	medium	B	BV电线	电气材料/电线电缆	米	型号：BV；截面积：2.5平方	品牌	请补充“BV电线”的品牌。	确认品牌、型号、电压/电流和安装或连接方式。	120	原始未提供品牌；需复核是否与同类 BV 电线合并
MISS-000120	SKU-DRAFT-000120	PIPE-000029	medium	B	PPR给水管	工程材料/PPR管件	米	规格：32；用途：给水	品牌	请补充“PPR给水管”的品牌。	确认材质、口径、压力等级、连接方式和壁厚。	121	品牌缺失
MISS-000122	SKU-DRAFT-000122	MAT-000009	high	C	蹲便器	工程材料/洁具	个	类型：平面蹲厕	尺寸	请补充“蹲便器”的尺寸。	确认规格、型号、材质和品牌等关键建档信息。	123	尺寸/排水方式缺失，无法区分洁具 SKU
MISS-000123	SKU-DRAFT-000123	MAT-000010	high	C	冲水水箱	工程材料/洁具配件	个	用途：冲水	容量	请补充“冲水水箱”的容量。	确认规格、型号、材质和品牌等关键建档信息。	124	容量/安装方式缺失，无法区分水箱 SKU
MISS-000124	SKU-DRAFT-000124	MAT-000011	high	C	小便斗	工程材料/洁具	个	类型：小便斗	规格	请补充“小便斗”的规格。	确认规格、型号、材质和品牌等关键建档信息。	125	规格/感应方式缺失，无法区分小便斗 SKU
MISS-000125	SKU-DRAFT-000125	MAT-000012	high	C	按压水龙头	工程材料/水暖五金	个	类型：按压	规格；材质	请补充“按压水龙头”的规格、材质。	确认规格、型号、材质和品牌等关键建档信息。	126	材质/接口规格缺失，无法区分龙头 SKU
MISS-000127	SKU-DRAFT-000127	SPARE-000009	high	C	钢圈	加工件/金属加工件	个	材质：钢；规格：100*108*5；加工：是	型号；图号；适用设备；关键尺寸	请补充“钢圈”的型号、图号、适用设备、关键尺寸。	确认型号、图号、适用设备、材质和关键尺寸。	128	加工件图纸/材质牌号缺失
MISS-000134	SKU-DRAFT-000134	MAT-000013	high	C	洗脸盆龙头	工程材料/水暖五金	个	用途：洗脸盆	规格；材质	请补充“洗脸盆龙头”的规格、材质。	确认规格、型号、材质和品牌等关键建档信息。	135	材质/接口规格缺失，无法区分龙头 SKU
MISS-000135	SKU-DRAFT-000135	METAL-000006	high	C	不锈钢锁扣	五金备件/门窗五金	个	材质：不锈钢	规格	请补充“不锈钢锁扣”的规格。	确认材质、规格尺寸、厚度/长度和执行标准。	136	规格缺失，无法区分锁扣 SKU
MISS-000136	SKU-DRAFT-000136	WELD-000001	high	C	耐磨焊丝	焊接耗材/焊丝	KG	型号/牌号：998；特性：高强度耐磨	直径	请补充“耐磨焊丝”的直径。	确认型号、规格、材质、包装重量和适用工艺。	137	直径缺失，无法区分焊丝 SKU
MISS-000138	SKU-DRAFT-000138	PIPE-000035	high	C	高压油管	液压/高压管路	条	规格：DN25*4；类型：高压油管	压力等级；接头形式	请补充“高压油管”的压力等级、接头形式。	确认材质、口径、压力等级、连接方式和壁厚。	139	压力等级/接头形式缺失，无法区分高压油管 SKU
MISS-000140	SKU-DRAFT-000140	MAT-000014	high	C	泡沫填缝剂	化工耗材/填缝剂	支	类型：泡沫填缝剂	容量	请补充“泡沫填缝剂”的容量。	确认规格、型号、材质和品牌等关键建档信息。	141	容量缺失，无法区分填缝剂 SKU
MISS-000142	SKU-DRAFT-000142	SPARE-000010	high	C	钢圈	加工件/金属加工件	个	材质：钢；规格：100*110*10；加工：是	型号；图号；适用设备；关键尺寸	请补充“钢圈”的型号、图号、适用设备、关键尺寸。	确认型号、图号、适用设备、材质和关键尺寸。	143	加工件图纸/材质牌号缺失
MISS-000143	SKU-DRAFT-000143	SPARE-000011	high	C	垫片	加工件/金属加工件	个	规格：110*100*5；加工：是	材质	请补充“垫片”的材质。	确认型号、图号、适用设备、材质和关键尺寸。	144	加工件材质/图纸缺失
MISS-000145	SKU-DRAFT-000145	MAT-000015	medium	B	冷热水龙头	工程材料/水暖五金	套	规格：4分；类型：冷热	型号	请补充“冷热水龙头”的型号。	确认规格、型号、材质和品牌等关键建档信息。	146	与其他批次同类物料单位待统一
MISS-000146	SKU-DRAFT-000146	PIPE-000038	medium	B	金属软管	工程材料/水暖五金	根	规格：4分；长度：60	材质；口径	请补充“金属软管”的材质、口径。	确认材质、口径、压力等级、连接方式和壁厚。	147	长度 60 未注明单位，疑似 cm，需确认
MISS-000149	SKU-DRAFT-000149	CHEM-000003	high	C	502胶水	化工耗材/胶粘剂	支	类型：502	容量	请补充“502胶水”的容量。	确认品牌/型号、类型、容量或包装规格和颜色。	150	容量缺失，无法区分胶水 SKU
MISS-000153	SKU-DRAFT-000153	ELEC-000035	high	C	电箱	电气材料/配电箱	个	规格：250A	尺寸	请补充“电箱”的尺寸。	确认品牌、型号、电压/电流和安装或连接方式。	154	箱体尺寸缺失，可能影响配电箱SKU区分
MISS-000154	SKU-DRAFT-000154	ELEC-000036	medium	B	五孔插座	电气材料/插头插座	个	类型：五孔	品牌	请补充“五孔插座”的品牌。	确认品牌、型号、电压/电流和安装或连接方式。	155	品牌缺失，按五孔插座候选
MISS-000156	SKU-DRAFT-000156	PIPE-000040	medium	B	高压油管	液压/高压管路	米	规格：DN51；等级：4SH	接头形式	请补充“高压油管”的接头形式。	确认材质、口径、压力等级、连接方式和壁厚。	157	接头形式缺失；按米计量暂按油管本体候选
MISS-000157	SKU-DRAFT-000157	PIPE-000041	medium	B	高压油管	液压/高压管路	米	规格：DN32；等级：4SH	接头形式	请补充“高压油管”的接头形式。	确认材质、口径、压力等级、连接方式和壁厚。	158	接头形式缺失；按米计量暂按油管本体候选
MISS-000159	SKU-DRAFT-000159	MAT-000017	medium	B	卸扣	吊装索具/卸扣	个	载荷：2T	执行标准	请补充“卸扣”的执行标准。	确认规格、型号、材质和品牌等关键建档信息。	160	执行标准缺失
MISS-000160	SKU-DRAFT-000160	TOOL-000019	high	C	剪刀	工具器具/手动工具	个	类型：剪刀	规格	请补充“剪刀”的规格。	确认品牌、型号/规格、尺寸和适用设备。	161	规格/用途缺失，无法区分剪刀类型
MISS-000172	SKU-DRAFT-000172	TOOL-000025	medium	B	拖把	清洁用品/清洁工具	支	规格：大	品牌；型号	请补充“拖把”的品牌、型号。	确认品牌、型号/规格、尺寸和适用设备。	173	输入提示单位待统一，暂保留原单位
MISS-000174	SKU-DRAFT-000174	TOOL-000027	high	C	锂电池角磨机	工具器具/电动工具	台	品牌：大艺；动力：锂电池	电压	请补充“锂电池角磨机”的电压。	确认品牌、型号/规格、尺寸和适用设备。	175	电压缺失，可能影响锂电池角磨机SKU区分
MISS-000176	SKU-DRAFT-000176	MAT-000018	medium	B	卸扣	吊装索具/卸扣	个	载荷：4T	执行标准	请补充“卸扣”的执行标准。	确认规格、型号、材质和品牌等关键建档信息。	177	执行标准缺失
MISS-000177	SKU-DRAFT-000177	SPARE-000014	high	C	螺丝	五金备件/紧固件	套	规格：16*50	材质；强度等级	请补充“螺丝”的材质、强度等级。	确认型号、图号、适用设备、材质和关键尺寸。	178	材质/强度等级缺失，可能影响紧固件SKU区分
MISS-000178	SKU-DRAFT-000178	ELEC-000040	high	C	LED防爆机床方形灯	电气材料/防爆照明	套	长度：1220MM；类型：LED；功能：防爆；形状：方形；用途：机床	功率	请补充“LED防爆机床方形灯”的功率。	确认品牌、型号、电压/电流和安装或连接方式。	179	功率缺失，可能影响灯具SKU区分
MISS-000179	SKU-DRAFT-000179	SPARE-000015	high	C	螺丝	五金备件/紧固件	套	规格：14*50	材质；强度等级	请补充“螺丝”的材质、强度等级。	确认型号、图号、适用设备、材质和关键尺寸。	180	材质/强度等级缺失，可能影响紧固件SKU区分
MISS-000181	SKU-DRAFT-000181	MAT-000020	high	C	热水器挂钩	工程材料/水暖五金	个	用途：热水器	规格	请补充“热水器挂钩”的规格。	确认规格、型号、材质和品牌等关键建档信息。	182	规格缺失，可能影响挂钩SKU区分
MISS-000184	SKU-DRAFT-000184	PIPE-000042	high	C	不锈钢弯头	工程材料/管件	个	材质：不锈钢；规格：250；类型：弯头	壁厚	请补充“不锈钢弯头”的壁厚。	确认材质、口径、压力等级、连接方式和壁厚。	185	壁厚/角度缺失，可能影响管件SKU区分
