"sequence","excel_row","raw_name","standard_name","item_group","specs","unit","status","question"
"78","79","磁珠","磁珠","电气材料/电气辅材","类型: 磁珠；规格缺失","个","待确认","是穿线瓷珠/绝缘磁珠还是电子磁珠？"
"79","80","螺丝","螺丝","五金备件/紧固件","规格缺失","个","待确认","规格、材质、类型缺失，不建议直接建档"
"83","84","六角自攻螺丝大盒","六角自攻螺丝","五金备件/紧固件","头型: 六角；包装: 大盒","合","待确认","规格长度、单位“合/盒”缺失"
"92","93","木杆子","木杆","建筑材料/木材","材质: 木；规格缺失","根","待确认","长度/直径缺失"
"93","94","草酸","草酸","化工耗材/清洁化学品","类型: 草酸","桶","待确认","浓度/包装规格缺失"
"95","96","网线","网线","电气材料/弱电材料","类型: 网线；规格缺失","条","待确认","超五类/六类、长度缺失"
"97","98","糯米胶","糯米胶","化工耗材/胶粘剂","类型: 糯米胶","平方","待确认","单位“平方”疑似按施工面积，不是库存单位"
"100","101","钻头","钻头","工具器具/工具配件","规格缺失","个","待确认","直径、材质、用途缺失"
"103","104","桶装水按钮","桶装水按钮","办公生活用品/饮水配件","用途: 桶装水；类型: 按钮/压水器配件","个","待确认","是压水器按钮还是饮水机配件？"
"104","105","地毯清洁剂大","地毯清洁剂","清洁用品/清洁剂","规格: 大","桶","待确认","容量缺失"
"108","109","定做导链式窗帘","导链式窗帘","装修材料/窗帘","定制: 是；类型: 导链式","平方","可合并/待确认","与第62行同物料；确认库存物料还是定制服务"
"112","113","DN15软管","软管","工程材料/水暖五金","规格: DN15","米","待确认","材质/用途不明确，是金属软管还是塑料软管？"
"113","114","灰板","灰板","装修材料/板材","名称过短，规格缺失","个","待确认","材质、尺寸、用途缺失"
"114","115","铝合金","铝合金型材","金属材料/型材","材质: 铝合金；规格缺失","个","待确认","型材形状、规格、长度缺失"
"116","117","镇流器","镇流器","电气材料/照明配件","类型: 镇流器","个","待确认","功率/适配灯具缺失"
"121","122","方撬","方锹","工具器具/手动工具","类型: 方锹；原文: 方撬","把","待确认","是否为“方锹”？"
"122","123","伴水泥耙子","拌水泥耙子","工具器具/施工工具","用途: 拌水泥；类型: 耙子","把","待确认","原文“伴”是否为“拌”？"
"123","124","4.2*6.5水泥钉","水泥钉","五金备件/紧固件","规格: 4.2*6.5","合","待确认","单位“合”是否为“盒”？规格单位需确认"
"127","128","海螺水泥","水泥","建筑材料/水泥砂石","品牌: 海螺；规格型号缺失","包","待确认","标号如 42.5/32.5 缺失"
"133","134","铁丝","铁丝","金属材料/线材","材质: 铁；规格缺失","KG","待确认","线径/号数缺失"
"134","135","4公斤灭火器","灭火器","消防器材/灭火器","容量: 4公斤","个","待确认","干粉/二氧化碳等类型缺失"
"135","136","4公斤灭火器筒","灭火器筒","消防器材/灭火器配件","容量: 4公斤；类型: 筒体","个","待确认","是否为空瓶/筒体？"
"136","137","烟感","烟感报警器","消防器材/报警器","类型: 烟感","个","待确认","独立式/联网型、品牌型号缺失"
"142","143","大防潮灯","防潮灯","电气材料/照明","规格: 大；功能: 防潮","个","待确认","功率/规格缺失"
"143","144","LED灯泡","LED灯泡","电气材料/照明","类型: LED灯泡","个","待确认","功率/灯头规格缺失"
"144","145","防水开关","防水开关","电气材料/插座开关","功能: 防水","个","待确认","位数/电流/明暗装缺失"
"156","157","25保温棉","保温棉","工程材料/保温材料","规格: 25；含义待确认","米","可合并/待确认","与第8行同物料；25 含义未确认"
"157","158","25*50*0.5米厚铸铁井盖","铸铁井盖","工程材料/井盖","材质: 铸铁；规格: 25*50*0.5米；特征: 厚","米","待确认","单位“米”不合理，是否应为块/套？规格含义需确认"
"158","159","公元75胶管","胶管","工程材料/排水管件","品牌: 公元；规格: 75","米","待确认","材质是 PVC 还是其他胶管？"
"161","162","胶水","管道胶水","化工耗材/胶粘剂","用途: 管道粘接；规格缺失","瓶","待确认","PVC胶水/PPR胶水/普通胶水？"
"163","164","公元50胶管","胶管","工程材料/排水管件","品牌: 公元；规格: 50","米","待确认","材质是 PVC 还是其他胶管？"
"169","170","4分三通","三通","工程材料/水暖管件","规格: 4分；类型: 三通","个","待确认","材质/连接方式缺失"
"170","171","4分内接","内接","工程材料/水暖管件","规格: 4分；连接: 内接","个","待确认","材质缺失"
"176","177","不锈钢烟筒","不锈钢烟筒","工程材料/排烟材料","材质: 不锈钢","个","待确认","直径/长度缺失"
"178","179","6分阀门","阀门","工程材料/阀门","规格: 6分","个","待确认","材质/类型缺失"
"180","181","厚雨棚PC板","PC板","装修材料/板材","用途: 雨棚；材质: PC；特征: 厚","平方","待确认","厚度/颜色缺失"
"186","187","得力美工刀片","美工刀片","工具器具/工具配件","品牌: 得力","合","待确认","单位“合”是否为“盒”？规格缺失"
"187","188","PVC线管","PVC线管","电气材料/电气管材","材质: PVC；规格缺失","米","可合并/待确认","与第22行同物料；管径缺失"
"189","190","玻璃水","玻璃清洁液","清洁用品/清洁剂","用途: 玻璃清洁","支","待确认","单位“支”是否合理？容量缺失"
"191","192","6*4三通","三通","工程材料/水暖管件","规格: 6分*4分；类型: 三通","个","待确认","材质/连接方式缺失"
"194","195","6分接头","接头","工程材料/水暖管件","规格: 6分；类型: 接头","个","待确认","材质/连接方式缺失"
"196","197","6厘膨胀螺丝","膨胀螺丝","五金备件/紧固件","规格: 6厘","个","待确认","长度缺失"
"200","201","PVC线管","PVC线管","电气材料/电气管材","材质: PVC；规格缺失","米","可合并/待确认","与第22行同物料；管径缺失"
"201","202","20弯头","弯头","工程材料/管件","规格: 20；类型: 弯头","个","待确认","材质和管件体系缺失"
"202","203","20直接","直通","工程材料/管件","规格: 20；类型: 直通/直接","个","待确认","材质和管件体系缺失"
"204","205","热水器防火墙","热水器防火墙","工程材料/水暖五金","用途: 热水器；功能: 防火墙","个","待确认","具体产品类型/规格不清"
"206","207","32弯头","PPR弯头","工程材料/PPR管件","规格: 32；类型: 弯头","个","待确认","默认 PPR 需确认"
"207","208","32三通","PPR三通","工程材料/PPR管件","规格: 32；类型: 三通","个","待确认","默认 PPR 需确认"
"208","209","32直通","PPR直通","工程材料/PPR管件","规格: 32；类型: 直通","个","待确认","默认 PPR 需确认"
"210","211","胶水","管道胶水","化工耗材/胶粘剂","用途: 管道粘接；规格缺失","瓶","可合并/待确认","与第161行同物料；类型仍需确认"
"211","212","32代沟管卡","管卡带钩","工程材料/管道辅材","规格: 32；疑似带钩","个","待确认","“代沟”是否为“带钩”？"
"215","216","金属软管","金属软管","工程材料/水暖五金","材质: 金属；规格缺失","个","待确认","长度/接口规格缺失"
"217","218","保温棉","保温棉","工程材料/保温材料","规格缺失","米","待确认","厚度/适配管径缺失"
"218","219","玻璃胶","玻璃胶","化工耗材/胶粘剂","类型: 玻璃胶","个","待确认","中性/酸性、颜色、容量缺失"
"220","221","拉手","拉手","五金备件/门窗五金","规格缺失","个","待确认","材质/孔距/用途缺失"
"222","223","电热水龙头","电热水龙头","工程材料/水暖五金","功能: 电热","套","待确认","功率/接口规格缺失"
"223","224","袋子","袋子","包装材料/袋类","规格缺失","个","待确认","材质、尺寸、用途缺失，不建议直接建档"
"224","225","加工尼龙导向轮","尼龙导向轮","加工件/尼龙件","材质: 尼龙；类型: 导向轮；加工: 是","个","待确认","图纸/尺寸缺失"
"227","228","WD*400除锈润滑剂","除锈润滑剂","化工耗材/润滑防锈","品牌: WD；规格: 400","支","待确认","是否 WD-40 400ml？"
"228","229","500高效除漆剂","高效除漆剂","化工耗材/表面处理剂","规格: 500","支","待确认","500 是容量 500ml 还是型号？"
"237","238","喷火枪头","喷火枪头","工具器具/焊割工具","类型: 枪头","个","待确认","适配燃气/型号缺失"
"239","240","精密电子清洁剂","精密电子清洁剂","清洁用品/电子清洁剂","用途: 精密电子清洁","支","待确认","容量/品牌缺失"
"242","243","加工打牙","打牙加工","服务/加工服务","工序: 打牙；加工: 是","个","待确认","应作为加工服务还是加工件工序费用？"
"244","245","25接头高压","高压接头","液压/高压管路","规格: 25；类型: 高压接头","个","待确认","螺纹/接头形式缺失"
"246","247","25弯头","弯头","工程材料/管件","规格: 25；类型: 弯头","个","待确认","材质/管件体系缺失"
"247","248","25三通","三通","工程材料/管件","规格: 25；类型: 三通","个","待确认","材质/管件体系缺失"
"250","251","25内接","内接","工程材料/管件","规格: 25；连接: 内接","个","待确认","材质/管件体系缺失"
"259","260","金立克切割片","切割片","工具器具/磨切耗材","品牌: 金立克","片","待确认","规格直径/厚度缺失"
"263","264","20外丝","外丝接头","工程材料/管件","规格: 20；连接: 外丝","个","待确认","材质/管件体系缺失"
"266","267","二氧化碳","二氧化碳","焊接耗材/工业气体","气体: 二氧化碳","瓶","待确认","是气体充装还是钢瓶采购？"
"267","268","氧气","氧气","焊接耗材/工业气体","气体: 氧气","瓶","待确认","是气体充装还是钢瓶采购？"
"268","269","乙炔","乙炔","焊接耗材/工业气体","气体: 乙炔","瓶","待确认","是气体充装还是钢瓶采购？"
"269","270","大玻璃纸","玻璃纸","包装材料/薄膜纸类","规格: 大","米","待确认","材质/宽度缺失"
"274","275","定做窗帘","窗帘","装修材料/窗帘","定制: 是","平方","待确认","库存物料还是定制服务？材质缺失"
"277","278","加长液压高压接头","液压高压接头","液压/高压管路","特征: 加长；类型: 高压接头","个","待确认","规格/螺纹缺失"
"279","280","53高压重型接头","高压重型接头","液压/高压管路","规格: 53；类型: 重型接头","个","待确认","螺纹/接头形式缺失"
"283","284","电焊机快速接头","电焊机快速接头","焊接耗材/焊机配件","用途: 电焊机；类型: 快速接头","套","待确认","规格电流缺失"
"284","285","通针","通针","焊接耗材/焊割配件","类型: 通针","合","待确认","单位“合/盒”、规格缺失"
"285","286","插座底合","插座底盒","电气材料/插头插座","类型: 底盒","个","待确认","原文“底合”是否为“底盒”？规格缺失"
"287","288","三和玻璃胶","玻璃胶","化工耗材/胶粘剂","品牌: 三和；类型: 玻璃胶","支","待确认","中性/酸性、颜色缺失"
"288","289","DN13高压胶管","高压胶管","液压/高压管路","规格: DN13","条","待确认","压力等级/接头形式缺失"
"289","290","DN25高压胶管","高压胶管","液压/高压管路","规格: DN25","条","待确认","压力等级/接头形式缺失"
"290","291","接头","接头","工程材料/管件","规格缺失","个","待确认","名称过短，材质/规格/用途缺失"
"291","292","切片","切割片","工具器具/磨切耗材","类型: 切片/切割片","片","待确认","规格/材质缺失"
"293","294","加厚货架200*200*60*5层","加厚货架","办公仓储/货架","规格: 200*200*60；层数: 5层；特征: 加厚","米","待确认","单位“米”不合理，是否按组/套？"
"294","295","加厚货架200*150*50*5层","加厚货架","办公仓储/货架","规格: 200*150*50；层数: 5层；特征: 加厚","米","待确认","单位“米”不合理，是否按组/套？"
"310","311","3.2钻头","钻头","工具器具/工具配件","规格: 3.2","支","待确认","3.2 是 mm 直径？材质/用途缺失"
"314","315","加工40*70钢板","钢板","加工件/金属加工件","规格: 40*70；加工: 是","块","待确认","厚度/材质/图纸缺失"
"316","317","加厚货架200*200*60*5层","加厚货架","办公仓储/货架","规格: 200*200*60；层数: 5层；特征: 加厚","米","可合并/待确认","与第293行同物料；单位需确认"
"317","318","加厚货架200*150*50*5层","加厚货架","办公仓储/货架","规格: 200*150*50；层数: 5层；特征: 加厚","米","可合并/待确认","与第294行同物料；单位需确认"
"320","321","滤芯","滤芯","设备备件/滤芯","规格缺失","个","待确认","适用设备/型号缺失"
"321","322","二保焊分离器","二保焊分离器","焊接耗材/焊机配件","用途: 二保焊；类型: 分离器","个","待确认","规格/适配焊机缺失"
"325","326","施耐德380V63A漏保","漏电保护器","电气材料/低压电器","品牌: 施耐德；电压: 380V；电流: 63A","个","待确认","极数缺失"
"326","327","保险丝","保险丝","电气材料/电气辅材","规格缺失","个","待确认","电流/电压/尺寸缺失"
"327","328","玻璃胶","玻璃胶","化工耗材/胶粘剂","类型: 玻璃胶","个","可合并/待确认","与第218行同类；中性/酸性、颜色缺失"
"330","331","加工不锈钢外墙罩","不锈钢外墙罩","加工件/金属加工件","材质: 不锈钢；用途: 外墙罩；加工: 是","个","待确认","图纸/尺寸缺失"
"332","333","250不锈钢管","不锈钢管","金属材料/管材","材质: 不锈钢；规格: 250","米","待确认","壁厚/标准缺失"
"334","335","定做加厚油布","加厚油布","定制件/篷布油布","定制: 是；特征: 加厚","平方","待确认","材质/厚度/用途缺失"
"340","341","等离子调节器","等离子调节器","焊接耗材/等离子切割配件","类型: 调节器","个","待确认","适配型号缺失"
"344","345","110PVC胶水","PVC胶水","化工耗材/胶粘剂","材质/用途: PVC；规格: 110","个","待确认","110 是适用管径还是容量？"
"345","346","110直通","直通","工程材料/排水管件","规格: 110；类型: 直通","个","待确认","材质/管件体系缺失"
"346","347","玻璃胶","玻璃胶","化工耗材/胶粘剂","类型: 玻璃胶","支","可合并/待确认","与第218行同类，单位待统一"
"347","348","大胶水","胶水","化工耗材/胶粘剂","规格: 大","瓶","待确认","胶水类型/用途缺失"
"350","351","维修推进泵换铜线圈","推进泵维修更换铜线圈","服务/维修服务","设备: 推进泵；更换件: 铜线圈；类型: 维修","台","待确认","作为维修服务还是铜线圈备件？"
"353","354","固定器","固定器","五金备件/固定件","规格缺失","个","待确认","用途/规格缺失，不建议直接建档"
"354","355","缠绕固定器","缠绕固定器","五金备件/固定件","类型: 缠绕固定器","米","待确认","单位/用途/规格缺失"
"355","356","DN80*50内丝接头","内丝接头","工程材料/管件","规格: DN80*50；连接: 内丝","个","待确认","材质/管件体系缺失"
"357","358","4/3重型套筒双向扳手","重型套筒双向扳手","工具器具/手动工具","规格: 4/3；类型: 重型、双向","个","待确认","4/3 是否为 3/4 英寸？"
"365","366","40外丝","外丝接头","工程材料/管件","规格: 40；连接: 外丝","个","待确认","材质/管件体系缺失"
"367","368","三和喷漆","喷漆","化工耗材/涂料","品牌: 三和","支","待确认","颜色缺失"
"384","385","DN65*50大小头","异径直接","工程材料/管件","规格: DN65*50；类型: 大小头/异径","个","待确认","材质/管件体系缺失"
"385","386","20*16气管插头","气管插头","气动/高压管路","规格: 20*16；类型: 插头","个","待确认","接头形式/压力缺失"
"386","387","20*10气管插头","气管插头","气动/高压管路","规格: 20*10；类型: 插头","个","待确认","接头形式/压力缺失"
"387","388","树脂高压管","树脂高压管","气动/高压管路","材质: 树脂；类型: 高压管","米","待确认","规格/压力等级缺失"
"388","389","高压弯头","高压弯头","气动/高压管路","类型: 高压弯头","个","待确认","规格/材质/压力缺失"
"389","390","高压直通","高压直通","气动/高压管路","类型: 高压直通","个","待确认","规格/材质/压力缺失"
"390","391","高压铜接头","高压铜接头","气动/高压管路","材质: 铜；类型: 高压接头","个","待确认","规格/螺纹缺失"
"391","392","18*80CM建销","销轴","五金备件/销轴","规格: 18*80CM；原文: 建销","个","待确认","“建销”是否为“键销/销轴”？规格单位是否 cm？"
"408","409","DN40高压油管","高压油管","液压/高压管路","规格: DN40","条","待确认","压力等级/接头形式缺失"
"409","410","DN40加长高压弯头","加长高压弯头","液压/高压管路","规格: DN40；特征: 加长；类型: 弯头","个","待确认","接头形式/压力等级缺失"
"410","411","DN40加长高压直通","加长高压直通","液压/高压管路","规格: DN40；特征: 加长；类型: 直通","个","待确认","接头形式/压力等级缺失"
"411","412","DN40高压直通","高压直通","液压/高压管路","规格: DN40；类型: 直通","个","待确认","接头形式/压力等级缺失"
"412","413","DN40加长高压单向阀","高压单向阀","液压/高压管路","规格: DN40；特征: 加长；类型: 单向阀","个","待确认","压力等级/连接形式缺失"
"413","414","DN40压差发信器","压差发信器","液压/仪表传感器","规格: DN40；用途: 压差报警/发信","个","待确认","量程/接口/电气参数缺失"
"417","418","40*40高压厚直通","高压直通","液压/高压管路","规格: 40*40；特征: 加厚；类型: 直通","个","待确认","螺纹/压力等级缺失"
"425","426","高压油管","高压油管","液压/高压管路","类型: 油管","条","待确认","口径/压力/长度/接头缺失"
"426","427","高压油管加厚接头","高压油管接头","液压/高压管路","特征: 加厚；用途: 高压油管","个","待确认","规格/螺纹/压力等级缺失"
"427","428","25*70*90加长套筒","加长套筒","工具器具/手动工具","规格: 25*70*90；特征: 加长","个","待确认","驱动方孔规格/用途缺失"
"434","435","磨光机压头","磨光机压头","工具器具/电动工具配件","适用设备: 磨光机；类型: 压头","套","待确认","适配机型/规格缺失"
"439","440","100手铐万能扳手","万能扳手","工具器具/手动工具","规格/俗称: 100手铐","个","待确认","“手铐”是否为手扣/链条式？规格含义需确认"
"445","446","10号丝锥","丝锥","工具器具/工具配件","规格: 10号","付","待确认","应为 M10？牙距/材质缺失"
"452","453","65加厚比塔抱箍","加厚抱箍","工程材料/管道紧固","规格: 65；特征: 加厚；别名: 比塔抱箍","个","待确认","“比塔”含义/材质缺失"
"453","454","65加厚铜头","加厚铜接头","工程材料/管件","规格: 65；材质: 铜；特征: 加厚","个","待确认","连接形式/用途缺失"
"454","455","DN50*4SH高压油管","高压油管","液压/高压管路","规格: DN50；压力/层级: 4SH","条","待确认","长度/接头形式缺失"
"456","457","加工52加厚高压接头","高压加厚接头","定制件/液压接头","加工: 是；规格: 52；特征: 加厚","个","可合并/待确认","与第455行是否同物料需确认"
"457","458","16*4SH高压油管","高压油管","液压/高压管路","规格: 16；压力/层级: 4SH","根","待确认","长度/接头形式缺失"
"458","459","16高压接头","高压接头","液压/高压管路","规格: 16","个","待确认","螺纹/压力等级/形式缺失"
"459","460","3/8高压接头","高压接头","液压/高压管路","规格: 3/8","个","待确认","螺纹制式/压力等级缺失"
"472","473","三和喷漆","自喷漆","化工耗材/涂料","品牌: 三和；类型: 自喷漆","瓶","待确认","颜色/容量缺失"
"481","482","加工加厚活塞60加密封","活塞密封组件","定制件/设备备件","加工: 是；规格: 60；包含: 密封","个","待确认","适用设备/图纸/材质缺失"
"482","483","300KG压不锈钢液压钳","液压钳","工具器具/液压工具","压力: 300KG；材质: 不锈钢","台","待确认","300KG含义/型号缺失"
"484","485","不锈钢扣子","不锈钢扣","五金备件/通用五金","材质: 不锈钢","个","待确认","用途/规格/形状缺失"
"485","486","电池","电池","电气材料/电池","类型: 电池","个","待确认","型号/电压/容量缺失"
"488","489","小油泵高压转接头","高压转接头","液压/高压管路","适用设备: 小油泵；类型: 转接头","个","待确认","规格/螺纹/压力等级缺失"
"490","491","7#.8#自封袋","自封袋","包装材料/自封袋","规格: 7#、8#","个","待确认","一行含两个规格，建议拆分"
"497","498","青三和喷漆绿色","自喷漆","化工耗材/涂料","品牌: 三和；颜色: 青绿色；类型: 自喷漆","瓶","待确认","颜色应规范为青色还是绿色"
"501","502","配钥匙","配钥匙服务","服务费用/维修配套","类型: 配钥匙","把","待确认","应作为服务费用，不建议入库存物料"
"504","505","5.54w配件","设备配件","设备备件/未知配件","原始规格: 5.54w","套","待确认","名称无法识别，是否为5.5kW配件？适用设备缺失"
"505","506","52*4SH进口高压管","高压油管","液压/高压管路","规格: 52；压力/层级: 4SH；特征: 进口","米","待确认","接头形式/是否按米入库需确认"
"506","507","803百叶窗","百叶窗","工程材料/门窗五金","型号/规格: 803","个","待确认","尺寸/材质缺失"
"507","508","进口½x700KG高压油管","高压油管","液压/高压管路","规格: 1/2；压力: 700KG；特征: 进口","米","待确认","层级/接头形式/是否按米入库需确认"
"508","509","高压接头","高压接头","液压/高压管路","类型: 接头","个","待确认","规格/螺纹/压力等级缺失"
"509","510","100x160公斤抗震高压油表","抗震压力表","液压/仪表传感器","规格: 100；压力: 160公斤；类型: 抗震高压油表","个","待确认","表盘直径/接口规格/量程单位需确认"
"510","511","50x100公斤抗震高压油表","抗震压力表","液压/仪表传感器","规格: 50；压力: 100公斤；类型: 抗震高压油表","个","待确认","表盘直径/接口规格/量程单位需确认"
"514","515","6x4SH高压油管","高压油管","液压/高压管路","规格: 6；层级: 4SH","米","待确认","接头形式/压力等级/是否按米入库需确认"
"515","516","10x4SH高压油管","高压油管","液压/高压管路","规格: 10；层级: 4SH","米","待确认","接头形式/压力等级缺失"
"516","517","13x4SH高压油管","高压油管","液压/高压管路","规格: 13；层级: 4SH","米","待确认","接头形式/压力等级缺失"
"517","518","16x4SH高压油管","高压油管","液压/高压管路","规格: 16；层级: 4SH","米","可合并/待确认","与第457行同族，单位/接头需确认"
"518","519","25x4SH高压油管","高压油管","液压/高压管路","规格: 25；层级: 4SH","米","待确认","接头形式/压力等级缺失"
"519","520","进口450KG*32x4SH高压油管","高压油管","液压/高压管路","特征: 进口；压力: 450KG；规格: 32；层级: 4SH","米","待确认","接头形式/量程单位规范缺失"
"520","521","38x4SH高压油管","高压油管","液压/高压管路","规格: 38；层级: 4SH","米","待确认","接头形式/压力等级缺失"
"521","522","700KG进口*19x4SH高压油管","高压油管","液压/高压管路","特征: 进口；压力: 700KG；规格: 19；层级: 4SH","米","待确认","接头形式/量程单位规范缺失"
"539","540","M8树脂高压管","树脂高压管","液压/高压管路","规格: M8；材质: 树脂","条","待确认","压力等级/长度/接头缺失"
"541","542","进口52x4SH高压油管","高压油管","液压/高压管路","特征: 进口；规格: 52；层级: 4SH","米","可合并/待确认","与第505行同族，接头/压力需确认"
"542","543","20高压球阀","高压球阀","液压/阀门","规格: 20；类型: 球阀","个","待确认","压力等级/连接形式缺失"
"543","544","20高压接头","高压接头","液压/高压管路","规格: 20","个","待确认","螺纹/压力等级/形式缺失"
"544","545","进口不锈钢压钳机","不锈钢压钳机","工具器具/液压工具","特征: 进口；材质/用途: 不锈钢压接","台","待确认","型号/压力范围/适用管径缺失"
"547","548","加工1150三通带抱箍","三通抱箍","定制件/管路接头","加工: 是；规格: 1150；类型: 三通带抱箍","条","可合并/待确认","与第480行是否同物料需确认"
"549","550","施耐德变频器中文面板","变频器操作面板","电气材料/自动化备件","品牌: 施耐德；类型: 中文面板；适用设备: 变频器","台","待确认","适配变频器型号缺失"
"552","553","马桶抽吸","马桶抽吸服务","服务费用/维修清理","类型: 抽吸/疏通服务","个","待确认","应作为服务费用，不建议入库存物料"
"553","554","五点式欧式安全带","五点式安全带","劳保耗材/坠落防护","类型: 五点式；款式: 欧式","条","可合并/待确认","与第551行同物料，单位套/条需统一"
"555","556","蘑菇头进口油封","蘑菇头油封","设备备件/密封件","特征: 进口；适用部位: 蘑菇头","个","待确认","适用设备/尺寸/材质缺失"
"556","557","蘑菇头进口防尘圈","蘑菇头防尘圈","设备备件/密封件","特征: 进口；适用部位: 蘑菇头","个","待确认","适用设备/尺寸/材质缺失"
"563","564","三和喷漆","自喷漆","化工耗材/涂料","品牌: 三和；类型: 自喷漆","支","可合并/待确认","与第472行同物料，颜色/单位需确认"
"570","571","进口油管过滤器","油管过滤器","液压/过滤器","特征: 进口；用途: 油管过滤","个","待确认","型号/过滤精度/接口缺失"
"584","585","原装蘑菇头油封","蘑菇头油封","设备备件/密封件","特征: 原装；适用部位: 蘑菇头","个","可合并/待确认","与第555行是否同物料需确认"
"585","586","12板牙","板牙","工具器具/工具配件","规格: 12","套","待确认","是否为M12？牙距/制式缺失"
"586","587","14板牙","板牙","工具器具/工具配件","规格: 14","套","待确认","是否为M14？牙距/制式缺失"
"587","588","16板牙","板牙","工具器具/工具配件","规格: 16","套","待确认","是否为M16？牙距/制式缺失"
"588","589","18板牙","板牙","工具器具/工具配件","规格: 18","套","待确认","是否为M18？牙距/制式缺失"
"589","590","20板牙","板牙","工具器具/工具配件","规格: 20","套","待确认","是否为M20？牙距/制式缺失"
"590","591","22板牙","板牙","工具器具/工具配件","规格: 22","套","待确认","是否为M22？牙距/制式缺失"
"591","592","加工钢板打孔","钢板打孔服务","服务费用/加工服务","加工: 钢板打孔","个","待确认","更像加工服务，是否需按工序计费而非物料"
"595","596","利凯士利泵壳","泵壳","设备备件/泵类备件","品牌/适用设备: 利凯士利；类型: 泵壳","套","待确认","品牌文字是否准确/泵型号缺失"
"599","600","原装蘑菇头防尘圈","蘑菇头防尘圈","设备备件/密封件","特征: 原装；适用部位: 蘑菇头","个","可合并/待确认","与第556行是否同物料需确认"
"602","603","草坪贴纸","草坪贴纸","装饰/标识材料","类型: 草坪贴纸","米","待确认","用途/规格/材质不清"
"605","606","白色调和剂","调和剂","化工耗材/涂料辅料","颜色: 白色；类型: 调和剂","桶","待确认","是否为白色调和漆误写？用途/包装缺失"
"606","607","铆钉","铆钉","五金备件/紧固件","类型: 铆钉","合","待确认","单位疑似盒；规格/材质缺失"
"609","610","∅5亚克力板","亚克力板","原材料/塑料板材","厚度/规格: ∅5","平方","待确认","“∅5”是厚度5mm还是孔径5？"
"610","611","650KG压力油表管","压力油表管","液压/仪表管路","压力: 650KG；用途: 油表管","米","待确认","管径/接头/材质缺失"
"611","612","接头高压","高压接头","液压/高压管路","类型: 接头","个","待确认","规格/螺纹/压力等级缺失"
