issue_id,issue_type,priority,standard_name,canonical_group_path,candidate_codes,source_proposed_codes,source_rows,unit_values,specs_values,reason,suggested_action
ISSUE-00012,specs_conflict,medium,鱼尾螺丝,五金备件/其他/紧固件,REVIEW-MAT-00267；REVIEW-MAT-00268；REVIEW-MAT-00269,REVIEW-MAT-00267；REVIEW-MAT-00268；REVIEW-MAT-00269,Sheet1:462；Sheet1:463；Sheet1:464,套,规格: M10*60 || 规格: M14*70 || 规格: M16*90,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00013,specs_conflict,medium,铁丝,五金备件/其他/金属丝,REVIEW-MAT-00924；REVIEW-MAT-01401；REVIEW-MAT-01657；REVIEW-MAT-02200,REVIEW-MAT-00924；REVIEW-MAT-01401；REVIEW-MAT-01657；REVIEW-MAT-02200,Sheet1:1617；Sheet1:2189；Sheet1:2282；Sheet1:2339；Sheet1:2661；Sheet1:2863；Sheet1:3421,kg；公斤；KG,材质: 铁 || 规格: 14#；材质: 铁 || 规格: 12#；材质: 铁,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00014,unit_conflict,high,铁丝,五金备件/其他/金属丝,REVIEW-MAT-00924；REVIEW-MAT-01401,REVIEW-MAT-00924；REVIEW-MAT-01401,Sheet1:1617；Sheet1:2189；Sheet1:2282；Sheet1:2339,kg；公斤,材质: 铁,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。,确认是否同一物料的不同计量单位；如是则补 UOM 换算/包装规格，如不是则拆成不同物料。
ISSUE-00015,specs_conflict,medium,铁丝,五金备件/其他/金属丝材,REVIEW-MAT-00259；REVIEW-MAT-00260；REVIEW-MAT-00357；REVIEW-MAT-00358；REVIEW-MAT-00551,REVIEW-MAT-00259；REVIEW-MAT-00260；REVIEW-MAT-00357；REVIEW-MAT-00358；REVIEW-MAT-00551,Sheet1:444；Sheet1:445；Sheet1:623；Sheet1:624；Sheet1:774；Sheet1:894；Sheet1:895；Sheet1:999,KG；公斤,规格: 12号 || 规格: 14号 || 规格: 12# || 规格: 14#,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00016,unit_conflict,high,铁丝,五金备件/其他/金属丝材,REVIEW-MAT-00260；REVIEW-MAT-00551,REVIEW-MAT-00260；REVIEW-MAT-00551,Sheet1:445；Sheet1:895；Sheet1:999,KG；公斤,规格: 14号,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。,确认是否同一物料的不同计量单位；如是则补 UOM 换算/包装规格，如不是则拆成不同物料。
ISSUE-00017,low_precision_conflict,medium,铁丝,五金备件/其他/金属丝材,REVIEW-MAT-00259；REVIEW-MAT-00260；REVIEW-MAT-00357；REVIEW-MAT-00358；REVIEW-MAT-00551,REVIEW-MAT-00259；REVIEW-MAT-00260；REVIEW-MAT-00357；REVIEW-MAT-00358；REVIEW-MAT-00551,Sheet1:444；Sheet1:445；Sheet1:623；Sheet1:624；Sheet1:774；Sheet1:894；Sheet1:895；Sheet1:999,KG；公斤,规格: 12号 || 规格: 14号 || 规格: 12# || 规格: 14#,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00018,specs_conflict,medium,黑扎丝,五金备件/其他/金属丝材,REVIEW-MAT-00533；REVIEW-MAT-00534,REVIEW-MAT-00533；REVIEW-MAT-00534,Sheet1:951；Sheet1:952,米,直径: 1mm；颜色: 黑色 || 直径: 2mm；颜色: 黑色,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00019,specs_conflict,medium,不锈钢合页,五金备件/其他/门窗五金,REVIEW-MAT-00024；REVIEW-MAT-00148；REVIEW-MAT-00149；REVIEW-MAT-00740；REVIEW-MAT-01934,REVIEW-MAT-00024；REVIEW-MAT-00148；REVIEW-MAT-00149；REVIEW-MAT-00740；REVIEW-MAT-01934,Sheet1:1362；Sheet1:261；Sheet1:262；Sheet1:3070；Sheet1:39；Sheet1:58,套；付；副,材质: 不锈钢；规格: 4寸 || 材质: 不锈钢；规格: 6寸 || 材质: 不锈钢；规格: 5寸 || 规格: 110；材质: 不锈钢 || 材质: 不锈钢；类型: 合页,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00020,low_precision_conflict,medium,不锈钢合页,五金备件/其他/门窗五金,REVIEW-MAT-00024；REVIEW-MAT-00148；REVIEW-MAT-00149；REVIEW-MAT-00740；REVIEW-MAT-01934,REVIEW-MAT-00024；REVIEW-MAT-00148；REVIEW-MAT-00149；REVIEW-MAT-00740；REVIEW-MAT-01934,Sheet1:1362；Sheet1:261；Sheet1:262；Sheet1:3070；Sheet1:39；Sheet1:58,套；付；副,材质: 不锈钢；规格: 4寸 || 材质: 不锈钢；规格: 6寸 || 材质: 不锈钢；规格: 5寸 || 规格: 110；材质: 不锈钢 || 材质: 不锈钢；类型: 合页,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00021,unit_conflict,high,不锈钢插销,五金备件/其他/门窗五金,REVIEW-MAT-00052；REVIEW-MAT-00069,REVIEW-MAT-00052；REVIEW-MAT-00069,Sheet1:107；Sheet1:82,个；套,材质: 不锈钢,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。,确认是否同一物料的不同计量单位；如是则补 UOM 换算/包装规格，如不是则拆成不同物料。
ISSUE-00022,low_precision_conflict,medium,不锈钢插销,五金备件/其他/门窗五金,REVIEW-MAT-00052；REVIEW-MAT-00069,REVIEW-MAT-00052；REVIEW-MAT-00069,Sheet1:107；Sheet1:82,个；套,材质: 不锈钢,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00023,specs_conflict,medium,加厚铁合页,五金备件/其他/门窗五金,REVIEW-MAT-00163；REVIEW-MAT-00164,REVIEW-MAT-00163；REVIEW-MAT-00164,Sheet1:296；Sheet1:297,付,材质: 铁；规格: 4寸；特征: 加厚 || 材质: 铁；规格: 5寸；特征: 加厚,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00024,specs_conflict,medium,插销,五金备件/其他/门窗五金,REVIEW-MAT-00056；REVIEW-MAT-01809,REVIEW-MAT-00056；REVIEW-MAT-01809,Sheet1:2885；Sheet1:87,付；套,规格: 4寸 || 规格: 300；类型: 插销,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00025,specs_conflict,medium,闭门器,五金备件/其他/门窗五金,REVIEW-MAT-00068；REVIEW-MAT-00378,REVIEW-MAT-00068；REVIEW-MAT-00378,Sheet1:106；Sheet1:657,套；个,规格: 大 || 规格: 大号,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00026,specs_conflict,medium,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,REVIEW-MAT-00051；REVIEW-MAT-00060；REVIEW-MAT-00224；REVIEW-MAT-01705；REVIEW-MAT-01807；REVIEW-MAT-01823,REVIEW-MAT-00051；REVIEW-MAT-00060；REVIEW-MAT-00224；REVIEW-MAT-01705；REVIEW-MAT-01807；REVIEW-MAT-01823；REVIEW-MAT-02009,Sheet1:2727；Sheet1:2882；Sheet1:2909；Sheet1:3167；Sheet1:396；Sheet1:81；Sheet1:91,个；把,材质: 不锈钢；规格: 50 || 材质: 不锈钢；规格: 40 || 材质: 不锈钢；规格: 40；品质: 好 || 规格: 40；材质: 不锈钢；类型: 通用挂锁 || 规格: 40；材质: 不锈钢 || 材质: 不锈钢；类型: 挂锁,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00027,unit_conflict,high,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,REVIEW-MAT-00060；REVIEW-MAT-01807,REVIEW-MAT-00060；REVIEW-MAT-01807；REVIEW-MAT-02009,Sheet1:2882；Sheet1:3167；Sheet1:91,个；把,材质: 不锈钢；规格: 40 || 规格: 40；材质: 不锈钢,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。,确认是否同一物料的不同计量单位；如是则补 UOM 换算/包装规格，如不是则拆成不同物料。
ISSUE-00028,low_precision_conflict,medium,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,REVIEW-MAT-00051；REVIEW-MAT-00060；REVIEW-MAT-00224；REVIEW-MAT-01705；REVIEW-MAT-01807；REVIEW-MAT-01823,REVIEW-MAT-00051；REVIEW-MAT-00060；REVIEW-MAT-00224；REVIEW-MAT-01705；REVIEW-MAT-01807；REVIEW-MAT-01823；REVIEW-MAT-02009,Sheet1:2727；Sheet1:2882；Sheet1:2909；Sheet1:3167；Sheet1:396；Sheet1:81；Sheet1:91,个；把,材质: 不锈钢；规格: 50 || 材质: 不锈钢；规格: 40 || 材质: 不锈钢；规格: 40；品质: 好 || 规格: 40；材质: 不锈钢；类型: 通用挂锁 || 规格: 40；材质: 不锈钢 || 材质: 不锈钢；类型: 挂锁,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00029,specs_conflict,medium,不锈钢锁扣,五金备件/门锁锁具/门锁锁具,REVIEW-MAT-01822；REVIEW-MAT-01937,REVIEW-MAT-01822；REVIEW-MAT-01937,Sheet1:2908；Sheet1:3074,套,材质: 不锈钢；类型: 锁扣 || 材质: 不锈钢；用途: 外门；类型: 锁扣,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00030,specs_conflict,medium,万向脚轮,仓储物流/搬运设备/手推车叉车,REVIEW-MAT-01730；REVIEW-MAT-01808,REVIEW-MAT-01730；REVIEW-MAT-01808,Sheet1:2761；Sheet1:2884,只,类型: 万向轮 || 类型: 万向车轮,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00031,specs_conflict,medium,电流表,仪器仪表/其他/电气仪表,REVIEW-MAT-01560；REVIEW-MAT-01955,REVIEW-MAT-01560；REVIEW-MAT-01955,Sheet1:2528；Sheet1:3097,只,变比: 600/5A；类型: 电流表 || 品牌: 人民；型号: 6L2；变比: 600/5A,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00032,specs_conflict,medium,一次性口罩,劳保用品/其他/呼吸防护,REVIEW-MAT-00243；REVIEW-MAT-01723,REVIEW-MAT-00243；REVIEW-MAT-01723,Sheet1:1015；Sheet1:2751；Sheet1:2887；Sheet1:423；Sheet1:826,个；只,类型: 一次性 || 类型: 一次性口罩,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00033,specs_conflict,medium,创可贴,劳保用品/其他/急救用品,REVIEW-MAT-01134；REVIEW-MAT-01728,REVIEW-MAT-01134；REVIEW-MAT-01728,Sheet1:1903；Sheet1:2759；Sheet1:3267,个；盒,品类: 创可贴 || 类型: 创可贴,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00034,low_precision_conflict,medium,创可贴,劳保用品/其他/急救用品,REVIEW-MAT-01134；REVIEW-MAT-01728,REVIEW-MAT-01134；REVIEW-MAT-01728,Sheet1:1903；Sheet1:2759；Sheet1:3267,个；盒,品类: 创可贴 || 类型: 创可贴,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00035,unit_conflict,high,拖把,劳保用品/其他/清洁工具,REVIEW-MAT-00607；REVIEW-MAT-00734,REVIEW-MAT-00607；REVIEW-MAT-00734,Sheet1:1108；Sheet1:1352,支；个,类型: 拖把,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。,确认是否同一物料的不同计量单位；如是则补 UOM 换算/包装规格，如不是则拆成不同物料。
ISSUE-00036,specs_conflict,medium,平光防护眼镜,劳保用品/其他/眼面防护,REVIEW-MAT-00348；REVIEW-MAT-01032,REVIEW-MAT-00348；REVIEW-MAT-01032,Sheet1:1759；Sheet1:598,副；个,类型: 平镜/平光 || 颜色: 白色；镜片: 平光,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00037,specs_conflict,medium,护目镜,劳保用品/其他/眼面防护,REVIEW-MAT-01635；REVIEW-MAT-01863,REVIEW-MAT-01635；REVIEW-MAT-01863,Sheet1:2637；Sheet1:2970；Sheet1:3125,付,类型: 多功能护目眼镜 || 类型: 护目眼镜,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00038,specs_conflict,medium,焊工眼镜,劳保用品/其他/眼面防护,REVIEW-MAT-01755；REVIEW-MAT-01976；REVIEW-MAT-02010,REVIEW-MAT-01755；REVIEW-MAT-01976；REVIEW-MAT-02010,Sheet1:2795；Sheet1:3126；Sheet1:3168,付,用途: 焊工防护 || 用途: 电焊防护 || 用途: 电焊防护；颜色: 白色/灰色,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00039,specs_conflict,medium,电焊眼镜,劳保用品/其他/眼面防护,REVIEW-MAT-00189；REVIEW-MAT-00347,REVIEW-MAT-00189；REVIEW-MAT-00347,Sheet1:1334；Sheet1:338；Sheet1:595,付；副,用途: 电焊 || 用途: 电焊防护,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00040,low_precision_conflict,medium,电焊眼镜,劳保用品/其他/眼面防护,REVIEW-MAT-00189；REVIEW-MAT-00347,REVIEW-MAT-00189；REVIEW-MAT-00347,Sheet1:1334；Sheet1:338；Sheet1:595,付；副,用途: 电焊 || 用途: 电焊防护,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00041,specs_conflict,medium,防护眼镜,劳保用品/其他/眼面防护,REVIEW-MAT-00095；REVIEW-MAT-00231,REVIEW-MAT-00095；REVIEW-MAT-00231,Sheet1:151；Sheet1:403,个；付,用途: 打磨 || 颜色: 透明,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00042,specs_conflict,medium,油布,劳保用品/其他/覆盖防护,REVIEW-MAT-00806；REVIEW-MAT-01036；REVIEW-MAT-01291,REVIEW-MAT-00806；REVIEW-MAT-01036；REVIEW-MAT-01291,Sheet1:1458；Sheet1:1500；Sheet1:1650；Sheet1:1767；Sheet1:1803；Sheet1:1951；Sheet1:2112；Sheet1:2141,平方；m2,特征: 加厚 || 品类: 油布,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00043,unit_conflict,high,油布,劳保用品/其他/覆盖防护,REVIEW-MAT-00806；REVIEW-MAT-01036,REVIEW-MAT-00806；REVIEW-MAT-01036,Sheet1:1458；Sheet1:1500；Sheet1:1650；Sheet1:1767；Sheet1:1803；Sheet1:1951；Sheet1:2141,平方；m2,特征: 加厚,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。,确认是否同一物料的不同计量单位；如是则补 UOM 换算/包装规格，如不是则拆成不同物料。
ISSUE-00044,low_precision_conflict,medium,油布,劳保用品/其他/覆盖防护,REVIEW-MAT-00806；REVIEW-MAT-01036；REVIEW-MAT-01291,REVIEW-MAT-00806；REVIEW-MAT-01036；REVIEW-MAT-01291,Sheet1:1458；Sheet1:1500；Sheet1:1650；Sheet1:1767；Sheet1:1803；Sheet1:1951；Sheet1:2112；Sheet1:2141,平方；m2,特征: 加厚 || 品类: 油布,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。,补齐规格、品牌、型号、包装或执行标准后再进入可导入池。
ISSUE-00045,specs_conflict,medium,雨鞋,劳保用品/其他/足部防护,REVIEW-MAT-00712；REVIEW-MAT-01031；REVIEW-MAT-01130；REVIEW-MAT-01237,REVIEW-MAT-00712；REVIEW-MAT-01031；REVIEW-MAT-01130；REVIEW-MAT-01237,Sheet1:1308；Sheet1:1757；Sheet1:1899；Sheet1:1969；Sheet1:2047,双,品牌: 回力；特征: 厚底 || 品牌: 回力；类型: 雨鞋 || 品牌: 回力；特征: 加厚 || 品牌: 回力,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
ISSUE-00046,specs_conflict,medium,一次性雨衣,劳保用品/其他/雨具,REVIEW-MAT-00472；REVIEW-MAT-00813；REVIEW-MAT-01079；REVIEW-MAT-01870；REVIEW-MAT-01941,REVIEW-MAT-00472；REVIEW-MAT-00813；REVIEW-MAT-01079；REVIEW-MAT-01138；REVIEW-MAT-01870；REVIEW-MAT-01941,Sheet1:1466；Sheet1:1829；Sheet1:1913；Sheet1:2978；Sheet1:3078；Sheet1:3103；Sheet1:825；Sheet1:885,套；件；个,类型: 一次性 || 类型: 一次性；特征: 加厚 || 类型: 一次性雨衣 || 特征: 加厚；类型: 一次性雨衣,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。,逐项确认是否为不同规格物料；若规格足够明确则保留拆分，若其实同物料则补充等价规则后再合并。
