issue_id	issue_type	severity	review_status	standard_name	standard_group	required_specs	unit_values	draft_sku_ids	draft_item_codes	candidate_count	source_candidate_rows	reason	suggested_action
DEDUPE-00055	alias_conflict_review	medium	needs_review	公元热熔机	工具器具/管道工具	品牌：公元；用途：PPR热熔	个；台	SKU-DRAFT-000030；SKU-DRAFT-000708	PIPE-000004；PIPE-000114	2	30；713	同一别名/土名 '公元热熔机' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00056	alias_conflict_review	medium	needs_review	3M电胶布	电气材料/绝缘材料	品牌：3M；品牌：3M；类型：电工胶布	个；卷	SKU-DRAFT-000034；SKU-DRAFT-001116	ELEC-000019；ELEC-000133	2	34；1121	同一别名/土名 '3M电胶布' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00057	alias_conflict_review	medium	needs_review	世达多功能剥线钳	工具器具/手动工具	品牌：世达；类型：多功能剥线钳	只；个	SKU-DRAFT-000035；SKU-DRAFT-000086	TOOL-000002；TOOL-000009	2	35；87	同一别名/土名 '世达多功能剥线钳' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00058	alias_conflict_review	medium	needs_review	洁厕灵	清洁用品/清洁剂；劳保耗材/清洁用品	类型：洁厕清洁剂；类型：洁厕灵	瓶；支	SKU-DRAFT-000038；SKU-DRAFT-000602	ADMIN-000002；SAFE-000044	2	38；606	同一别名/土名 '洁厕灵' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00059	alias_conflict_review	medium	needs_review	不锈钢插销	五金备件/门窗五金	材质：不锈钢	个；套	SKU-DRAFT-000052；SKU-DRAFT-000069	SPARE-000002；SPARE-000007	2	52；69	同一别名/土名 '不锈钢插销' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00060	alias_conflict_review	medium	needs_review	4寸滚筒	工具器具/涂装工具	规格：4寸	个；支	SKU-DRAFT-000055；SKU-DRAFT-000631	TOOL-000004；TOOL-000101	2	55；636	同一别名/土名 '4寸滚筒' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00061	alias_conflict_review	medium	needs_review	塑料扫把	清洁用品/清洁工具；劳保耗材/清洁工具；清洁用品/扫把	材质：塑料	个；把	SKU-DRAFT-000059；SKU-DRAFT-000552；SKU-DRAFT-002294	TOOL-000005；TOOL-000085；ADMIN-000072	3	59；556；2320	同一别名/土名 '塑料扫把' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00062	alias_conflict_review	medium	needs_review	40不锈钢挂锁	五金备件/锁具；五金/锁具	材质：不锈钢；规格：40；规格：40；材质：不锈钢	个；把	SKU-DRAFT-000060；SKU-DRAFT-001788	HW-LOCK-000004；METAL-000121	3	60；1807;2009	同一别名/土名 '40不锈钢挂锁' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00063	alias_conflict_review	medium	needs_review	高粱扫把	清洁用品/清洁工具；劳保耗材/清洁工具；清洁工具/扫把	材质/类型：高粱；材质：高粱；材质：高粱；类型：扫把	把；支	SKU-DRAFT-000061；SKU-DRAFT-000348；SKU-DRAFT-001679	TOOL-000006；TOOL-000046；TOOL-000249	3	61；350；1693	同一别名/土名 '高粱扫把' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00064	alias_conflict_review	medium	needs_review	闭门器大	五金备件/门窗五金	规格：大；规格：大号	套；个	SKU-DRAFT-000068；SKU-DRAFT-000376	SPARE-000006；SPARE-000043	2	68；378	同一别名/土名 '闭门器大' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00065	alias_conflict_review	medium	needs_review	扫把	清洁用品/清洁工具；行政后勤/清洁用品	规格：未注明；规格：待补	个	SKU-DRAFT-000085；SKU-DRAFT-001197	TOOL-000008；ADMIN-000037	2	85；1204	同一别名/土名 '扫把' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00066	alias_conflict_review	medium	needs_review	100A铜鼻子	电气材料/接线端子；电气/接线端子	规格：100A；材质：铜；材质：铜；额定电流：100A	个；只	SKU-DRAFT-000091；SKU-DRAFT-001787	ELEC-000031；ELEC-000174	2	92；1806	同一别名/土名 '100A铜鼻子' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00067	alias_conflict_review	medium	needs_review	200A铜鼻子	电气材料/接线端子；电气材料/电缆附件	规格：200A；材质：铜；电流：200A；材质：铜	个	SKU-DRAFT-000092；SKU-DRAFT-000606	ELEC-000032；ELEC-000092	2	93；610	同一别名/土名 '200A铜鼻子' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00068	alias_conflict_review	medium	needs_review	4*4*0.5镀锌角铁	金属材料/型材；钢材/型材	材质/表面：镀锌；规格：4*4*0.5；规格：4*4*0.5；表面：镀锌	米	SKU-DRAFT-000097；SKU-DRAFT-001246	METAL-000003；METAL-000090	2	98；1253	同一别名/土名 '4*4*0.5镀锌角铁' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00069	alias_conflict_review	medium	needs_review	4寸羊毛刷	工具器具/涂装工具	规格：4寸；规格：4寸；材质：羊毛	个；支	SKU-DRAFT-000098；SKU-DRAFT-000111；SKU-DRAFT-000240；SKU-DRAFT-000462	TOOL-000010；TOOL-000011；TOOL-000036；TOOL-000068	4	99；112；242；465	同一别名/土名 '4寸羊毛刷' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00070	alias_conflict_review	medium	needs_review	生料带	工程材料/水暖辅材；工程材料/水暖五金	类型：密封带；类型：生料带	个	SKU-DRAFT-000107；SKU-DRAFT-000432	SPARE-000008；MAT-000043	2	108；435	同一别名/土名 '生料带' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00071	alias_conflict_review	medium	needs_review	记号笔	办公低耗/文具；办公耗材/书写用品	类型：记号笔；品类：记号笔	个；支	SKU-DRAFT-000109；SKU-DRAFT-000796；SKU-DRAFT-001192	ADMIN-000006；ADMIN-000025；ADMIN-000036	3	110；801；1199	同一别名/土名 '记号笔' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00072	alias_conflict_review	medium	needs_review	得力美工刀	工具器具/手动工具；工具/刀具	品牌：得力	支；个	SKU-DRAFT-000114；SKU-DRAFT-001358	TOOL-000014；TOOL-000212	2	115；1366	同一别名/土名 '得力美工刀' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00073	alias_conflict_review	medium	needs_review	大拖把	清洁用品/清洁工具	规格：大	个；支	SKU-DRAFT-000133；SKU-DRAFT-000172	TOOL-000017；TOOL-000025	2	134；173	同一别名/土名 '大拖把' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00074	alias_conflict_review	medium	needs_review	不锈钢锁扣	五金备件/门窗五金；五金/锁具配件	材质：不锈钢；材质：不锈钢；类型：锁扣	个；套	SKU-DRAFT-000135；SKU-DRAFT-001803	METAL-000006；HW-LOCK-000013	2	136；1822	同一别名/土名 '不锈钢锁扣' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00075	alias_conflict_review	medium	needs_review	50*50*6国标角铁	金属材料/型材；原材料/型钢	规格：50*50*6；标准：国标	米	SKU-DRAFT-000144；SKU-DRAFT-000268	METAL-000007；METAL-000022	2	145；270	同一别名/土名 '50*50*6国标角铁' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00076	alias_conflict_review	medium	needs_review	502胶水	化工耗材/胶粘剂	类型：502；型号/俗称：502	支；个	SKU-DRAFT-000149；SKU-DRAFT-000990	CHEM-000003；CHEM-000066	2	150；995	同一别名/土名 '502胶水' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
DEDUPE-00077	alias_conflict_review	medium	needs_review	大块棉布	劳保耗材/擦拭材料；清洁耗材/擦拭材料	规格：大块；形态：大块	KG	SKU-DRAFT-000151；SKU-DRAFT-000806	SAFE-000003；ADMIN-000026	2	152；811	同一别名/土名 '大块棉布' 指向多个 SKU 候选。	确认该别名是否可唯一指向某个 SKU；若不能唯一，检索时必须让用户补充规格。
