merged_item_code,standard_name,reviewed_group_paths,canonical_group_path,specs,unit,source_count,source_statuses,alias_names,source_rows,notes,merged_from_codes,merge_reason,merge_confidence,needs_human_review
REVIEW-MAT-00018,BV电线,电气材料/电线电缆,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；型号: BV；截面积: 10平方,米,1,可建档,起帆BV10平方电线,Sheet1:27,颜色缺失,REVIEW-MAT-00018,single_candidate;low_precision,0.70,true
REVIEW-MAT-00019,BV电线,电气材料/电线电缆,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；型号: BV；截面积: 25平方,米,1,可建档,起帆BV25平方电线,Sheet1:28,颜色缺失,REVIEW-MAT-00019,single_candidate;low_precision,0.70,true
REVIEW-MAT-00020,紧线器,工具器具/电力工具,工具器具/其他/电力工具,额定载荷: 1T,套,1,可建档,1T紧线器,Sheet1:31,,REVIEW-MAT-00020,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00021,木方,建筑材料/模板木方,工程建材/其他/模板木方,规格: 4*9,米,2,可合并 | 可建档,4*9木方,Sheet1:33；Sheet1:57,单位规格是否 cm？ | 与第32行同物料,REVIEW-MAT-00021,single_candidate;source_status_contains_merge;human_review_group,0.65,true
REVIEW-MAT-00022,木方,建筑材料/模板木方,工程建材/其他/模板木方,规格: 4*4,米,1,可建档,4*4木方,Sheet1:34,单位规格是否 cm？,REVIEW-MAT-00022,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00023,铁钉,五金备件/紧固件,五金备件/其他/紧固件,长度: 2寸,斤,1,可建档,2寸铁钉,Sheet1:38,,REVIEW-MAT-00023,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00024,不锈钢合页,五金备件/门窗五金,五金备件/其他/门窗五金,材质: 不锈钢；规格: 4寸,套,2,可合并 | 可建档,4寸不锈钢合页,Sheet1:39；Sheet1:58,与第38行同物料,REVIEW-MAT-00024,single_candidate;source_status_contains_merge;human_review_group,0.65,true
REVIEW-MAT-00025,墙纸,装修材料/墙面材料,工程建材/其他/墙面材料,包装/规格: 大卷,卷,2,可合并 | 可建档-低精度,墙纸大卷,Sheet1:40；Sheet1:50,款式/材质缺失 | 与第39行同物料,REVIEW-MAT-00025,single_candidate;source_status_contains_merge;low_precision;human_review_group,0.65,true
REVIEW-MAT-00026,热水壶,办公生活用品/小电器,行政办公与清洁/生活后勤/生活用品,类型: 热水壶,个,1,可建档-低精度,热水壶,Sheet1:41,容量/品牌缺失,REVIEW-MAT-00026,single_candidate;low_precision,0.70,true
REVIEW-MAT-00027,PPR管,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25,米,2,可合并 | 可建档,公元25PPR管,Sheet1:169；Sheet1:42,与第41行同物料,REVIEW-MAT-00027,single_candidate;source_status_contains_merge,1.00,false
REVIEW-MAT-00028,PPR直通,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 直通,个,1,可建档,公元25PPR直通,Sheet1:43,,REVIEW-MAT-00028,single_candidate,1.00,false
REVIEW-MAT-00029,PPR弯头,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 弯头,个,1,可建档,公元25PPR弯头,Sheet1:44,,REVIEW-MAT-00029,single_candidate,1.00,false
REVIEW-MAT-00030,PPR热熔机,工具器具/管道工具,工具器具/其他/管道工具,品牌: 公元；用途: PPR热熔,个,1,可建档,公元热熔机,Sheet1:46,型号缺失，可低精度建档,REVIEW-MAT-00030,single_candidate;low_precision;human_review_group,0.65,true
REVIEW-MAT-00031,PPR管剪刀,工具器具/管道工具,工具器具/其他/管道工具,品牌: 公元；用途: PPR管剪切,个,2,可合并 | 可建档,公元PPR剪刀,Sheet1:47；Sheet1:76,与第46行同物料,REVIEW-MAT-00031,single_candidate;source_status_contains_merge;human_review_group,0.65,true
REVIEW-MAT-00032,石子,建筑材料/水泥砂石,工程建材/水泥砂石/水泥砂石,粒径: 4-6MM,斤,1,可建档,4-6MM石子,Sheet1:48,,REVIEW-MAT-00032,single_candidate,1.00,false
REVIEW-MAT-00033,工业插头,电气材料/插头插座,电气与自动化/插头插座/插头插座,品牌: 公牛；电压: 380V；电流: 25A,个,1,可建档,公牛380V*25A插头,Sheet1:52,极数缺失,REVIEW-MAT-00033,single_candidate;low_precision,0.70,true
REVIEW-MAT-00034,电工胶布,电气材料/绝缘材料,电气与自动化/绝缘材料/热缩绝缘,品牌: 3M,个,1,可建档,3M电胶布,Sheet1:54,颜色缺失,REVIEW-MAT-00034,single_candidate;low_precision,0.70,true
REVIEW-MAT-00035,多功能剥线钳,工具器具/手动工具,工具器具/其他/手动工具,品牌: 世达；类型: 多功能剥线钳,个,2,可合并 | 可建档,世达多功能剥线钳,Sheet1:139；Sheet1:55,型号缺失 || 与第54行同物料，单位待统一,REVIEW-MAT-00035；REVIEW-MAT-00087,exact_name_group_unit_specs;source_status_contains_merge;low_precision;human_review_group,0.65,true
REVIEW-MAT-00036,断点检测电笔,工具器具/电工工具,工具器具/其他/电工工具,功能: 找断点/测电,个,2,可合并 | 可建档,找断点电笔,Sheet1:138；Sheet1:56,型号缺失 || 与第55行同物料，单位待统一,REVIEW-MAT-00036；REVIEW-MAT-00086,exact_name_group_unit_specs;source_status_contains_merge;low_precision;human_review_group,0.65,true
REVIEW-MAT-00037,插座,电气材料/插头插座,电气与自动化/插头插座/插头插座,品牌: 公牛；电流: 16A,个,1,可建档,公牛16A插座,Sheet1:61,明装/暗装未说明,REVIEW-MAT-00037,single_candidate,1.00,false
REVIEW-MAT-00038,洁厕灵,清洁用品/清洁剂,行政办公与清洁/清洁用品/清洁工具耗材,类型: 洁厕清洁剂,瓶,1,可建档,洁厕灵,Sheet1:62,容量缺失,REVIEW-MAT-00038,single_candidate;low_precision,0.70,true
REVIEW-MAT-00039,窗帘架拉链,装修材料/窗帘配件,工程建材/其他/窗帘配件,类型: 拉链/配件,套,3,可合并 | 可建档-低精度,窗帘架拉链,Sheet1:110；Sheet1:276；Sheet1:64,规格长度缺失 | 与第63行同物料,REVIEW-MAT-00039,single_candidate;source_status_contains_merge;low_precision;human_review_group,0.65,true
REVIEW-MAT-00040,钢钉线卡,电气材料/电气辅材,电气与自动化/其他/电气辅材,规格: 20,个,1,可建档,20钢钉线卡,Sheet1:65,,REVIEW-MAT-00040,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00041,三角阀,工程材料/阀门,工程建材/其他/阀门,规格: 4分,个,2,可合并 | 可建档,4分三角阀,Sheet1:168；Sheet1:66,材质缺失 | 与第65行同物料,REVIEW-MAT-00041,single_candidate;source_status_contains_merge;low_precision;human_review_group,0.65,true
REVIEW-MAT-00042,PPR三通,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 三通,个,1,可建档,公元PPR25三通,Sheet1:67,,REVIEW-MAT-00042,single_candidate,1.00,false
REVIEW-MAT-00043,PPR内牙三通,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；连接: 内牙；类型: 三通,个,1,可建档,公元PPR25内牙三通,Sheet1:68,,REVIEW-MAT-00043,single_candidate,1.00,false
REVIEW-MAT-00044,PPR内牙直通,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: PPR25*4分；连接: 内牙；类型: 直通,个,1,可建档,公元PPR25*4内牙直通,Sheet1:69,,REVIEW-MAT-00044,single_candidate,1.00,false
REVIEW-MAT-00045,PPR内牙弯头,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；连接: 内牙；类型: 弯头,个,1,可建档,公元PPR25内牙弯头,Sheet1:70,,REVIEW-MAT-00045,single_candidate,1.00,false
REVIEW-MAT-00046,洗衣机龙头,工程材料/水暖五金,工程建材/水暖建材/水暖五金,用途: 洗衣机,个,1,可建档,洗衣机龙头,Sheet1:71,材质缺失,REVIEW-MAT-00046,single_candidate;low_precision,0.70,true
REVIEW-MAT-00047,堵头,工程材料/管件,工程建材/其他/管件,规格: 4分,个,1,可建档,4分堵头,Sheet1:72,材质缺失,REVIEW-MAT-00047,single_candidate;low_precision;human_review_group,0.65,true
REVIEW-MAT-00048,堵头,工程材料/管件,工程建材/其他/管件,规格: 6分,个,1,可建档,6分堵头,Sheet1:73,材质缺失,REVIEW-MAT-00048,single_candidate;low_precision;human_review_group,0.65,true
REVIEW-MAT-00049,水管钩,工程材料/管道辅材,工程建材/其他/管道辅材,规格: 25,个,4,可合并 | 可建档,25水管钩,Sheet1:155；Sheet1:176；Sheet1:196；Sheet1:77,材质缺失 | 与第76行同物料,REVIEW-MAT-00049,single_candidate;source_status_contains_merge;low_precision;human_review_group,0.65,true
REVIEW-MAT-00050,镀锌电线架,电气材料/电气辅材,电气与自动化/其他/电气辅材,材质: 镀锌；位数: 4位,个,1,可建档,4位镀锌电线架,Sheet1:78,,REVIEW-MAT-00050,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00051,不锈钢挂锁,五金备件/锁具,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 50,个,1,可建档,50不锈钢挂锁,Sheet1:81,,REVIEW-MAT-00051,single_candidate,1.00,false
REVIEW-MAT-00052,不锈钢插销,五金备件/门窗五金,五金备件/其他/门窗五金,材质: 不锈钢,个,1,可建档-低精度,不锈钢插销,Sheet1:82,尺寸缺失,REVIEW-MAT-00052,single_candidate;low_precision;human_review_group,0.65,true
REVIEW-MAT-00053,带锁不锈钢插销,五金备件/门窗五金,五金备件/其他/门窗五金,材质: 不锈钢；功能: 带锁,个,1,可建档-低精度,不锈钢插销带锁,Sheet1:83,尺寸缺失,REVIEW-MAT-00053,single_candidate;low_precision;human_review_group,0.65,true
REVIEW-MAT-00054,环保涂料,化工耗材/涂料,化工油漆胶粘/油漆涂料/涂料油漆,品牌: 立邦；系列: 5合1,桶,1,可建档,立邦环保涂料5合1,Sheet1:85,容量/颜色缺失,REVIEW-MAT-00054,single_candidate;low_precision,0.70,true
REVIEW-MAT-00055,滚筒刷,工具器具/涂装工具,工具器具/涂装工具/刷辊喷涂,规格: 4寸,个,1,可建档,4寸滚筒,Sheet1:86,,REVIEW-MAT-00055,single_candidate,1.00,false
REVIEW-MAT-00056,插销,五金备件/门窗五金,五金备件/其他/门窗五金,规格: 4寸,付,1,可建档,4寸插销,Sheet1:87,材质缺失,REVIEW-MAT-00056,single_candidate;low_precision;human_review_group,0.65,true
REVIEW-MAT-00057,加厚不锈钢合页,五金备件/门窗五金,五金备件/其他/门窗五金,材质: 不锈钢；规格: 4寸；特征: 加厚,付,1,可建档,4寸不锈钢加厚合页,Sheet1:88,,REVIEW-MAT-00057,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00058,不锈钢抽锁,五金备件/锁具,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 5寸,个,1,可建档,5寸不锈钢抽锁,Sheet1:89,,REVIEW-MAT-00058,single_candidate,1.00,false
REVIEW-MAT-00059,塑料扫把,清洁用品/清洁工具,行政办公与清洁/清洁用品/清洁工具耗材,材质: 塑料,个,1,可建档,塑料扫把,Sheet1:90,,REVIEW-MAT-00059,single_candidate,1.00,false
REVIEW-MAT-00060,不锈钢挂锁,五金备件/锁具,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 40,个,1,可建档,40不锈钢挂锁,Sheet1:91,,REVIEW-MAT-00060,single_candidate,1.00,false
REVIEW-MAT-00061,高粱扫把,清洁用品/清洁工具,行政办公与清洁/清洁用品/清洁工具耗材,材质/类型: 高粱,把,1,可建档,高粱扫把,Sheet1:92,,REVIEW-MAT-00061,single_candidate,1.00,false
REVIEW-MAT-00062,PVC地板胶,装修材料/地面材料,工程建材/其他/地面材料,材质: PVC；特征: 加厚,平方,1,可建档,加厚PVC地板胶,Sheet1:95,厚度缺失,REVIEW-MAT-00062,single_candidate;low_precision;human_review_group,0.65,true
REVIEW-MAT-00063,环保墙布,装修材料/墙面材料,工程建材/其他/墙面材料,特征: 厚、环保,平方,1,可建档-低精度,厚环保墙布,Sheet1:97,材质/花色缺失,REVIEW-MAT-00063,single_candidate;low_precision;human_review_group,0.65,true
REVIEW-MAT-00064,不锈钢水壶,办公生活用品/小电器,行政办公与清洁/生活后勤/生活用品,材质: 不锈钢；容量: 6.5升,个,1,可建档,6.5升不锈钢水壶,Sheet1:99,,REVIEW-MAT-00064,single_candidate,1.00,false
REVIEW-MAT-00065,锂电池电钻,工具器具/电动工具,工具器具/电动工具/电钻角磨机,动力: 锂电池,台,1,可建档-低精度,锂电池电钻,Sheet1:100,品牌/电压缺失,REVIEW-MAT-00065,single_candidate;low_precision,0.70,true
REVIEW-MAT-00066,水桶,办公生活用品/容器,行政办公与清洁/生活后勤/生活用品,类型: 水桶,个,1,可建档-低精度,水桶,Sheet1:102,容量缺失,REVIEW-MAT-00066,single_candidate;low_precision,0.70,true
REVIEW-MAT-00067,水龙头花洒套装,工程材料/水暖五金,工程建材/水暖建材/水暖五金,类型: 水龙头+花洒,套,2,可合并 | 可建档,水龙头花洒,Sheet1:103；Sheet1:141,材质/规格缺失 | 与第102行同物料,REVIEW-MAT-00067,single_candidate;source_status_contains_merge;low_precision,0.70,true
REVIEW-MAT-00068,闭门器,五金备件/门窗五金,五金备件/其他/门窗五金,规格: 大,套,1,可建档-低精度,闭门器大,Sheet1:106,适用门重/型号缺失,REVIEW-MAT-00068,single_candidate;low_precision;human_review_group,0.65,true
REVIEW-MAT-00069,不锈钢插销,五金备件/门窗五金,五金备件/其他/门窗五金,材质: 不锈钢,套,1,可合并,不锈钢插销,Sheet1:107,与第81行同名但单位不同，需统一单位,REVIEW-MAT-00069,single_candidate;source_status_contains_merge;human_review_group,0.65,true
REVIEW-MAT-00070,水龙头,工程材料/水暖五金,工程建材/水暖建材/水暖五金,类型: 水龙头,个,1,可建档-低精度,水龙头,Sheet1:108,材质/规格缺失,REVIEW-MAT-00070,single_candidate;low_precision,0.70,true
REVIEW-MAT-00071,空调插座,电气材料/插头插座,电气与自动化/插头插座/插头插座,品牌: 公牛；电流: 16A；用途: 空调,个,2,可合并 | 可建档,16A公牛空调插座；公牛16A空调插座,Sheet1:111；Sheet1:198,明装/暗装未说明 | 与第110行同物料,REVIEW-MAT-00071,single_candidate;source_status_contains_merge,1.00,false
REVIEW-MAT-00072,插排,电气材料/插头插座,电气与自动化/插头插座/插头插座,品牌: 公牛；线长: 3米；孔位: 8孔,个,2,可合并 | 可建档,公牛插座3米*8孔,Sheet1:112；Sheet1:234,与第111行同物料,REVIEW-MAT-00072,single_candidate;source_status_contains_merge,1.00,false
REVIEW-MAT-00073,启辉器,电气材料/照明配件,电气与自动化/照明与报警/灯具,类型: 启辉器,个,1,可建档-低精度,启辉器,Sheet1:116,适配灯管规格缺失,REVIEW-MAT-00073,single_candidate;low_precision,0.70,true
REVIEW-MAT-00074,螺口灯头,电气材料/照明配件,电气与自动化/照明与报警/灯具,接口: 螺口,个,1,可建档-低精度,螺口灯头,Sheet1:118,E27/E14 等规格缺失,REVIEW-MAT-00074,single_candidate;low_precision,0.70,true
REVIEW-MAT-00075,排气扇,电气材料/通风设备,电气与自动化/其他/通风设备,规格: 50*50,台,1,可建档,50*50排气扇,Sheet1:119,,REVIEW-MAT-00075,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00076,漏电保护器,电气材料/低压电器,电气与自动化/低压电器/低压电器,品牌: 施耐德；极数: 2P；电流: 63A,个,1,可建档,2P*63A施耐德漏电保护器,Sheet1:120,,REVIEW-MAT-00076,single_candidate,1.00,false
REVIEW-MAT-00077,空气开关,电气材料/低压电器,电气与自动化/低压电器/低压电器,品牌: 施耐德；极数: 3P；电流: 63A,个,1,可建档,3P*63A施耐德空气开关,Sheet1:121,,REVIEW-MAT-00077,single_candidate,1.00,false
REVIEW-MAT-00078,不锈钢洗脸盆,工程材料/洁具,工程建材/其他/洁具,材质: 不锈钢；长度: 2米；特征: 加厚,台,1,可建档,2米加厚不锈钢洗脸盆,Sheet1:125,,REVIEW-MAT-00078,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00079,大弯水龙头,工程材料/水暖五金,工程建材/水暖建材/水暖五金,类型: 大弯,个,1,可建档-低精度,大弯水龙头,Sheet1:126,材质/接口规格缺失,REVIEW-MAT-00079,single_candidate;low_precision,0.70,true
REVIEW-MAT-00080,洗脸盆下水管,工程材料/洁具配件,工程建材/其他/洁具配件,用途: 洗脸盆；类型: 下水管,套,2,可合并 | 可建档,洗脸盆下水管,Sheet1:127；Sheet1:194,与第126行同物料,REVIEW-MAT-00080,single_candidate;source_status_contains_merge;human_review_group,0.65,true
REVIEW-MAT-00081,沙子,建筑材料/水泥砂石,工程建材/水泥砂石/水泥砂石,包装: 大包,包,1,可建档-低精度,大包沙子,Sheet1:129,粒径/重量缺失,REVIEW-MAT-00081,single_candidate;low_precision,0.70,true
REVIEW-MAT-00082,石子,建筑材料/水泥砂石,工程建材/水泥砂石/水泥砂石,包装: 大包,包,1,可建档-低精度,大包石子,Sheet1:130,粒径/重量缺失,REVIEW-MAT-00082,single_candidate;low_precision,0.70,true
REVIEW-MAT-00083,帆布手套,劳保耗材/手套,劳保用品/手部防护/手套,类型: 双重/双层帆布,双,1,可建档,双重帆布手套,Sheet1:131,,REVIEW-MAT-00083,single_candidate,1.00,false
REVIEW-MAT-00084,铜挂锁,五金备件/锁具,五金备件/门锁锁具/门锁锁具,材质: 铜,个,1,可建档-低精度,铜挂锁,Sheet1:132,规格尺寸缺失,REVIEW-MAT-00084,single_candidate;low_precision,0.70,true
REVIEW-MAT-00085,扫把,清洁用品/清洁工具,行政办公与清洁/清洁用品/清洁工具耗材,类型: 扫把,个,1,可建档-低精度,扫把,Sheet1:133,材质缺失,REVIEW-MAT-00085,single_candidate;low_precision,0.70,true
REVIEW-MAT-00088,冷热水龙头,工程材料/水暖五金,工程建材/水暖建材/水暖五金,规格: 4分；类型: 冷热,个,2,可合并 | 可建档,4分冷热水龙头,Sheet1:140；Sheet1:379,材质缺失 | 与第139行同物料,REVIEW-MAT-00088,single_candidate;source_status_contains_merge;low_precision,0.70,true
REVIEW-MAT-00089,PPR过桥弯,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 过桥弯,个,1,可建档,公元25PPR过桥弯,Sheet1:142,,REVIEW-MAT-00089,single_candidate,1.00,false
REVIEW-MAT-00090,PPR异径直接,工程材料/PPR管件,工程建材/水暖建材/水暖五金,规格: 32*25；类型: 大小头/异径,个,1,可建档,PPR32*25大小头,Sheet1:146,,REVIEW-MAT-00090,single_candidate,1.00,false
REVIEW-MAT-00091,电缆,电气材料/电线电缆,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；规格: 3*6+1,米,1,可建档,3*6+1起帆电缆,Sheet1:147,电缆型号如 YJV/RVV 缺失,REVIEW-MAT-00091,single_candidate;low_precision,0.70,true
REVIEW-MAT-00092,铜鼻子,电气材料/接线端子,电气与自动化/接线连接/接线端子,规格: 100A；材质: 铜,个,1,可建档,100A铜鼻子,Sheet1:148,,REVIEW-MAT-00092,single_candidate,1.00,false
REVIEW-MAT-00093,铜鼻子,电气材料/接线端子,电气与自动化/接线连接/接线端子,规格: 200A；材质: 铜,个,1,可建档,200A铜鼻子,Sheet1:149,,REVIEW-MAT-00093,single_candidate,1.00,false
REVIEW-MAT-00094,垃圾袋,清洁用品/垃圾袋,行政办公与清洁/清洁用品/清洁工具耗材,规格: 大,个,4,可合并 | 可建档,大垃圾袋,Sheet1:150；Sheet1:222；Sheet1:236；Sheet1:364,厚度/尺寸缺失 | 与第149行同物料,REVIEW-MAT-00094,single_candidate;source_status_contains_merge;low_precision,0.70,true
REVIEW-MAT-00095,防护眼镜,劳保耗材/眼面防护,劳保用品/其他/眼面防护,用途: 打磨,个,1,可建档,打磨眼镜,Sheet1:151,,REVIEW-MAT-00095,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00096,PPR三通,工程材料/PPR管件,工程建材/水暖建材/水暖五金,规格: 25；类型: 三通,个,1,可合并,25PPR三通,Sheet1:152,与第66行同类，缺品牌,REVIEW-MAT-00096,single_candidate;source_status_contains_merge,1.00,false
REVIEW-MAT-00097,PPR内牙弯头,工程材料/PPR管件,工程建材/水暖建材/水暖五金,规格: PPR25*4分；连接: 内牙；类型: 弯头,个,1,可建档,PPR25*4内牙弯头,Sheet1:153,,REVIEW-MAT-00097,single_candidate,1.00,false
REVIEW-MAT-00098,镀锌角铁,金属材料/型材,金属原材料/钢材型材/钢材型材,材质/表面: 镀锌；规格: 4*4*0.5,米,3,可合并 | 可建档,4*4*0.5镀锌角铁,Sheet1:154；Sheet1:182；Sheet1:200,单位规格需确认 cm/mm | 与第153行同物料,REVIEW-MAT-00098,single_candidate;source_status_contains_merge,1.00,false
REVIEW-MAT-00099,羊毛刷,工具器具/涂装工具,工具器具/涂装工具/刷辊喷涂,规格: 4寸,个,1,可建档,4寸羊毛刷,Sheet1:156,,REVIEW-MAT-00099,single_candidate,1.00,false
REVIEW-MAT-00100,三通,工程材料/排水管件,工程建材/其他/排水管件,品牌: 公元；规格: 75；类型: 三通,个,1,可建档,公元75三通,Sheet1:160,材质需按同批胶管确认,REVIEW-MAT-00100,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00101,补心,工程材料/排水管件,工程建材/其他/排水管件,品牌: 公元；规格: 75*50；类型: 补心/异径,个,1,可建档,公元75*50补心,Sheet1:161,材质需按同批胶管确认,REVIEW-MAT-00101,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00102,弯头,工程材料/排水管件,工程建材/其他/排水管件,品牌: 公元；规格: 75；类型: 弯头,个,1,可建档,公元75弯头,Sheet1:163,材质需按同批胶管确认,REVIEW-MAT-00102,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00103,三通,工程材料/排水管件,工程建材/其他/排水管件,品牌: 公元；规格: 50；类型: 三通,个,1,可建档,公元50三通,Sheet1:165,材质需按同批胶管确认,REVIEW-MAT-00103,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00104,弯头,工程材料/排水管件,工程建材/其他/排水管件,品牌: 公元；规格: 50；类型: 弯头,个,1,可建档,公元50弯头,Sheet1:166,材质需按同批胶管确认,REVIEW-MAT-00104,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00105,异径三通,工程材料/排水管件,工程建材/其他/排水管件,品牌: 公元；规格: 75*50；类型: 三通,个,1,可建档,公元75*50三通,Sheet1:167,材质需按同批胶管确认,REVIEW-MAT-00105,single_candidate;human_review_group,0.65,true
REVIEW-MAT-00106,金属软管,工程材料/水暖五金,工程建材/水暖建材/水暖五金,长度: 80公分；材质: 金属,个,1,可建档,80公分金属软管,Sheet1:172,接口规格缺失,REVIEW-MAT-00106,single_candidate;low_precision,0.70,true
REVIEW-MAT-00107,金属软管,工程材料/水暖五金,工程建材/水暖建材/水暖五金,长度: 40公分；材质: 金属,个,1,可建档,40公分金属软管,Sheet1:173,接口规格缺失,REVIEW-MAT-00107,single_candidate;low_precision,0.70,true
