编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00035	多功能剥线钳	品牌: 世达；类型: 多功能剥线钳	工具器具/手动工具	只	世达多功能剥线钳	型号缺失
REVIEW-MAT-00036	断点检测电笔	功能: 找断点/测电	工具器具/电工工具	只	找断点电笔	型号缺失
REVIEW-MAT-00037	插座	品牌: 公牛；电流: 16A	电气材料/插头插座	个	公牛16A插座	明装/暗装未说明
REVIEW-MAT-00038	洁厕灵	类型: 洁厕清洁剂	清洁用品/清洁剂	瓶	洁厕灵	容量缺失
REVIEW-MAT-00039	窗帘架拉链	类型: 拉链/配件	装修材料/窗帘配件	套	窗帘架拉链	状态：可建档-低精度 | 可合并；规格长度缺失 | 与第63行同物料
REVIEW-MAT-00040	钢钉线卡	规格: 20	电气材料/电气辅材	个	20钢钉线卡	
REVIEW-MAT-00041	三角阀	规格: 4分	工程材料/阀门	个	4分三角阀	状态：可建档 | 可合并；材质缺失 | 与第65行同物料
REVIEW-MAT-00042	PPR三通	品牌: 公元；规格: 25；类型: 三通	工程材料/PPR管件	个	公元PPR25三通	
REVIEW-MAT-00043	PPR内牙三通	品牌: 公元；规格: 25；连接: 内牙；类型: 三通	工程材料/PPR管件	个	公元PPR25内牙三通	
REVIEW-MAT-00044	PPR内牙直通	品牌: 公元；规格: PPR25*4分；连接: 内牙；类型: 直通	工程材料/PPR管件	个	公元PPR25*4内牙直通	
REVIEW-MAT-00045	PPR内牙弯头	品牌: 公元；规格: 25；连接: 内牙；类型: 弯头	工程材料/PPR管件	个	公元PPR25内牙弯头	
REVIEW-MAT-00046	洗衣机龙头	用途: 洗衣机	工程材料/水暖五金	个	洗衣机龙头	材质缺失
REVIEW-MAT-00047	堵头	规格: 4分	工程材料/管件	个	4分堵头	材质缺失
REVIEW-MAT-00048	堵头	规格: 6分	工程材料/管件	个	6分堵头	材质缺失
REVIEW-MAT-00049	水管钩	规格: 25	工程材料/管道辅材	个	25水管钩	状态：可建档 | 可合并；材质缺失 | 与第76行同物料
REVIEW-MAT-00050	镀锌电线架	材质: 镀锌；位数: 4位	电气材料/电气辅材	个	4位镀锌电线架	
REVIEW-MAT-00051	不锈钢挂锁	材质: 不锈钢；规格: 50	五金备件/锁具	个	50不锈钢挂锁	
REVIEW-MAT-00052	不锈钢插销	材质: 不锈钢	五金备件/门窗五金	个	不锈钢插销	状态：可建档-低精度；尺寸缺失
REVIEW-MAT-00053	带锁不锈钢插销	材质: 不锈钢；功能: 带锁	五金备件/门窗五金	个	不锈钢插销带锁	状态：可建档-低精度；尺寸缺失
REVIEW-MAT-00054	环保涂料	品牌: 立邦；系列: 5合1	化工耗材/涂料	桶	立邦环保涂料5合1	容量/颜色缺失
REVIEW-MAT-00055	滚筒刷	规格: 4寸	工具器具/涂装工具	个	4寸滚筒	
REVIEW-MAT-00056	插销	规格: 4寸	五金备件/门窗五金	付	4寸插销	材质缺失
REVIEW-MAT-00057	加厚不锈钢合页	材质: 不锈钢；规格: 4寸；特征: 加厚	五金备件/门窗五金	付	4寸不锈钢加厚合页	
REVIEW-MAT-00058	不锈钢抽锁	材质: 不锈钢；规格: 5寸	五金备件/锁具	个	5寸不锈钢抽锁	
REVIEW-MAT-00059	塑料扫把	材质: 塑料	清洁用品/清洁工具	个	塑料扫把	
REVIEW-MAT-00060	不锈钢挂锁	材质: 不锈钢；规格: 40	五金备件/锁具	个	40不锈钢挂锁	
REVIEW-MAT-00061	高粱扫把	材质/类型: 高粱	清洁用品/清洁工具	把	高粱扫把	
REVIEW-MAT-00062	PVC地板胶	材质: PVC；特征: 加厚	装修材料/地面材料	平方	加厚PVC地板胶	厚度缺失
REVIEW-MAT-00063	环保墙布	特征: 厚、环保	装修材料/墙面材料	平方	厚环保墙布	状态：可建档-低精度；材质/花色缺失
REVIEW-MAT-00064	不锈钢水壶	材质: 不锈钢；容量: 6.5升	办公生活用品/小电器	个	6.5升不锈钢水壶	
REVIEW-MAT-00065	锂电池电钻	动力: 锂电池	工具器具/电动工具	台	锂电池电钻	状态：可建档-低精度；品牌/电压缺失
REVIEW-MAT-00066	水桶	类型: 水桶	办公生活用品/容器	个	水桶	状态：可建档-低精度；容量缺失
REVIEW-MAT-00067	水龙头花洒套装	类型: 水龙头+花洒	工程材料/水暖五金	套	水龙头花洒	状态：可建档 | 可合并；材质/规格缺失 | 与第102行同物料
REVIEW-MAT-00068	闭门器	规格: 大	五金备件/门窗五金	套	闭门器大	状态：可建档-低精度；适用门重/型号缺失
REVIEW-MAT-00069	不锈钢插销	材质: 不锈钢	五金备件/门窗五金	套	不锈钢插销	状态：可合并；与第81行同名但单位不同，需统一单位
REVIEW-MAT-00070	水龙头	类型: 水龙头	工程材料/水暖五金	个	水龙头	状态：可建档-低精度；材质/规格缺失
REVIEW-MAT-00071	空调插座	品牌: 公牛；电流: 16A；用途: 空调	电气材料/插头插座	个	公牛16A空调插座 | 16A公牛空调插座	状态：可建档 | 可合并；明装/暗装未说明 | 与第110行同物料
REVIEW-MAT-00072	插排	品牌: 公牛；线长: 3米；孔位: 8孔	电气材料/插头插座	个	公牛插座3米*8孔	状态：可建档 | 可合并；与第111行同物料
REVIEW-MAT-00073	启辉器	类型: 启辉器	电气材料/照明配件	个	启辉器	状态：可建档-低精度；适配灯管规格缺失
REVIEW-MAT-00074	螺口灯头	接口: 螺口	电气材料/照明配件	个	螺口灯头	状态：可建档-低精度；E27/E14 等规格缺失
REVIEW-MAT-00075	排气扇	规格: 50*50	电气材料/通风设备	台	50*50排气扇	
REVIEW-MAT-00076	漏电保护器	品牌: 施耐德；极数: 2P；电流: 63A	电气材料/低压电器	个	2P*63A施耐德漏电保护器	
REVIEW-MAT-00077	空气开关	品牌: 施耐德；极数: 3P；电流: 63A	电气材料/低压电器	个	3P*63A施耐德空气开关	
REVIEW-MAT-00078	不锈钢洗脸盆	材质: 不锈钢；长度: 2米；特征: 加厚	工程材料/洁具	台	2米加厚不锈钢洗脸盆	
REVIEW-MAT-00079	大弯水龙头	类型: 大弯	工程材料/水暖五金	个	大弯水龙头	状态：可建档-低精度；材质/接口规格缺失
REVIEW-MAT-00080	洗脸盆下水管	用途: 洗脸盆；类型: 下水管	工程材料/洁具配件	套	洗脸盆下水管	状态：可建档 | 可合并；与第126行同物料
REVIEW-MAT-00081	沙子	包装: 大包	建筑材料/水泥砂石	包	大包沙子	状态：可建档-低精度；粒径/重量缺失
REVIEW-MAT-00082	石子	包装: 大包	建筑材料/水泥砂石	包	大包石子	状态：可建档-低精度；粒径/重量缺失
REVIEW-MAT-00083	帆布手套	类型: 双重/双层帆布	劳保耗材/手套	双	双重帆布手套	
REVIEW-MAT-00084	铜挂锁	材质: 铜	五金备件/锁具	个	铜挂锁	状态：可建档-低精度；规格尺寸缺失
REVIEW-MAT-00085	扫把	类型: 扫把	清洁用品/清洁工具	个	扫把	状态：可建档-低精度；材质缺失
REVIEW-MAT-00086	断点检测电笔	功能: 找断点/测电	工具器具/电工工具	个	找断点电笔	状态：可合并；与第55行同物料，单位待统一
REVIEW-MAT-00087	多功能剥线钳	品牌: 世达；类型: 多功能剥线钳	工具器具/手动工具	个	世达多功能剥线钳	状态：可合并；与第54行同物料，单位待统一
REVIEW-MAT-00088	冷热水龙头	规格: 4分；类型: 冷热	工程材料/水暖五金	个	4分冷热水龙头	状态：可建档 | 可合并；材质缺失 | 与第139行同物料
REVIEW-MAT-00089	PPR过桥弯	品牌: 公元；规格: 25；类型: 过桥弯	工程材料/PPR管件	个	公元25PPR过桥弯	
REVIEW-MAT-00090	PPR异径直接	规格: 32*25；类型: 大小头/异径	工程材料/PPR管件	个	PPR32*25大小头	
REVIEW-MAT-00091	电缆	品牌: 起帆；规格: 3*6+1	电气材料/电线电缆	米	3*6+1起帆电缆	电缆型号如 YJV/RVV 缺失
REVIEW-MAT-00092	铜鼻子	规格: 100A；材质: 铜	电气材料/接线端子	个	100A铜鼻子	
REVIEW-MAT-00093	铜鼻子	规格: 200A；材质: 铜	电气材料/接线端子	个	200A铜鼻子	
REVIEW-MAT-00094	垃圾袋	规格: 大	清洁用品/垃圾袋	个	大垃圾袋	状态：可建档 | 可合并；厚度/尺寸缺失 | 与第149行同物料
REVIEW-MAT-00095	防护眼镜	用途: 打磨	劳保耗材/眼面防护	个	打磨眼镜	
REVIEW-MAT-00096	PPR三通	规格: 25；类型: 三通	工程材料/PPR管件	个	25PPR三通	状态：可合并；与第66行同类，缺品牌
REVIEW-MAT-00097	PPR内牙弯头	规格: PPR25*4分；连接: 内牙；类型: 弯头	工程材料/PPR管件	个	PPR25*4内牙弯头	
REVIEW-MAT-00098	镀锌角铁	材质/表面: 镀锌；规格: 4*4*0.5	金属材料/型材	米	4*4*0.5镀锌角铁	状态：可建档 | 可合并；单位规格需确认 cm/mm | 与第153行同物料
REVIEW-MAT-00099	羊毛刷	规格: 4寸	工具器具/涂装工具	个	4寸羊毛刷	
REVIEW-MAT-00100	三通	品牌: 公元；规格: 75；类型: 三通	工程材料/排水管件	个	公元75三通	材质需按同批胶管确认
REVIEW-MAT-00101	补心	品牌: 公元；规格: 75*50；类型: 补心/异径	工程材料/排水管件	个	公元75*50补心	材质需按同批胶管确认
REVIEW-MAT-00102	弯头	品牌: 公元；规格: 75；类型: 弯头	工程材料/排水管件	个	公元75弯头	材质需按同批胶管确认
REVIEW-MAT-00103	三通	品牌: 公元；规格: 50；类型: 三通	工程材料/排水管件	个	公元50三通	材质需按同批胶管确认
REVIEW-MAT-00104	弯头	品牌: 公元；规格: 50；类型: 弯头	工程材料/排水管件	个	公元50弯头	材质需按同批胶管确认
REVIEW-MAT-00105	异径三通	品牌: 公元；规格: 75*50；类型: 三通	工程材料/排水管件	个	公元75*50三通	材质需按同批胶管确认
REVIEW-MAT-00106	金属软管	长度: 80公分；材质: 金属	工程材料/水暖五金	个	80公分金属软管	接口规格缺失
REVIEW-MAT-00107	金属软管	长度: 40公分；材质: 金属	工程材料/水暖五金	个	40公分金属软管	接口规格缺失
REVIEW-MAT-00108	生料带	类型: 密封带	工程材料/水暖辅材	个	生料带	
REVIEW-MAT-00109	PPR阀门	品牌: 公元；规格: 25；类型: 阀门	工程材料/PPR管件	个	公元25PPR阀门	
REVIEW-MAT-00110	记号笔	类型: 记号笔	办公低耗/文具	个	记号笔	状态：可建档-低精度；颜色缺失
REVIEW-MAT-00111	PPR弯头	规格: 25；类型: 弯头	工程材料/PPR管件	个	25PPR弯头	状态：可合并；与第43行同类，缺品牌
REVIEW-MAT-00112	羊毛刷	规格: 4寸	工具器具/涂装工具	支	4寸羊毛刷	状态：可合并；与第155行同物料，单位待统一
REVIEW-MAT-00113	冲击钻头	规格: 6厘	工具器具/工具配件	支	6厘冲击钻头	
REVIEW-MAT-00114	冲击钻头	规格: 20厘	工具器具/工具配件	支	20厘冲击钻头	
REVIEW-MAT-00115	美工刀	品牌: 得力	工具器具/手动工具	支	得力美工刀	
REVIEW-MAT-00116	玻璃刮	类型: 玻璃刮	清洁用品/清洁工具	支	玻璃刮	
REVIEW-MAT-00117	膨胀螺丝	规格: 14*120	五金备件/紧固件	支	14*120膨胀螺丝	
REVIEW-MAT-00118	不锈钢洗脸盆	材质: 不锈钢；规格: 120*80；特征: 加厚	工程材料/洁具	套	不锈钢120*80加厚洗脸盆	
REVIEW-MAT-00119	插头	品牌: 德力西；电流: 16A	电气材料/插头插座	个	德力西16A插头	极数/孔型缺失
REVIEW-MAT-00120	BV电线	型号: BV；截面积: 2.5平方	电气材料/电线电缆	米	BV2.5平方电线	状态：可合并；与第25行同类，缺品牌
REVIEW-MAT-00121	PPR给水管	规格: 32；用途: 给水	工程材料/PPR管件	米	32PPR给水管	品牌缺失
REVIEW-MAT-00122	铜止回阀	品牌: 埃美柯；材质: 铜；规格: 32；类型: 止回阀	工程材料/阀门	个	32埃美柯铜止回阀	
REVIEW-MAT-00123	蹲便器	类型: 平面蹲厕	工程材料/洁具	个	平面蹲厕	状态：可建档-低精度；尺寸/排水方式缺失
REVIEW-MAT-00124	冲水水箱	用途: 冲水	工程材料/洁具配件	个	冲水水箱	状态：可建档-低精度；容量/安装方式缺失
REVIEW-MAT-00125	小便斗	类型: 小便斗	工程材料/洁具	个	小便斗	状态：可建档-低精度；规格/感应方式缺失
REVIEW-MAT-00126	按压水龙头	类型: 按压	工程材料/水暖五金	个	按压龙头	状态：可建档-低精度；材质/接口规格缺失
REVIEW-MAT-00127	玻璃胶枪	用途: 打玻璃胶	工具器具/涂装工具	个	玻璃胶枪	
REVIEW-MAT-00128	钢圈	材质: 钢；规格: 100*108*5；加工: 是	加工件/金属加工件	个	加工100*108*5钢圈	状态：可建档-加工件；图纸/材质牌号缺失
REVIEW-MAT-00129	重油污清洗剂	品牌: 宝雅；用途: 重油污	清洁用品/清洁剂	KG	宝雅重油污清洗剂	
REVIEW-MAT-00130	不锈钢角阀	规格: 4分；材质: 不锈钢	工程材料/阀门	个	4分不锈钢角阀	状态：可建档 | 可合并；与第229行同物料
REVIEW-MAT-00131	不锈钢内接	规格: 4分；材质: 不锈钢；连接: 内接	工程材料/水暖管件	个	4分不锈钢内接	
REVIEW-MAT-00132	不锈钢外接	规格: 4分；材质: 不锈钢；连接: 外接	工程材料/水暖管件	个	4分不锈钢外接	
REVIEW-MAT-00133	不锈钢三通	规格: 4分；材质: 不锈钢；类型: 三通	工程材料/水暖管件	个	4分不锈钢三通	
REVIEW-MAT-00134	拖把	规格: 大	清洁用品/清洁工具	个	大拖把	状态：可建档 | 可合并；与第234行同物料
REVIEW-MAT-00135	洗脸盆龙头	用途: 洗脸盆	工程材料/水暖五金	个	洗脸盆龙头	状态：可建档-低精度；材质/接口规格缺失
REVIEW-MAT-00136	不锈钢锁扣	材质: 不锈钢	五金备件/门窗五金	个	不锈钢锁扣	状态：可建档-低精度；规格缺失
REVIEW-MAT-00137	耐磨焊丝	型号/牌号: 998；特性: 高强度耐磨	焊接耗材/焊丝	KG	998高强度耐磨焊丝	状态：可建档 | 可合并；直径缺失 | 与第240行同物料
REVIEW-MAT-00138	镀锌钢管	规格: DN25；标准: 国标；表面: 镀锌	金属材料/管材	米	DN25国标镀锌钢管	
REVIEW-MAT-00139	高压油管	规格: DN25*4；类型: 高压油管	液压/高压管路	条	DN25*4高压油管	压力等级/接头形式缺失
REVIEW-MAT-00140	铜止回阀	品牌: 埃美柯；规格: 25；材质: 铜；类型: 止回阀	工程材料/阀门	个	25埃美柯铜止回阀	
REVIEW-MAT-00141	泡沫填缝剂	类型: 泡沫填缝剂	化工耗材/填缝剂	支	泡沫填缝剂	容量缺失
REVIEW-MAT-00142	重型管卡	规格: 135；类型: 重型	工程材料/管道辅材	个	135重型管卡	
REVIEW-MAT-00143	钢圈	材质: 钢；规格: 100*110*10；加工: 是	加工件/金属加工件	个	加工100*110*10钢圈	状态：可建档-加工件；图纸/材质牌号缺失
REVIEW-MAT-00144	垫片	规格: 110*100*5；加工: 是	加工件/金属加工件	个	加工110*100*5垫片	状态：可建档-加工件；材质/图纸缺失
REVIEW-MAT-00145	角铁	规格: 50*50*6；标准: 国标	金属材料/型材	米	50*50*6国标角铁	
REVIEW-MAT-00146	冷热水龙头	规格: 4分；类型: 冷热	工程材料/水暖五金	套	4分冷热龙头	状态：可合并；与第139行同类，单位待统一
REVIEW-MAT-00147	金属软管	规格: 4分；长度: 60	工程材料/水暖五金	根	4分*60金属软管	60 是否 cm？
REVIEW-MAT-00148	不锈钢合页	材质: 不锈钢；规格: 6寸	五金备件/门窗五金	付	6寸不锈钢合页	
REVIEW-MAT-00149	不锈钢合页	材质: 不锈钢；规格: 5寸	五金备件/门窗五金	付	5寸不锈钢合页	
REVIEW-MAT-00150	502胶水	类型: 502	化工耗材/胶粘剂	支	502胶水	容量缺失
REVIEW-MAT-00151	高压铜球阀	规格: DN20；压力: 350kg；材质: 铜；类型: 球阀	工程材料/阀门	个	DN20*350kg高压铜球阀	
REVIEW-MAT-00152	棉布	规格: 大块	劳保耗材/擦拭材料	KG	大块棉布	状态：可建档 | 可合并；与第265行同物料
REVIEW-MAT-00153	垃圾夹	类型: 垃圾夹	清洁用品/清洁工具	个	垃圾夹	
REVIEW-MAT-00154	电箱	规格: 250A	电气材料/配电箱	个	250A电箱	箱体尺寸缺失
REVIEW-MAT-00155	五孔插座	类型: 五孔	电气材料/插头插座	个	五孔插座	状态：可合并；与第17行同类，缺品牌
REVIEW-MAT-00156	线槽	规格: 30*15	电气材料/电气辅材	米	30*15线槽	状态：可建档 | 可合并；与第273行同物料
REVIEW-MAT-00157	高压油管	规格: DN51；等级: 4SH	液压/高压管路	米	DN51*4SH高压油管	接头形式缺失
REVIEW-MAT-00158	高压油管	规格: DN32；等级: 4SH	液压/高压管路	米	DN32*4SH高压油管	接头形式缺失
REVIEW-MAT-00159	吊带	载荷: 2T；长度: 1.5米	吊装索具/吊带	付	2T*1.5米吊带	
REVIEW-MAT-00160	卸扣	载荷: 2T	吊装索具/卸扣	个	2T卸扣	状态：可建档 | 可合并；与第281行同物料 | 与第312行同物料，执行标准缺失
REVIEW-MAT-00161	剪刀	类型: 剪刀	工具器具/手动工具	个	剪刀	状态：可建档-低精度；规格/用途缺失
REVIEW-MAT-00162	电焊快速接头	规格: 35-50	焊接耗材/焊机配件	套	35-50电焊快速接头	
REVIEW-MAT-00163	加厚铁合页	材质: 铁；规格: 4寸；特征: 加厚	五金备件/门窗五金	付	4寸加厚铁合页	
REVIEW-MAT-00164	加厚铁合页	材质: 铁；规格: 5寸；特征: 加厚	五金备件/门窗五金	付	5寸加厚铁合页	
REVIEW-MAT-00165	卷尺	品牌: 得力；长度: 3米	工具器具/测量工具	个	得力3米卷尺	
REVIEW-MAT-00166	卷尺	品牌: 得力；长度: 5米	工具器具/测量工具	个	得力5米卷尺	
REVIEW-MAT-00167	卷尺	品牌: 得力；长度: 10米	工具器具/测量工具	个	得力10米卷尺	
REVIEW-MAT-00168	除胶剂	品牌: 得力；容量: 500ML	化工耗材/清洗剂	支	得力500ML除胶剂	
REVIEW-MAT-00169	垃圾袋	规格: 120*140；特征: 厚	清洁用品/垃圾袋	个	120*140厚垃圾袋	
REVIEW-MAT-00170	变压USB插座	品牌: 公牛；输入: 220V；输出: 36V；功能: USB	电气材料/插头插座	套	公牛220V转36VUSB插座	
REVIEW-MAT-00171	毛刷	规格: 3寸	工具器具/涂装工具	支	3寸毛刷	
REVIEW-MAT-00172	钢丝刷	类型: 刀型	工具器具/打磨工具	支	刀型钢丝刷	
REVIEW-MAT-00173	拖把	规格: 大	清洁用品/清洁工具	支	大拖把	状态：可合并；与第234行同物料，单位待统一
REVIEW-MAT-00174	锂电池电钻	品牌: 大艺；电压: 21V；动力: 锂电池	工具器具/电动工具	台	21V大艺锂电池电钻	
REVIEW-MAT-00175	锂电池角磨机	品牌: 大艺；动力: 锂电池	工具器具/电动工具	台	大艺锂电池角磨机	电压缺失
REVIEW-MAT-00176	电池	电压: 9V	电气材料/电池	个	9V电池	
REVIEW-MAT-00177	卸扣	载荷: 4T	吊装索具/卸扣	个	4T卸扣	状态：可建档 | 可合并；与第311行同物料，执行标准缺失
REVIEW-MAT-00178	螺丝	规格: 16*50	五金备件/紧固件	套	16*50螺丝	状态：可建档 | 可合并；材质/强度等级缺失 | 与第313行同物料
REVIEW-MAT-00179	LED防爆机床方形灯	长度: 1220MM；类型: LED；功能: 防爆；形状: 方形；用途: 机床	电气材料/防爆照明	套	1220MMLED防爆机床方形灯	功率缺失
REVIEW-MAT-00180	螺丝	规格: 14*50	五金备件/紧固件	套	14*50螺丝	材质/强度等级缺失
REVIEW-MAT-00181	弓形卸扣	载荷: 6.5吨；标准: 国标；形状: 弓形	吊装索具/卸扣	个	6.5吨国标弓形卸扣	
REVIEW-MAT-00182	热水器挂钩	用途: 热水器	工程材料/水暖五金	个	热水器挂钩	状态：可合并；与第377行同类，规格缺失 | 与第323行同物料
REVIEW-MAT-00183	排风扇	规格: 50*50	电气材料/通风设备	个	50*50排风扇	状态：可合并；与第118行相近，排气扇/排风扇统一命名
REVIEW-MAT-00184	塑料方凳	材质: 塑料；规格: 50CM；特征: 加厚	办公生活用品/家具	个	加厚50CM塑料方凳	
REVIEW-MAT-00185	不锈钢弯头	材质: 不锈钢；规格: 250；类型: 弯头	工程材料/管件	个	250不锈钢弯头	壁厚/角度缺失
REVIEW-MAT-00186	发泡胶	品牌: 雨虹；特性: 高倍	化工耗材/填缝剂	支	雨虹高倍发泡胶	容量缺失
REVIEW-MAT-00187	重油污清洗剂	用途: 去重油污	清洁用品/清洁剂	公斤	去重油污清洗剂	状态：可合并；与第226行同类，品牌不同/缺失
REVIEW-MAT-00188	电池	规格: 5号	电气材料/电池	个	5号电池	
REVIEW-MAT-00189	电焊眼镜	用途: 电焊	劳保耗材/眼面防护	付	电焊眼镜	
REVIEW-MAT-00190	内六角扳手	规格: 19	工具器具/手动工具	支	19内六角扳手	
REVIEW-MAT-00191	等离子割嘴	型号: P80；类型: 割嘴	焊接耗材/等离子切割配件	个	P80等离子割嘴	
REVIEW-MAT-00192	槽钢	规格: 200B	金属材料/型材	米	200B槽钢	材质/标准缺失
REVIEW-MAT-00193	槽钢	规格: 160B	金属材料/型材	米	160B槽钢	材质/标准缺失
REVIEW-MAT-00194	水泥砖	材质: 水泥	建筑材料/砌块砖	块	水泥砖	状态：可建档-低精度；尺寸缺失
REVIEW-MAT-00195	砖刀	用途: 砌砖/切砖	工具器具/施工工具	个	砖刀	
REVIEW-MAT-00196	灰刀	用途: 抹灰	工具器具/施工工具	个	灰刀	
REVIEW-MAT-00197	防水网线接头	功能: 防水；用途: 网线连接	电气材料/弱电材料	个	防水网线接头连接	
REVIEW-MAT-00198	防锈润滑剂	品牌/型号: WD-40；容量: 500	化工耗材/润滑防锈	支	WD-40500防锈润滑剂	500 是否 ml？
REVIEW-MAT-00199	螺丝	规格: 8*250	五金备件/紧固件	套	8*250螺丝	材质/强度等级缺失 | 是否为M8？材质/强度等级缺失
REVIEW-MAT-00200	调和油漆	颜色: 铁红	化工耗材/涂料	桶	铁红油漆	容量缺失
REVIEW-MAT-00201	LED灯泡	品牌: 公牛；功率: 20W	电气材料/照明	个	公牛20WLED灯泡	灯头规格缺失
REVIEW-MAT-00202	焊条	型号: 507；直径: 3.2	焊接耗材/焊条	件	507*3.2焊条	包装重量缺失
REVIEW-MAT-00203	加厚蝶阀	品牌: 埃美柯；规格: DN65；特征: 加厚	工程材料/阀门	个	DN65埃美柯加厚蝶阀	材质缺失
REVIEW-MAT-00204	加厚不锈钢球阀	品牌: 埃美柯；规格: DN65；材质: 不锈钢；特征: 加厚	工程材料/阀门	个	DN65埃美柯加厚不锈钢球阀	
REVIEW-MAT-00205	加厚不锈钢球阀	品牌: 埃美柯；规格: 40；材质: 不锈钢；特征: 加厚	工程材料/阀门	个	40埃美柯加厚不锈钢球阀	
REVIEW-MAT-00206	调和油漆	颜色: 白色；类型: 调和油漆	化工耗材/涂料	桶	白色调和油漆	容量缺失
