reviewed_group_path,canonical_group_path,canonical_level1,canonical_level2,canonical_level3,confidence,rule_reason,needs_human_review
劳保/急救用品,劳保用品/其他/急救用品,劳保用品,其他,急救用品,0.62,一级同义合并：劳保 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保用品/手套,劳保用品/手部防护/手套,劳保用品,手部防护,手套,0.98,人工示例：劳保耗材与劳保用品统一,false
劳保用品/防水服,劳保用品/其他/防水服,劳保用品,其他,防水服,0.62,一级分类已规范：劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/呼吸防护,劳保用品/其他/呼吸防护,劳保用品,其他,呼吸防护,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/地面防护,劳保用品/其他/地面防护,劳保用品,其他,地面防护,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/坠落防护,劳保用品/其他/坠落防护,劳保用品,其他,坠落防护,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/头部防护配件,劳保用品/其他/头部防护配件,劳保用品,其他,头部防护配件,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/急救用品,劳保用品/其他/急救用品,劳保用品,其他,急救用品,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/手套,劳保用品/手部防护/手套,劳保用品,手部防护,手套,0.98,人工示例：劳保耗材与劳保用品统一,false
劳保耗材/擦拭材料,劳保用品/其他/擦拭材料,劳保用品,其他,擦拭材料,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/清洁工具,劳保用品/其他/清洁工具,劳保用品,其他,清洁工具,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/清洁用品,劳保用品/其他/清洁用品,劳保用品,其他,清洁用品,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/眼面防护,劳保用品/其他/眼面防护,劳保用品,其他,眼面防护,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/覆盖防护,劳保用品/其他/覆盖防护,劳保用品,其他,覆盖防护,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/足部防护,劳保用品/其他/足部防护,劳保用品,其他,足部防护,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/防护服,劳保用品/头足身防护/防护服,劳保用品,头足身防护,防护服,0.94,"一级同义合并：劳保耗材 -> 劳保用品；关键词规则：防护服,雨衣,围裙",false
劳保耗材/防晒用品,劳保用品/其他/防晒用品,劳保用品,其他,防晒用品,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
劳保耗材/雨具,劳保用品/其他/雨具,劳保用品,其他,雨具,0.62,一级同义合并：劳保耗材 -> 劳保用品；仅完成一级合并，保留原二级作为三级待复核,true
包装材料/包装工具,包装与标识/其他/包装工具,包装与标识,其他,包装工具,0.62,一级同义合并：包装材料 -> 包装与标识；仅完成一级合并，保留原二级作为三级待复核,true
包装材料/吨袋,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/塑料袋,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/纸箱,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/缓冲包装,包装与标识/其他/缓冲包装,包装与标识,其他,缓冲包装,0.62,一级同义合并：包装材料 -> 包装与标识；仅完成一级合并，保留原二级作为三级待复核,true
包装材料/编织袋,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/缠绕膜,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/胶带,包装与标识/胶带标签/胶带,包装与标识,胶带标签,胶带,0.94,一级同义合并：包装材料 -> 包装与标识；关键词规则：胶带,false
包装材料/自封袋,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/薄膜,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/薄膜纸品,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/袋类,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/集装袋,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
包装材料/麻袋,包装与标识/袋箱膜包装/袋箱膜,包装与标识,袋箱膜包装,袋箱膜,0.94,"一级同义合并：包装材料 -> 包装与标识；关键词规则：袋,箱,膜,吨袋,编织袋,缠绕膜",false
化工原料/堵漏材料,化工油漆胶粘/其他/堵漏材料,化工油漆胶粘,其他,堵漏材料,0.62,一级同义合并：化工原料 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工原料/无机盐,化工油漆胶粘/其他/无机盐,化工油漆胶粘,其他,无机盐,0.62,一级同义合并：化工原料 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工原料/水处理剂,化工油漆胶粘/其他/水处理剂,化工油漆胶粘,其他,水处理剂,0.62,一级同义合并：化工原料 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工原料/溶剂,化工油漆胶粘/其他/溶剂,化工油漆胶粘,其他,溶剂,0.62,一级同义合并：化工原料 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工原料/膨润土,化工油漆胶粘/其他/膨润土,化工油漆胶粘,其他,膨润土,0.62,一级同义合并：化工原料 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工材料/膨润土,化工油漆胶粘/其他/膨润土,化工油漆胶粘,其他,膨润土,0.62,一级同义合并：化工材料 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/堵漏剂,化工油漆胶粘/其他/堵漏剂,化工油漆胶粘,其他,堵漏剂,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/堵漏材料,化工油漆胶粘/其他/堵漏材料,化工油漆胶粘,其他,堵漏材料,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/填缝剂,化工油漆胶粘/其他/填缝剂,化工油漆胶粘,其他,填缝剂,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/填缝材料,化工油漆胶粘/其他/填缝材料,化工油漆胶粘,其他,填缝材料,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/密封胶,化工油漆胶粘/胶粘密封/胶粘剂,化工油漆胶粘,胶粘密封,胶粘剂,0.94,"一级同义合并：化工耗材 -> 化工油漆胶粘；关键词规则：胶,胶粘,结构胶,密封胶",false
化工耗材/涂料,化工油漆胶粘/油漆涂料/涂料油漆,化工油漆胶粘,油漆涂料,涂料油漆,0.94,"一级同义合并：化工耗材 -> 化工油漆胶粘；关键词规则：油漆,涂料,稀料",false
化工耗材/涂料辅料,化工油漆胶粘/油漆涂料/涂料油漆,化工油漆胶粘,油漆涂料,涂料油漆,0.94,"一级同义合并：化工耗材 -> 化工油漆胶粘；关键词规则：油漆,涂料,稀料",false
化工耗材/润滑剂,化工油漆胶粘/其他/润滑剂,化工油漆胶粘,其他,润滑剂,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/润滑油,化工油漆胶粘/油品化学品/润滑油脂,化工油漆胶粘,油品化学品,润滑油脂,0.94,"一级同义合并：化工耗材 -> 化工油漆胶粘；关键词规则：润滑油,黄油,油脂",false
化工耗材/润滑脂,化工油漆胶粘/其他/润滑脂,化工油漆胶粘,其他,润滑脂,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/润滑防护剂,化工油漆胶粘/其他/润滑防护剂,化工油漆胶粘,其他,润滑防护剂,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/润滑防锈,化工油漆胶粘/其他/润滑防锈,化工油漆胶粘,其他,润滑防锈,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/清洗剂,化工油漆胶粘/油品化学品/清洗化学品,化工油漆胶粘,油品化学品,清洗化学品,0.94,"一级同义合并：化工耗材 -> 化工油漆胶粘；关键词规则：清洗剂,除锈,清洁化学",false
化工耗材/稀释清洗,化工油漆胶粘/其他/稀释清洗,化工油漆胶粘,其他,稀释清洗,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/胶带,化工油漆胶粘/胶粘密封/胶粘剂,化工油漆胶粘,胶粘密封,胶粘剂,0.94,"一级同义合并：化工耗材 -> 化工油漆胶粘；关键词规则：胶,胶粘,结构胶,密封胶",false
化工耗材/胶粘剂,化工油漆胶粘/胶粘密封/胶粘剂,化工油漆胶粘,胶粘密封,胶粘剂,0.94,"一级同义合并：化工耗材 -> 化工油漆胶粘；关键词规则：胶,胶粘,结构胶,密封胶",false
化工耗材/胶粘带,化工油漆胶粘/胶粘密封/胶粘剂,化工油漆胶粘,胶粘密封,胶粘剂,0.94,"一级同义合并：化工耗材 -> 化工油漆胶粘；关键词规则：胶,胶粘,结构胶,密封胶",false
化工耗材/脱漆剂,化工油漆胶粘/其他/脱漆剂,化工油漆胶粘,其他,脱漆剂,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/防潮剂,化工油漆胶粘/其他/防潮剂,化工油漆胶粘,其他,防潮剂,0.62,一级同义合并：化工耗材 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
化工耗材/除锈润滑剂,化工油漆胶粘/油品化学品/清洗化学品,化工油漆胶粘,油品化学品,清洗化学品,0.94,"一级同义合并：化工耗材 -> 化工油漆胶粘；关键词规则：清洗剂,除锈,清洁化学",false
化工辅料/密封填缝材料,化工油漆胶粘/其他/密封填缝材料,化工油漆胶粘,其他,密封填缝材料,0.62,一级同义合并：化工辅料 -> 化工油漆胶粘；仅完成一级合并，保留原二级作为三级待复核,true
原材料/不锈钢材料,金属原材料/钢材型材/钢材型材,金属原材料,钢材型材,钢材型材,0.94,"一级同义合并：原材料 -> 金属原材料；关键词规则：钢材,钢板,角钢,槽钢,圆钢,扁钢,型材",false
原材料/型钢,金属原材料/其他/型钢,金属原材料,其他,型钢,0.62,一级同义合并：原材料 -> 金属原材料；仅完成一级合并，保留原二级作为三级待复核,true
原材料/塑料板材,金属原材料/其他/塑料板材,金属原材料,其他,塑料板材,0.62,一级同义合并：原材料 -> 金属原材料；仅完成一级合并，保留原二级作为三级待复核,true
原材料/板材,金属原材料/其他/板材,金属原材料,其他,板材,0.62,一级同义合并：原材料 -> 金属原材料；仅完成一级合并，保留原二级作为三级待复核,true
原材料/橡胶材料,金属原材料/其他/橡胶材料,金属原材料,其他,橡胶材料,0.62,一级同义合并：原材料 -> 金属原材料；仅完成一级合并，保留原二级作为三级待复核,true
原材料/钢板,金属原材料/钢材型材/钢材型材,金属原材料,钢材型材,钢材型材,0.94,"一级同义合并：原材料 -> 金属原材料；关键词规则：钢材,钢板,角钢,槽钢,圆钢,扁钢,型材",false
原材料/钢管,金属原材料/其他/钢管,金属原材料,其他,钢管,0.62,一级同义合并：原材料 -> 金属原材料；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/卸扣,吊装索具/吊装连接件/卸扣吊钩,吊装索具,吊装连接件,卸扣吊钩,0.95,"一级分类已规范：吊装索具；关键词规则：卸扣,吊钩,卡环",true
吊装索具/吊具,吊装索具/其他/吊具,吊装索具,其他,吊具,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/吊包,吊装索具/其他/吊包,吊装索具,其他,吊包,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/吊带,吊装索具/吊带索具/吊带,吊装索具,吊带索具,吊带,0.95,一级分类已规范：吊装索具；关键词规则：吊带,true
吊装索具/吊环,吊装索具/其他/吊环,吊装索具,其他,吊环,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/吊钩配件,吊装索具/吊装连接件/卸扣吊钩,吊装索具,吊装连接件,卸扣吊钩,0.95,"一级分类已规范：吊装索具；关键词规则：卸扣,吊钩,卡环",true
吊装索具/拉紧器,吊装索具/其他/拉紧器,吊装索具,其他,拉紧器,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/支垫件,吊装索具/其他/支垫件,吊装索具,其他,支垫件,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/滑轮钩,吊装索具/其他/滑轮钩,吊装索具,其他,滑轮钩,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/紧固调节,吊装索具/其他/紧固调节,吊装索具,其他,紧固调节,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/绳索,吊装索具/吊带索具/钢丝绳链条,吊装索具,吊带索具,钢丝绳链条,0.95,"一级分类已规范：吊装索具；关键词规则：钢丝绳,链条,绳索",false
吊装索具/葫芦,吊装索具/其他/葫芦,吊装索具,其他,葫芦,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/起重设备,吊装索具/其他/起重设备,吊装索具,其他,起重设备,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/连接件,吊装索具/其他/连接件,吊装索具,其他,连接件,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/钢丝绳,吊装索具/吊带索具/钢丝绳链条,吊装索具,吊带索具,钢丝绳链条,0.95,"一级分类已规范：吊装索具；关键词规则：钢丝绳,链条,绳索",true
吊装索具/钢丝绳夹,吊装索具/吊带索具/钢丝绳链条,吊装索具,吊带索具,钢丝绳链条,0.95,"一级分类已规范：吊装索具；关键词规则：钢丝绳,链条,绳索",true
吊装索具/钢丝绳配件,吊装索具/吊带索具/钢丝绳链条,吊装索具,吊带索具,钢丝绳链条,0.95,"一级分类已规范：吊装索具；关键词规则：钢丝绳,链条,绳索",true
吊装索具/钢板夹,吊装索具/其他/钢板夹,吊装索具,其他,钢板夹,0.62,一级分类已规范：吊装索具；仅完成一级合并，保留原二级作为三级待复核,true
吊装索具/链条,吊装索具/吊带索具/钢丝绳链条,吊装索具,吊带索具,钢丝绳链条,0.95,"一级分类已规范：吊装索具；关键词规则：钢丝绳,链条,绳索",false
吊装索具/链条配件,吊装索具/吊带索具/钢丝绳链条,吊装索具,吊带索具,钢丝绳链条,0.95,"一级分类已规范：吊装索具；关键词规则：钢丝绳,链条,绳索",false
堵漏注浆/注浆耗材,工程建材/保温防水/防水堵漏,工程建材,保温防水,防水堵漏,0.94,"一级同义合并：堵漏注浆 -> 工程建材；关键词规则：防水,堵漏,注浆",false
堵漏注浆/注浆配件,工程建材/保温防水/防水堵漏,工程建材,保温防水,防水堵漏,0.94,"一级同义合并：堵漏注浆 -> 工程建材；关键词规则：防水,堵漏,注浆",false
塑料板材/PC板,工程建材/板材型材/板材,工程建材,板材型材,板材,0.94,"一级同义合并：塑料板材 -> 工程建材；关键词规则：板材,木板,塑料板,硅晶板",false
备品备件/传动件,设备备件与加工件/传动轴承/传动轴承,设备备件与加工件,传动轴承,传动轴承,0.94,"一级同义合并：备品备件 -> 设备备件与加工件；关键词规则：传动,轴承,链轮,齿轮",false
备品备件/密封件,设备备件与加工件/其他/密封件,设备备件与加工件,其他,密封件,0.62,一级同义合并：备品备件 -> 设备备件与加工件；仅完成一级合并，保留原二级作为三级待复核,true
备品备件/轴承,设备备件与加工件/传动轴承/传动轴承,设备备件与加工件,传动轴承,传动轴承,0.94,"一级同义合并：备品备件 -> 设备备件与加工件；关键词规则：传动,轴承,链轮,齿轮",false
备品备件/过滤件,设备备件与加工件/过滤密封/过滤件,设备备件与加工件,过滤密封,过滤件,0.94,"一级同义合并：备品备件 -> 设备备件与加工件；关键词规则：过滤,滤芯",false
安全标识/反光材料,安全防护/警示标识/反光警示,安全防护,警示标识,反光警示,0.94,"一级同义合并：安全标识 -> 安全防护；关键词规则：反光,警示,标识,标牌,交通标识",false
安全消防/水带,消防器材/灭火器与水带/消防水带,消防器材,灭火器与水带,消防水带,0.94,"一级同义合并：安全消防 -> 消防器材；关键词规则：消防水带,水带",true
安全消防/消防工具,消防器材/消防工具/消防工具,消防器材,消防工具,消防工具,0.94,"一级同义合并：安全消防 -> 消防器材；关键词规则：消防工具,消防器材,消防材料",true
安全消防/消防接头,消防器材/消防管件与接头/消防接头,消防器材,消防管件与接头,消防接头,0.94,"一级同义合并：安全消防 -> 消防器材；关键词规则：消防接头,消防管件",true
安全消防/消防水带,消防器材/灭火器与水带/消防水带,消防器材,灭火器与水带,消防水带,0.94,"一级同义合并：安全消防 -> 消防器材；关键词规则：消防水带,水带",true
安全消防/灭火器,消防器材/灭火器与水带/灭火器,消防器材,灭火器与水带,灭火器,0.94,一级同义合并：安全消防 -> 消防器材；关键词规则：灭火器,true
安全消防/灭火器配件,消防器材/灭火器与水带/灭火器,消防器材,灭火器与水带,灭火器,0.94,一级同义合并：安全消防 -> 消防器材；关键词规则：灭火器,true
安全设施/交通标识,安全防护/警示标识/反光警示,安全防护,警示标识,反光警示,0.94,"一级同义合并：安全设施 -> 安全防护；关键词规则：反光,警示,标识,标牌,交通标识",false
安全设施/反光材料,安全防护/警示标识/反光警示,安全防护,警示标识,反光警示,0.94,"一级同义合并：安全设施 -> 安全防护；关键词规则：反光,警示,标识,标牌,交通标识",false
安全设施/警示用品,安全防护/警示标识/反光警示,安全防护,警示标识,反光警示,0.94,"一级同义合并：安全设施 -> 安全防护；关键词规则：反光,警示,标识,标牌,交通标识",false
安全设施/防护网,安全防护/隔离防护/防护网,安全防护,隔离防护,防护网,0.94,"一级同义合并：安全设施 -> 安全防护；关键词规则：防护网,隔离,防撞",false
安全设施/防撞防护,安全防护/隔离防护/防护网,安全防护,隔离防护,防护网,0.94,"一级同义合并：安全设施 -> 安全防护；关键词规则：防护网,隔离,防撞",false
安全设施/隔离设施,安全防护/隔离防护/防护网,安全防护,隔离防护,防护网,0.94,"一级同义合并：安全设施 -> 安全防护；关键词规则：防护网,隔离,防撞",false
安全防护/交通设施,安全防护/其他/交通设施,安全防护,其他,交通设施,0.62,一级分类已规范：安全防护；仅完成一级合并，保留原二级作为三级待复核,true
