merged_item_code,standard_name,canonical_group_path,specs,unit,source_count,source_candidate_count,alias_names,source_rows,governance_grade,governance_status,issue_type,missing_specs,governance_reason,next_action,matched_rule_key,matched_rule_label,rule_source,override_source,has_blocking_conflict,has_alias_conflict,has_unit_conflict,has_low_precision,needs_human_review,note_has_open_question,related_conflict_types,resolution_issue_types,original_composition_bucket,merge_confidence,merge_reason
REVIEW-MAT-00015,二位开关,电气与自动化/低压电器/开关按钮,品牌: 公牛；位数: 2位,个,1,1,公牛2位开关,Sheet1:21,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,false,true,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,需复核-备注问题,1.00,single_candidate
REVIEW-MAT-00016,LED灯泡,电气与自动化/照明与报警/灯具,品牌: 公牛；功率: 40W,个,1,1,40WLED公牛灯泡,Sheet1:25,C,C-补关键规格,specs_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,false,true,false,specs_conflict,specs_conflict,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00017,BV电线,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；型号: BV；截面积: 2.5平方,米,3,1,BV2.5起帆平方电线；起帆BV2.5平方电线,Sheet1:26；Sheet1:663；Sheet1:668,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,true,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,需复核-人工标记,0.70,single_candidate;source_status_contains_merge;low_precision
REVIEW-MAT-00018,BV电线,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；型号: BV；截面积: 10平方,米,1,1,起帆BV10平方电线,Sheet1:27,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,true,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00019,BV电线,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；型号: BV；截面积: 25平方,米,1,1,起帆BV25平方电线,Sheet1:28,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,true,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00020,紧线器,工具器具/其他/电力工具,额定载荷: 1T,套,1,1,1T紧线器,Sheet1:31,C,C-补关键规格,missing_specs,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,tool,工具器具,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;human_review_group
REVIEW-MAT-00021,木方,工程建材/其他/模板木方,规格: 4*9,米,2,1,4*9木方,Sheet1:33；Sheet1:57,C,C-补关键规格,specs_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,false,true,true,specs_conflict,specs_conflict,需复核-人工标记,0.65,single_candidate;source_status_contains_merge;human_review_group
REVIEW-MAT-00022,木方,工程建材/其他/模板木方,规格: 4*4,米,1,1,4*4木方,Sheet1:34,C,C-补关键规格,specs_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,false,true,true,specs_conflict,specs_conflict,需复核-人工标记,0.65,single_candidate;human_review_group
REVIEW-MAT-00023,铁钉,五金备件/其他/紧固件,长度: 2寸,斤,1,1,2寸铁钉,Sheet1:38,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级和单位。,fastener,紧固件,rules_yaml,,false,false,false,true,true,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,需复核-人工标记,0.65,single_candidate;human_review_group
REVIEW-MAT-00024,不锈钢合页,五金备件/其他/门窗五金,材质: 不锈钢；规格: 4寸,套,2,1,4寸不锈钢合页,Sheet1:39；Sheet1:58,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,default,默认规则,default,,false,false,false,true,true,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,需复核-人工标记,0.65,single_candidate;source_status_contains_merge;human_review_group
REVIEW-MAT-00025,墙纸,工程建材/其他/墙面材料,包装/规格: 大卷,卷,2,1,墙纸大卷,Sheet1:40；Sheet1:50,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;source_status_contains_merge;low_precision;human_review_group
REVIEW-MAT-00026,热水壶,行政办公与清洁/生活后勤/生活用品,类型: 热水壶,个,1,1,热水壶,Sheet1:41,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,确认规格、品牌和包装单位。,office_cleaning,行政办公与清洁,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00027,PPR管,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25,米,2,1,公元25PPR管,Sheet1:169；Sheet1:42,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,pipe_and_fitting,管材管件,rules_yaml,,true,true,false,true,false,false,alias_conflict；low_precision_conflict；specs_conflict,alias_conflict；low_precision_conflict；specs_conflict,冲突-别名一对多,1.00,single_candidate;source_status_contains_merge
REVIEW-MAT-00028,PPR直通,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 直通,个,1,1,公元25PPR直通,Sheet1:43,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,true,false,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,冲突-低精度,1.00,single_candidate
REVIEW-MAT-00029,PPR弯头,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 弯头,个,1,1,公元25PPR弯头,Sheet1:44,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,pipe_and_fitting,管材管件,rules_yaml,,true,true,false,true,false,false,alias_conflict；low_precision_conflict；specs_conflict,alias_conflict；low_precision_conflict；specs_conflict,冲突-别名一对多,1.00,single_candidate
REVIEW-MAT-00030,PPR热熔机,工具器具/其他/管道工具,品牌: 公元；用途: PPR热熔,个,1,1,公元热熔机,Sheet1:46,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,tool,工具器具,rules_yaml,,true,true,false,false,true,false,alias_conflict,alias_conflict,需复核-人工标记,0.65,single_candidate;low_precision;human_review_group
REVIEW-MAT-00031,PPR管剪刀,工具器具/其他/管道工具,品牌: 公元；用途: PPR管剪切,个,2,1,公元PPR剪刀,Sheet1:47；Sheet1:76,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,tool,工具器具,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;source_status_contains_merge;human_review_group
REVIEW-MAT-00032,石子,工程建材/水泥砂石/水泥砂石,粒径: 4-6MM,斤,1,1,4-6MM石子,Sheet1:48,C,C-补关键规格,missing_specs,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,true,false,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,冲突-低精度,1.00,single_candidate
REVIEW-MAT-00033,工业插头,电气与自动化/插头插座/插头插座,品牌: 公牛；电压: 380V；电流: 25A,个,1,1,公牛380V*25A插头,Sheet1:52,C,C-补关键规格,specs_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,false,true,false,specs_conflict,specs_conflict,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00034,电工胶布,电气与自动化/绝缘材料/热缩绝缘,品牌: 3M,个,1,1,3M电胶布,Sheet1:54,C,C-补关键规格,specs_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,false,true,false,specs_conflict,specs_conflict,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00035,多功能剥线钳,工具器具/其他/手动工具,品牌: 世达；类型: 多功能剥线钳,个,2,2,世达多功能剥线钳,Sheet1:139；Sheet1:55,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,tool,工具器具,rules_yaml,,false,false,false,true,true,false,low_precision_conflict,low_precision_conflict,需复核-人工标记,0.65,exact_name_group_unit_specs;source_status_contains_merge;low_precision;human_review_group
REVIEW-MAT-00036,断点检测电笔,工具器具/其他/电工工具,功能: 找断点/测电,个,2,2,找断点电笔,Sheet1:138；Sheet1:56,C,C-补关键规格,missing_specs,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,tool,工具器具,rules_yaml,,false,false,false,true,true,false,low_precision_conflict,low_precision_conflict,需复核-人工标记,0.65,exact_name_group_unit_specs;source_status_contains_merge;low_precision;human_review_group
REVIEW-MAT-00037,插座,电气与自动化/插头插座/插头插座,品牌: 公牛；电流: 16A,个,1,1,公牛16A插座,Sheet1:61,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,false,true,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,需复核-备注问题,1.00,single_candidate
REVIEW-MAT-00038,洁厕灵,行政办公与清洁/清洁用品/清洁工具耗材,类型: 洁厕清洁剂,瓶,1,1,洁厕灵,Sheet1:62,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,office_cleaning,行政办公与清洁,rules_yaml,,true,true,false,false,true,false,alias_conflict,alias_conflict,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00039,窗帘架拉链,工程建材/其他/窗帘配件,类型: 拉链/配件,套,3,1,窗帘架拉链,Sheet1:110；Sheet1:276；Sheet1:64,C,C-补关键规格,missing_specs,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;source_status_contains_merge;low_precision;human_review_group
REVIEW-MAT-00040,钢钉线卡,电气与自动化/其他/电气辅材,规格: 20,个,1,1,20钢钉线卡,Sheet1:65,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;human_review_group
REVIEW-MAT-00041,三角阀,工程建材/其他/阀门,规格: 4分,个,2,1,4分三角阀,Sheet1:168；Sheet1:66,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;source_status_contains_merge;low_precision;human_review_group
REVIEW-MAT-00042,PPR三通,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 三通,个,1,1,公元PPR25三通,Sheet1:67,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00043,PPR内牙三通,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；连接: 内牙；类型: 三通,个,1,1,公元PPR25内牙三通,Sheet1:68,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,true,false,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,冲突-低精度,1.00,single_candidate
REVIEW-MAT-00044,PPR内牙直通,工程建材/水暖建材/水暖五金,品牌: 公元；规格: PPR25*4分；连接: 内牙；类型: 直通,个,1,1,公元PPR25*4内牙直通,Sheet1:69,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,false,false,false,,,可导入-直接可用,1.00,single_candidate
REVIEW-MAT-00045,PPR内牙弯头,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；连接: 内牙；类型: 弯头,个,1,1,公元PPR25内牙弯头,Sheet1:70,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,false,false,false,specs_conflict,,可导入-按规格拆分,1.00,single_candidate
REVIEW-MAT-00046,洗衣机龙头,工程建材/水暖建材/水暖五金,用途: 洗衣机,个,1,1,洗衣机龙头,Sheet1:71,C,C-补关键规格,missing_specs,至少一个: 规格；口径；DN；材质；类型,未满足当前分组的关键规格模板。,确认材质、口径/规格、连接方式和类型。,pipe_and_fitting,管材管件,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00047,堵头,工程建材/其他/管件,规格: 4分,个,1,1,4分堵头,Sheet1:72,C,C-补关键规格,specs_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,false,true,false,specs_conflict,specs_conflict,需复核-人工标记,0.65,single_candidate;low_precision;human_review_group
REVIEW-MAT-00048,堵头,工程建材/其他/管件,规格: 6分,个,1,1,6分堵头,Sheet1:73,C,C-补关键规格,specs_conflict,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,false,true,false,specs_conflict,specs_conflict,需复核-人工标记,0.65,single_candidate;low_precision;human_review_group
REVIEW-MAT-00049,水管钩,工程建材/其他/管道辅材,规格: 25,个,4,1,25水管钩,Sheet1:155；Sheet1:176；Sheet1:196；Sheet1:77,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;source_status_contains_merge;low_precision;human_review_group
REVIEW-MAT-00050,镀锌电线架,电气与自动化/其他/电气辅材,材质: 镀锌；位数: 4位,个,1,1,4位镀锌电线架,Sheet1:78,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,electrical,电气与自动化,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;human_review_group
REVIEW-MAT-00051,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 50,个,1,1,50不锈钢挂锁,Sheet1:81,C,C-补关键规格,low_precision_conflict,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,default,默认规则,default,,false,false,false,true,false,false,low_precision_conflict；specs_conflict,low_precision_conflict；specs_conflict,冲突-低精度,1.00,single_candidate
REVIEW-MAT-00052,不锈钢插销,五金备件/其他/门窗五金,材质: 不锈钢,个,1,1,不锈钢插销,Sheet1:82,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,default,默认规则,default,,true,true,true,true,true,false,alias_conflict；low_precision_conflict；unit_conflict,alias_conflict；low_precision_conflict；unit_conflict,需复核-人工标记,0.65,single_candidate;low_precision;human_review_group
REVIEW-MAT-00053,带锁不锈钢插销,五金备件/其他/门窗五金,材质: 不锈钢；功能: 带锁,个,1,1,不锈钢插销带锁,Sheet1:83,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,default,默认规则,default,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;low_precision;human_review_group
REVIEW-MAT-00054,环保涂料,化工油漆胶粘/油漆涂料/涂料油漆,品牌: 立邦；系列: 5合1,桶,1,1,立邦环保涂料5合1,Sheet1:85,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,确认类型、品牌/型号、颜色和包装规格。,chemical_paint_adhesive,化工油漆胶粘,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.70,single_candidate;low_precision
REVIEW-MAT-00055,滚筒刷,工具器具/涂装工具/刷辊喷涂,规格: 4寸,个,1,1,4寸滚筒,Sheet1:86,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,tool,工具器具,rules_yaml,,true,true,true,true,false,false,alias_conflict；low_precision_conflict；specs_conflict；unit_conflict,alias_conflict；low_precision_conflict；specs_conflict；unit_conflict,冲突-别名一对多,1.00,single_candidate
REVIEW-MAT-00056,插销,五金备件/其他/门窗五金,规格: 4寸,付,1,1,4寸插销,Sheet1:87,C,C-补关键规格,specs_conflict,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,default,默认规则,default,,false,false,false,false,true,false,specs_conflict,specs_conflict,需复核-人工标记,0.65,single_candidate;low_precision;human_review_group
REVIEW-MAT-00057,加厚不锈钢合页,五金备件/其他/门窗五金,材质: 不锈钢；规格: 4寸；特征: 加厚,付,1,1,4寸不锈钢加厚合页,Sheet1:88,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,default,默认规则,default,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;human_review_group
REVIEW-MAT-00058,不锈钢抽锁,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 5寸,个,1,1,5寸不锈钢抽锁,Sheet1:89,A,A-可发布候选,,,规则完整，规格满足模板，单位明确，未发现阻塞冲突。,后续可进入导入前复核清单，本阶段不写入 ERPNext。,default,默认规则,default,,false,false,false,false,false,false,,,可导入-直接可用,1.00,single_candidate
REVIEW-MAT-00059,塑料扫把,行政办公与清洁/清洁用品/清洁工具耗材,材质: 塑料,个,1,1,塑料扫把,Sheet1:90,D,D-阻塞冲突,alias_conflict,至少一个: 规格；类型；品牌；包装规格,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,office_cleaning,行政办公与清洁,rules_yaml,,true,true,true,true,false,false,alias_conflict；low_precision_conflict；unit_conflict,alias_conflict；low_precision_conflict；unit_conflict,冲突-别名一对多,1.00,single_candidate
REVIEW-MAT-00060,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 40,个,1,1,40不锈钢挂锁,Sheet1:91,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,default,默认规则,default,,true,true,true,true,false,false,alias_conflict；low_precision_conflict；specs_conflict；unit_conflict,alias_conflict；low_precision_conflict；specs_conflict；unit_conflict,冲突-别名一对多,1.00,single_candidate
REVIEW-MAT-00061,高粱扫把,行政办公与清洁/清洁用品/清洁工具耗材,材质/类型: 高粱,把,1,1,高粱扫把,Sheet1:92,D,D-阻塞冲突,alias_conflict,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,office_cleaning,行政办公与清洁,rules_yaml,,true,true,false,true,false,false,alias_conflict；low_precision_conflict；specs_conflict,alias_conflict；low_precision_conflict；specs_conflict,冲突-别名一对多,1.00,single_candidate
REVIEW-MAT-00062,PVC地板胶,工程建材/其他/地面材料,材质: PVC；特征: 加厚,平方,1,1,加厚PVC地板胶,Sheet1:95,C,C-补关键规格,needs_human_review,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,construction_material,工程建材,rules_yaml,,false,false,false,true,true,false,,needs_human_review,需复核-人工标记,0.65,single_candidate;low_precision;human_review_group
