候选词	建议物料族	处理建议	置信度	覆盖SKU数	覆盖标准名称数	当前物料族数	是否跨一级类目	主要分类	当前物料族	样例标准名称	样例SKU	说明
油管	油管	可优先固化为物料族	high	18	4	3	否	液压气动/高压管路:13；液压气动/液压接头:5	油管护套；液压接头；高压油管	油管快速接头；油管护套；高压油管；高压油管接头	PIPE-000035 高压油管 规格：DN25*4；类型：高压油管；PIPE-000040 高压油管 规格：DN51；等级：4SH；PIPE-000041 高压油管 规格：DN32；等级：4SH；PIPE-000135 高压油管 公称直径：50；PIPE-000136 高压油管接头 公称直径：50；类型：接头；PIPE-000182 高压油管 公称直径：80；PIPE-000220 油管快速接头 规格：52；类型：快速接头；PIPE-000221 油管快速接头 规格：45；类型：快速接头	覆盖集中，且属于典型实物族名。
直通	直通	可优先固化为物料族	high	18	11	2	是	管材管件阀门/直接:12；液压气动/气动接头:6	气动接头；直接/接头	PPR内牙直通；PPR外接直通；PPR外牙直通；PPR直通；PVC直通；UPVC直通；不锈钢直通快插接头；内丝直通；气管直通接头；直通；镀锌直通	PIPE-000002 PPR直通 品牌：公元；规格：25；类型：直通；PIPE-000009 PPR内牙直通 品牌：公元；规格：PPR25*4分；连接：内牙；类型：直通；PIPE-000067 PVC直通 品牌：公元；规格：75；材质：PVC；PIPE-000070 UPVC直通 规格：32；材质：UPVC；类型：直通；PIPE-000084 PPR外牙直通 品牌：公元；规格：25；材质：PPR；连接：外牙；类型：直通；PIPE-000097 直通 品牌：公元；规格：110；类型：直通；PIPE-000117 PPR直通 品牌：公元；规格：25；材质：PPR；PIPE-000141 镀锌直通 公称直径：50；表面：镀锌	覆盖集中，且属于典型实物族名。
法兰	法兰	可优先固化为物料族	high	17	11	4	是	管材管件阀门/法兰:9；管材管件阀门/阀门:5；管材管件阀门/软连接:2；定制加工件/管路接头:1	定制管路接头；法兰；法兰软连接；阀门	Y型法兰过滤器；不锈钢法兰蝶阀；不锈钢电动法兰蝶阀；国标法兰；法兰；法兰垫片；法兰异径接头；法兰电动蝶阀；法兰盘；法兰胶垫；法兰软连接	PIPE-000125 法兰盘 规格：325；类型：法兰盘；SPARE-000078 法兰胶垫 规格：325；材质：胶；PIPE-000130 国标法兰 规格：DN325；压力等级：16kg；执行标准：国标；PIPE-000131 法兰垫片 规格：DN325；材质：胶；PIPE-000151 法兰 规格：325；PIPE-000160 法兰电动蝶阀 公称直径：DN50；连接：法兰；驱动：电动；PIPE-000161 法兰电动蝶阀 公称直径：DN80；连接：法兰；驱动：电动；PIPE-000166 法兰 规格：DN273	覆盖集中，且属于典型实物族名。
黄油嘴	黄油嘴	可优先固化为物料族	high	17	3	3	否	设备备件/通用机械备件:17	不锈钢黄油嘴弯头；不锈钢黄油嘴接头；黄油嘴	不锈钢黄油嘴弯头；不锈钢黄油嘴接头；黄油嘴	CHEM-000014 不锈钢黄油嘴接头 材质：不锈钢；类型：接头；CHEM-000015 不锈钢黄油嘴弯头 材质：不锈钢；类型：弯头；CHEM-000072 黄油嘴 螺纹：M10*1.5；CHEM-000073 黄油嘴 螺纹：M12*1.5；CHEM-000074 黄油嘴 螺纹：M14*1.5；CHEM-000075 黄油嘴 螺纹：M16*1.5；CHEM-000076 黄油嘴 螺纹：M18*1.5；CHEM-000077 黄油嘴 螺纹：M20*1.5	覆盖集中，且属于典型实物族名。
气管	气管	可优先固化为物料族	high	15	8	3	是	液压气动/气动接头:12；液压气动/气管:2；焊接切割/气瓶附件:1	气动接头；气管；氧气管接头	气管；气管三通接头；气管弯头接头；气管直通接头；气管自锁接头；氧气管接头；自锁气管接头公头；自锁气管接头螺母	PIPE-000172 氧气管接头 规格：8厘；适用气体：氧气；PIPE-000198 气管直通接头 规格：8厘；类型：直通；PIPE-000199 气管直通接头 规格：10厘；类型：直通；PIPE-000200 气管直通接头 规格：16厘；类型：直通；PIPE-000201 气管弯头接头 规格：8厘；类型：弯头；PIPE-000202 气管弯头接头 规格：10厘；类型：弯头；PIPE-000203 气管弯头接头 规格：16厘；类型：弯头；PIPE-000204 气管三通接头 规格：8厘；类型：三通	覆盖集中，且属于典型实物族名。
卷尺	卷尺	可优先固化为物料族	high	14	2	2	否	工具量具/测量工具:14	卷尺；钢卷尺	卷尺；钢卷尺	TOOL-000020 卷尺 品牌：得力；长度：3米；TOOL-000021 卷尺 品牌：得力；长度：5米；TOOL-000022 卷尺 品牌：得力；长度：10米；TOOL-000142 卷尺 品牌：得力；长度：5米；TOOL-000143 卷尺 品牌：得力；长度：10米；TOOL-000256 钢卷尺 品牌：雄狮；长度：100m；材质：钢；TOOL-000259 卷尺 品牌：得力；长度：10m；TOOL-000260 卷尺 品牌：得力；长度：5m	覆盖集中，且属于典型实物族名。
扎带	扎带	可优先固化为物料族	high	13	2	2	否	电气电料/电气辅材:13	尼龙扎带；扎带	尼龙扎带；扎带	ELEC-TIE-000001 扎带 规格：10*400；ELEC-TIE-000002 扎带 规格：10*500；ELEC-TIE-000003 扎带 规格：10*50；包装：200根/包；ELEC-TIE-000004 尼龙扎带 规格：10*500；包装：大包；ELEC-TIE-000005 尼龙扎带 规格：10*50cm；材质：尼龙；ELEC-TIE-000006 尼龙扎带 规格：10*40cm；材质：尼龙；ELEC-TIE-000007 尼龙扎带 规格：10*30cm；材质：尼龙；ELEC-TIE-000008 扎带 规格：8*300	覆盖集中，且属于典型实物族名。
油布	油布	可优先固化为物料族	high	12	2	2	否	包装覆盖周转/覆盖材料:12	加厚油布；油布	加厚油布；油布	SAFE-000034 油布 特征：加厚；SAFE-000051 油布 类型：油布；SAFE-000056 油布 特征：加厚；SAFE-000069 油布 特征：加厚；SAFE-000084 油布 品类：油布；MAT-000166 加厚油布 尺寸：12米*12米；特征：加厚；MAT-000167 加厚油布 尺寸：10米*8米；特征：加厚；MAT-000173 油布 尺寸：4米*6米	覆盖集中，且属于典型实物族名。
垃圾袋	垃圾袋	可优先固化为物料族	high	11	1	1	否	清洁办公后勤/清洁耗材:11	垃圾袋	垃圾袋	ADMIN-000005 垃圾袋 规格：大；ADMIN-000008 垃圾袋 规格：120*140；特征：厚；ADMIN-000020 垃圾袋 规格：大号；ADMIN-000032 垃圾袋 规格：待补；每包数量：待补；ADMIN-000034 垃圾袋 规格：100*120；ADMIN-000040 垃圾袋 规格：待补；ADMIN-000046 垃圾袋 规格：120；ADMIN-000055 垃圾袋 尺寸：1.2m*1.4m	覆盖集中，且属于典型实物族名。
挂锁	挂锁	可优先固化为物料族	high	11	3	1	否	清洁办公后勤/门窗五金:11	挂锁	不锈钢挂锁；挂锁；铜挂锁	HW-LOCK-000002 挂锁 材质：不锈钢；规格：50；HW-LOCK-000004 挂锁 材质：不锈钢；规格：40；HW-LOCK-000005 挂锁 材质：铜；HW-LOCK-000006 挂锁 材质：不锈钢；规格：40；品质：好；HW-LOCK-000007 挂锁 材质：不锈钢；规格：40；品质：好；类型：通用；HW-LOCK-000010 铜挂锁 材质：铜；HW-LOCK-000011 挂锁 材质：铜；钥匙类型：通开；HW-LOCK-000012 不锈钢挂锁 规格：40；材质：不锈钢；类型：通用挂锁	覆盖集中，且属于典型实物族名。
焊条	焊条	可优先固化为物料族	high	11	3	3	否	焊接切割/焊接耗材:11	不锈钢焊条；焊条；碳钢焊条	不锈钢焊条；焊条；碳钢焊条	WELD-000004 焊条 型号：507；直径：3.2；WELD-000011 焊条 直径：3.2；WELD-000012 焊条 直径：5.0；WELD-000013 焊条 直径：4.0；WELD-000037 焊条 直径：2.5mm；包装重量：20kg；WELD-000038 焊条 直径：3.2mm；包装重量：20kg；WELD-000044 焊条 直径：3.2mm；WELD-000051 焊条 品牌：大西洋；牌号：422；直径：2.5	覆盖集中，且属于典型实物族名。
合页	合页	可优先固化为物料族	high	10	4	4	否	清洁办公后勤/门窗五金:10	不锈钢合页；加厚铁合页；合页；铁合页	不锈钢合页；加厚铁合页；合页；铁合页	METAL-000001 不锈钢合页 材质：不锈钢；规格：4寸；SPARE-000005 合页 材质：不锈钢；规格：4寸；特征：加厚；METAL-000008 不锈钢合页 材质：不锈钢；规格：6寸；METAL-000009 不锈钢合页 材质：不锈钢；规格：5寸；SPARE-000012 加厚铁合页 材质：铁；规格：4寸；特征：加厚；SPARE-000013 加厚铁合页 材质：铁；规格：5寸；特征：加厚；METAL-000053 不锈钢合页 规格：110；材质：不锈钢；METAL-000088 铁合页 规格：6；材质：铁；工艺：焊接	覆盖集中，且属于典型实物族名。
电线	电线	可优先固化为物料族	high	10	4	4	否	电气电料/电线电缆:8；电气电料/电气辅材:2	BV电线；电线；电线扎丝；镀锌电线架	BV电线；电线；电线扎丝；镀锌电线架	ELEC-000015 BV电线 品牌：起帆；型号：BV；截面积：2.5平方；ELEC-000016 BV电线 品牌：起帆；型号：BV；截面积：10平方；ELEC-000017 BV电线 品牌：起帆；型号：BV；截面积：25平方；ELEC-000022 镀锌电线架 材质：镀锌；位数：4位；ELEC-000034 BV电线 型号：BV；截面积：2.5平方；ELEC-000057 电线 品牌：起帆；截面积：4平方；ELEC-000101 电线 品牌：起帆；截面积：1.5平方；ELEC-000122 电线 品牌：起帆；截面积：16mm2	覆盖集中，且属于典型实物族名。
防锈漆	防锈漆	可优先固化为物料族	high	10	1	1	否	化工胶粘涂料/涂料:10	防锈漆	防锈漆	CHEM-000011 防锈漆 颜色：铁红；类型：防锈漆；CHEM-000102 防锈漆 品牌：立邦；颜色：白色；包装：18KG；CHEM-000108 防锈漆 品牌：立邦；颜色：桔黄色；包装：18kg；CHEM-000110 防锈漆 品牌：立邦；颜色：深黄；包装：18KG；CHEM-000111 防锈漆 品牌：立邦；颜色：黑色；包装：18KG；CHEM-000112 防锈漆 品牌：立邦；颜色：大红；包装：18KG；CHEM-000113 防锈漆 品牌：立邦；颜色：淡黄灰；包装：18KG；CHEM-000114 防锈漆 品牌：立邦；颜色：桔红；包装：18KG	覆盖集中，且属于典型实物族名。
接线端子	接线端子	可优先固化为物料族	high	9	3	3	否	电气电料/接线端子:9	接线端子；管型接线端子；铜接线端子	接线端子；管型接线端子；铜接线端子	ELEC-000102 铜接线端子 截面积：4平方；材质：铜；ELEC-000103 铜接线端子 截面积：6平方；材质：铜；ELEC-000142 接线端子 适配线径：50mm2；ELEC-000174 铜接线端子 材质：铜；额定电流：100A；ELEC-000180 接线端子 型号：UK5N；ELEC-000187 接线端子 型号：UK5N；颜色：黄绿色；ELEC-000205 管型接线端子 类型：管型；适配线径：2.5平方；ELEC-000207 管型接线端子 类型：管型；适配线径：4平方	覆盖集中，且属于典型实物族名。
断路器	断路器	可优先固化为物料族	high	9	3	3	否	电气电料/低压电器:9	塑壳断路器；断路器；漏电断路器	塑壳断路器；断路器；漏电断路器	ELEC-000001 漏电断路器 品牌：施耐德；极数：4P；电流：250A；类型：漏电二合一；ELEC-000063 漏电断路器 品牌：施耐德；极数：2P；电流：C40A；ELEC-000088 漏电断路器 品牌：施耐德；电流：400A；ELEC-000100 漏电断路器 品牌：施耐德；极数：2P；电流：63A；ELEC-000111 漏电断路器 品牌：施耐德；极数：3P；电流：250A；ELEC-000126 漏电断路器 品牌：施耐德；极数：2P；额定电流：40A；ELEC-000150 断路器 品牌：施耐德；额定电流：250A；极数：3P；ELEC-000183 断路器 品牌：德力西；极数：2P；额定电流：10A	覆盖集中，且属于典型实物族名。
水龙头	水龙头	可优先固化为物料族	high	8	5	5	否	管材管件阀门/水暖五金:8	不锈钢水龙头；冷热水龙头；按压水龙头；水龙头；水龙头花洒套装	不锈钢水龙头；冷热水龙头；按压水龙头；水龙头；水龙头花洒套装	MAT-000005 水龙头花洒套装 组合：水龙头+花洒；MAT-000006 水龙头 规格：未注明；MAT-000007 水龙头 类型：大弯；MAT-000008 水龙头 规格：4分；类型：冷热；MAT-000012 按压水龙头 类型：按压；MAT-000015 冷热水龙头 规格：4分；类型：冷热；METAL-000050 不锈钢水龙头 材质：不锈钢；类型：水龙头；METAL-000117 不锈钢水龙头 材质：不锈钢；类型：水龙头	覆盖集中，且属于典型实物族名。
吊带	吊带	可优先固化为物料族	high	7	1	1	否	吊装索具/吊带:7	吊带	吊带	MAT-000016 吊带 载荷：2T；长度：1.5米；MAT-000034 吊带 载荷：5T；长度：6米；MAT-000035 吊带 载荷：5T；长度：3米；MAT-000036 吊带 载荷：3T；长度：3米；MAT-000042 吊带 载荷：5T；长度：8米；MAT-000066 吊带 载荷：5吨；长度：6m；MAT-000067 吊带 载荷：20T；长度：6米	覆盖集中，且属于典型实物族名。
插销	插销	可优先固化为物料族	high	7	3	3	否	清洁办公后勤/门窗五金:7	插销；门插销；门板插销	插销；门插销；门板插销	SPARE-000002 插销 材质：不锈钢；SPARE-000003 插销 材质：不锈钢；功能：带锁；SPARE-000004 插销 规格：4寸；SPARE-000007 插销 材质：不锈钢；MAT-000202 插销 规格：300；类型：插销；METAL-000128 门插销 材质：不锈钢；用途：门；类型：插销；CONST-000041 门板插销 材质：不锈钢；用途：门板；类型：插销	覆盖集中，且属于典型实物族名。
灯泡	灯泡	可优先固化为物料族	high	7	1	1	否	电气电料/照明灯具:7	LED灯泡	LED灯泡	ELEC-000014 LED灯泡 品牌：公牛；功率：40W；ELEC-000044 LED灯泡 品牌：公牛；功率：20W；ELEC-000130 LED灯泡 功率：40W；类型：LED；ELEC-000138 LED灯泡 功率：50W；类型：LED；ELEC-000168 LED灯泡 品牌：飞利浦；功率：40W；ELEC-000169 LED灯泡 品牌：飞利浦；功率：50W；ELEC-000236 LED灯泡 类型：LED；功率：30W；接口：螺口	覆盖集中，且属于典型实物族名。
密封胶	密封胶	可优先固化为物料族	high	6	5	5	否	化工胶粘涂料/密封材料:6	588密封胶；密封胶；液态密封胶；管片密封胶；聚氨酯密封胶	588密封胶；密封胶；液态密封胶；管片密封胶；聚氨酯密封胶	CHEM-000026 588密封胶 型号：588；CHEM-000082 管片密封胶 用途：管片密封；CHEM-000094 聚氨酯密封胶 品牌：普赛达；容量：600mL；CHEM-000096 聚氨酯密封胶 品牌：普赛达；材料：聚氨酯；CHEM-000097 密封胶 品牌：普赛达；CHEM-000139 液态密封胶 品牌：三和；类型：液态密封胶	覆盖集中，且属于典型实物族名。
编织袋	编织袋	可优先固化为物料族	high	6	1	1	否	包装覆盖周转/包装袋:6	编织袋	编织袋	MAT-000038 编织袋 类型：编织袋；MAT-000050 编织袋 规格：大号；MAT-000053 编织袋 规格：小号；MAT-000110 编织袋 规格：待补；MAT-000222 编织袋 规格：大号；类型：编织袋；MAT-000227 编织袋 尺寸：0.8m*1.2m	覆盖集中，且属于典型实物族名。
胶水	胶水	可优先固化为物料族	high	6	5	4	是	化工胶粘涂料/胶粘剂:4；管材管件阀门/管材:2	502胶水；PVC胶水；管材；胶水	502胶水；PVC胶水；橡胶水带；胶水；高压胶水带	CHEM-000003 502胶水 类型：502；CHEM-000045 胶水 型号：101；PIPE-000219 橡胶水带 规格：50；材质：橡胶；特征：加厚；PIPE-000304 高压胶水带 规格：65；颜色：蓝色；特征：加厚；CHEM-000098 PVC胶水 品牌：公元；包装：1KG；用途：PVC粘接；CHEM-000153 PVC胶水 用途：PVC粘接	覆盖集中，且属于典型实物族名。
割嘴	割嘴	可优先固化为物料族	high	5	4	4	否	焊接切割/切割耗材:5	乙炔割嘴；切割嘴；割嘴；等离子割嘴	乙炔割嘴；切割嘴；割嘴；等离子割嘴	WELD-000003 等离子割嘴 型号：P80；类型：割嘴；WELD-000006 割嘴 规格：30号；WELD-000019 切割嘴 规格：100型；WELD-000031 乙炔割嘴 适用气体：乙炔；类型：割嘴；WELD-000065 割嘴 型号：G01-100；规格：2号	覆盖集中，且属于典型实物族名。
葫芦	葫芦	可优先固化为物料族	high	5	2	2	否	吊装索具/葫芦:5	手扳葫芦；手拉葫芦	手扳葫芦；手拉葫芦	MAT-000090 手扳葫芦 额定载荷：2T；链长：6米；MAT-000105 手扳葫芦 额定载荷：1.6T；链长：6米；MAT-000113 手拉葫芦 品牌/标识：三角；额定载荷：1T；链长：6米；MAT-000114 手拉葫芦 品牌/标识：三角；额定载荷：2T；链长：6米；MAT-000133 手拉葫芦 额定载荷：2T；链长：3米	覆盖集中，且属于典型实物族名。
门锁	门锁	可优先固化为物料族	high	5	3	2	是	清洁办公后勤/门窗五金:4；电气电料/电气辅材:1	电箱锁；门锁	电箱门锁；门锁；防盗门锁	HW-LOCK-000001 门锁 用途：办公室门；HW-LOCK-000008 门锁 用途：大门；HW-LOCK-000009 防盗门锁 材质：不锈钢；用途：防盗门；ELEC-000121 电箱门锁 规格/型号：325；用途：电箱门；HW-LOCK-000016 门锁 材质：铝合金；适配对象：断桥铝门；类型：门锁	覆盖集中，且属于典型实物族名。
口罩	口罩	可优先固化为物料族	high	4	3	3	否	劳保防护/呼吸防护:4	一次性口罩；棉口罩；棉纱口罩	一次性口罩；棉口罩；棉纱口罩	SAFE-000013 一次性口罩 类型：一次性；SAFE-000102 棉纱口罩 材质：棉纱；类型：口罩；SAFE-000103 一次性口罩 类型：一次性口罩；SAFE-000106 棉口罩 材质：棉；类型：口罩	覆盖集中，且属于典型实物族名。
止回阀	止回阀	可优先固化为物料族	high	4	3	1	否	管材管件阀门/阀门:4	阀门	PVC止回阀；止回阀；铜止回阀	PIPE-000030 铜止回阀 品牌：埃美柯；材质：铜；规格：32；类型：止回阀；PIPE-000036 铜止回阀 品牌：埃美柯；材质：铜；规格：25；类型：止回阀；PIPE-000341 止回阀 材质：304；公称通径：DN25；PIPE-000467 PVC止回阀 品牌：公元；材质：PVC；直径：Φ100；类型：止回阀	覆盖集中，且属于典型实物族名。
液压接头	液压接头	可人工复核为物料族	medium	73	40	1	否	液压气动/液压接头:73	液压接头	三通接头；不锈钢加长弯头；不锈钢加长接头；不锈钢卡套三通；不锈钢卡套接头；不锈钢卡扣接头；两半扣；八字扣头；加厚铜接头；加厚铝合金扣；变径对丝接头；变径接头	METAL-000017 不锈钢卡扣接头 规格：DN6*6；材质：不锈钢；METAL-000018 不锈钢卡扣接头 规格：DN6*10；材质：不锈钢；METAL-000019 不锈钢加长接头 规格：8*6；材质：不锈钢；特征：加长；PIPE-000045 不锈钢加长弯头 规格：8*6；材质：不锈钢；特征：加长；类型：弯头；METAL-000020 不锈钢卡套接头 规格：6*8；材质：不锈钢；METAL-000021 不锈钢卡套接头 规格：6*12；材质：不锈钢；PIPE-000050 不锈钢卡套三通 规格：6*12；材质：不锈钢；类型：三通；PIPE-000136 高压油管接头 公称直径：50；类型：接头	覆盖数量较多且分类集中。
直接/接头	直接/接头	可人工复核为物料族	medium	64	39	1	否	管材管件阀门/直接:56；管材管件阀门/异径接头:8	直接/接头	PPR内牙直通；PPR外接直通；PPR外牙直通；PPR异径直接；PPR接头；PPR热熔接头；PPR直接；PPR直通；PVC直接；PVC直通；UPVC异径接头；UPVC直接	PIPE-000002 PPR直通 品牌：公元；规格：25；类型：直通；PIPE-000009 PPR内牙直通 品牌：公元；规格：PPR25*4分；连接：内牙；类型：直通；PIPE-000016 PPR异径直接 规格：32*25；类型：大小头/异径；PIPE-000020 排水异径补心 品牌：公元；规格：75*50；类型：补心/异径；PIPE-000031 不锈钢内接 材质：不锈钢；规格：4分；连接：内接；PIPE-000032 不锈钢外接 材质：不锈钢；规格：4分；连接：外接；PIPE-000067 PVC直通 品牌：公元；规格：75；材质：PVC；PIPE-000070 UPVC直通 规格：32；材质：UPVC；类型：直通	覆盖数量较多且分类集中。
