group_id	item_name	old_groups	sku_count	suggested_category	suggested_subcategory	needs_split	split_basis	confidence	reason
IMG-0335	吹尘枪	工具/气动工具	1	电动气动工具	气动工具	no		high	吹尘枪是气动工具。
IMG-0336	喷壶	行政后勤/清洁用品	2	清洁办公后勤	清洁工具	no		high	喷壶常用于清洁喷洒，容量差异不拆分。
IMG-0337	喷漆	化工耗材/涂料	2	化工胶粘涂料	涂料	no		high	自喷漆属涂料，颜色为规格属性。
IMG-0338	喷火枪	工具/焊割工具；工具/燃气工具	2	焊接切割	焊割工具	no		high	喷火枪用于火焰加热/焊割，旧工具口径需归焊割。
IMG-0339	噪音计	工具器具/检测仪器	1	工具量具	检测仪器	no		high	噪音计用于检测测量。
IMG-0340	四位开关	电气材料/插座开关	1	电气电料	开关按钮	no		high	四位开关属开关按钮类电料。
IMG-0341	四氟垫片	定制件/密封垫片；密封材料/四氟制品	2	化工胶粘涂料	密封材料	no		medium	四氟垫片用于密封，定制尺寸不改变密封材料属性。
IMG-0342	固定扳手	工具/手动工具	1	工具量具	手动工具	no		high	扳手属手动工具。
IMG-0343	国标法兰	管件/法兰	1	管材管件阀门	法兰	no		high	法兰属管件法兰类。
IMG-0344	圆头螺丝套件	紧固件/螺丝套件	1	紧固件与连接件	螺丝	no		high	圆头螺丝及垫片套装按主体螺丝归类。
IMG-0345	圆珠笔	办公用品/书写工具	1	清洁办公后勤	办公用品	no		high	圆珠笔为办公用品。
IMG-0346	土工布	建筑材料/土工材料	1	建筑材料	覆盖防护材料	no		medium	土工布用于土建覆盖隔离防护，归覆盖防护材料。
IMG-0347	地坪漆底漆	化工耗材/涂料	2	化工胶粘涂料	涂料	no		high	地坪漆底漆属涂料。
IMG-0348	地坪漆底漆固化剂	化工耗材/涂料辅料	1	化工胶粘涂料	涂料	no		high	固化剂是地坪漆配套涂料辅料，按涂料归口。
IMG-0349	地坪漆面漆固化剂	化工耗材/涂料辅料	1	化工胶粘涂料	涂料	no		high	面漆固化剂是地坪漆配套涂料辅料。
IMG-0350	地板胶	装修材料/地面材料	1	建筑材料	装饰材料	no		high	PVC地板胶是地面装饰材料，不是胶粘剂。
IMG-0351	地毯刷	清洁工具/刷子	1	清洁办公后勤	清洁工具	no		high	地毯刷用于清洁作业。
IMG-0352	地线	电气材料/电线电缆	1	电气电料	电线电缆	no		high	地线属电线电缆。
IMG-0353	地线夹	焊接工具/焊机配件	1	焊接切割	焊割工具	no		high	焊机地线夹属焊接工具配件。
IMG-0354	垃圾夹	清洁用品/清洁工具	1	清洁办公后勤	清洁工具	no		high	垃圾夹为清洁拾取工具。
IMG-0355	垃圾桶	劳保耗材/清洁工具；行政后勤/清洁用品	5	清洁办公后勤	清洁工具	no		high	垃圾桶用于现场清洁收集，容量配置为规格。
IMG-0356	垃圾袋	劳保耗材/清洁用品；清洁用品/垃圾袋；行政后勤/清洁用品	11	清洁办公后勤	清洁耗材	no		high	垃圾袋是清洁消耗品，旧劳保耗材错误。
IMG-0357	垫片	加工件/金属加工件；定制件/金属加工件；紧固件/垫圈	6	紧固件与连接件	垫圈	yes	按是否定制/用途拆分	medium	标准螺栓垫圈与加工金属垫片混在一起。
IMG-0358	堵头	定制件/管路接头；工程材料/管件	3	管材管件阀门	堵头	no		medium	堵头属管件封堵件；推荐无对应二级，按堵头新建。
IMG-0359	堵漏王	建材/堵漏材料	1	建筑材料	防水材料	no		high	堵漏王用于堵漏防水，旧建材口径过宽。
IMG-0360	塑壳断路器	电气/断路器	1	电气电料	低压电器	no		high	塑壳断路器属低压电器。
IMG-0361	塑料凳	行政后勤/家具用品；行政后勤/生活用品	2	清洁办公后勤	生活用品	no		high	塑料凳为后勤生活用品。
IMG-0362	塑料扫把	清洁用品/扫把	1	清洁办公后勤	清洁工具	no		high	扫把为清洁工具。
IMG-0363	塑料方凳	办公生活用品/家具；行政后勤/生活用品	2	清洁办公后勤	生活用品	no		high	塑料方凳为后勤生活用品。
IMG-0364	塑料焊枪	工具/焊接工具	1	焊接切割	焊割工具	no		high	塑料焊枪属焊接工具。
IMG-0365	塑料箱	行政后勤/收纳用品	1	包装覆盖周转	周转容器	no		medium	塑料箱本质为收纳周转容器，旧行政后勤按实物归类。
IMG-0366	塞尺	工具器具/测量工具	1	工具量具	测量工具	no		high	塞尺为测量工具。
IMG-0367	墙布	装修材料/墙面材料	1	建筑材料	装饰材料	no		high	墙布是墙面装饰材料。
IMG-0368	墙纸	建筑装饰材料/墙纸；装修材料/墙面材料	2	建筑材料	装饰材料	no		high	墙纸为墙面装饰材料。
IMG-0369	墨斗	工具/测量放线工具	1	工具量具	测量工具	no		high	墨斗用于施工放线测量。
IMG-0370	复合吸油棉	清洁耗材/吸油棉	1	清洁办公后勤	清洁耗材	no		high	复合吸油棉用于吸油清洁。
IMG-0371	外丝接头	定制件/管路接头	3	定制加工件	管路接头	no		high	外丝接头均为加工/定做管路接头。
IMG-0372	外墙漆	化工耗材/涂料	1	化工胶粘涂料	涂料	no		high	外墙漆属涂料。
IMG-0373	外接头	工程材料/管件	1	管材管件阀门	直接	no		high	外接头为管路连接件，归直接类。
IMG-0374	多功能剥线钳	工具器具/手动工具	1	工具量具	电工工具	no		high	剥线钳是电工手动工具。
IMG-0375	多功能打印机	行政后勤/办公设备	1	清洁办公后勤	办公用品	no		medium	打印机为办公后勤设备，按办公用品归口。
IMG-0376	多层实木板	木材板材/实木板	1	建筑材料	模板木方	no		high	多层实木板属施工木板材。
IMG-0377	多点黄油泵	润滑系统/油脂泵	1	施工机具设备	泵类设备	no		medium	黄油泵是润滑加注设备，不是润滑剂本身。
IMG-0378	大开口活动扳手	工具/手动工具	1	工具量具	手动工具	no		high	活动扳手属手动工具。
IMG-0379	太阳能4G摄像头	电气材料/安防监控	1	弱电安防	监控设备	no		high	摄像头属弱电监控设备，旧电气材料过宽。
IMG-0380	太阳能4G监控套装	弱电安防/监控设备	1	弱电安防	监控设备	no		high	太阳能4G监控套装归监控设备。
IMG-0381	太阳能LED灯	电气材料/照明	1	电气电料	照明灯具	no		high	LED灯属照明灯具，供电方式为规格特征。
IMG-0382	太阳能爆闪灯	安全防护/警示灯	1	安全消防	警示标识	no		high	爆闪灯用于现场安全警示。
IMG-0383	头盔式面罩	劳保耗材/眼面防护	1	劳保防护	眼面防护	no		high	头盔式面罩是眼面防护用品。
IMG-0384	夹板加工件	定制件/金属加工件	1	定制加工件	金属加工件	no		high	按尺寸加工的金属夹板。
IMG-0385	套筒	工具/套筒	1	工具量具	手动工具	no		high	套筒属手动工具。
IMG-0386	安全带	安全防护/安全带	1	劳保防护	高处防护	no		high	全身式安全带为人员高处防护用品。
IMG-0387	安全帽一字带	劳保耗材/头部防护配件	1	劳保防护	头部防护	no		high	安全帽一字带是头部防护配件。
IMG-0388	安全绳	劳保耗材/坠落防护；安全防护/安全绳	6	劳保防护	高处防护	no		medium	样例含五点式双钩和安全绳，按人员坠落防护归口。
IMG-0389	安全网	安全防护/防护网	3	安全消防	防护网	no		high	安全网为现场防护设施。
IMG-0390	安全防护网	安全防护/防护网	1	安全消防	防护网	no		high	安全防护网归现场防护网。
IMG-0391	定制接头	定制件/管路接头	1	定制加工件	管路接头	no		high	按尺寸加工的管路接头。
IMG-0392	定制橡胶垫	定制件/橡胶加工件	1	定制加工件	图纸件	no		medium	定做橡胶垫属非标加工件，按图纸件归口。
IMG-0393	定制电箱	定制件/配电箱	1	电气电料	电气箱柜	no		medium	定制电箱本质为电气箱柜；推荐无对应二级，按电气箱柜新建。
IMG-0394	定制钢板	定制件/金属加工件	2	定制加工件	金属加工件	no		high	按尺寸加工的钢板属金属加工件。
IMG-0395	定制铝合金梯子	定制件/工具治具	1	工具量具	手动工具	no		medium	梯子是现场作业工具，定制不改变工具属性。
IMG-0396	定制集装袋	定制件/包装袋	1	包装覆盖周转	包装袋	no		high	定制吨袋/集装袋本质仍是包装袋。
IMG-0397	定向轮	五金备件/脚轮	2	设备备件	通用机械备件	no		high	定向脚轮是设备或车架替换备件。
IMG-0398	宝塔钻头开孔器	工具/钻头	1	工具耗材	钻头	no		high	宝塔钻头和开孔器为钻削耗材。
IMG-0399	实木方桌	行政后勤/家具用品	1	清洁办公后勤	生活用品	no		high	方桌为后勤生活/办公家具用品。
IMG-0400	室外照明灯	电气材料/照明	1	电气电料	照明灯具	no		high	室外照明灯属照明灯具。
IMG-0401	密封胶	化工耗材/密封胶	1	化工胶粘涂料	密封材料	no		high	密封胶属密封材料。
IMG-0402	密目安全网	安全防护/防护网	1	安全消防	防护网	no		high	密目安全网为现场防护网。
IMG-0403	对丝接头	液压/高压管路	4	液压气动	液压接头	no		high	对丝接头用于高压液压管路连接。
IMG-0404	对讲机	电气材料/通讯设备；通信设备/对讲机；通讯设备/对讲机	3	弱电安防	通讯设备	no		medium	对讲机属弱电通信设备；推荐无对应二级，按通讯设备新建。
IMG-0405	导流罩	设备备件/搅拌机配件	1	设备备件	搅拌机备件	no		high	导流罩为搅拌机适配备件。
IMG-0406	导电嘴	焊接耗材/焊机配件	1	焊接切割	焊接耗材	no		high	导电嘴为二保焊易耗件。
IMG-0407	导轨五孔插座	电气材料/插头插座	1	电气电料	插头插座	no		high	导轨安装方式不改变插座属性。
IMG-0408	封箱胶带	包装材料/胶带	1	包装覆盖周转	胶带	no		high	封箱胶带用于包装封箱。
IMG-0409	小便器感应器	工程材料/洁具配件；行政后勤/卫浴配件	2	管材管件阀门	水暖五金	no		high	小便器感应器属卫浴水暖配件。
IMG-0410	小便斗	工程材料/洁具	1	管材管件阀门	水暖五金	no		high	小便斗属卫浴洁具水暖五金。
IMG-0411	小滚筒刷	工具器具/涂装工具	1	工具耗材	刷具	no		high	滚筒刷为涂装刷具耗材。
IMG-0412	尖凿	工具耗材/凿具	1	工具耗材	凿具	no		high	尖凿为电锤等工具耗材；推荐无对应二级，按凿具新建。
IMG-0413	尖嘴钳	工具/手动工具；工具器具/手动工具	4	工具量具	手动工具	no		high	尖嘴钳属手动工具。
IMG-0414	尼龙扎带	电气材料/扎带；电气耗材/扎带；辅料耗材/扎带	9	电气电料	电气辅材	no		high	尼龙扎带常作线缆绑扎辅材，规格差异不拆分。
IMG-0415	尼龙绳	吊装索具/绳索；绳索/尼龙绳	5	吊装索具	牵引捆绑	no		high	尼龙绳用于牵引捆绑，直径差异不拆分。
IMG-0416	屏蔽信号电缆	电气材料/电线电缆	1	电气电料	电线电缆	no		high	屏蔽信号电缆属电线电缆。
IMG-0417	山型卡	建筑施工耗材/模板配件	1	紧固件与连接件	卡扣	no		high	山型卡用于模板加固连接，旧建筑施工耗材过宽。
IMG-0418	工业插头	电气材料/插头插座	2	电气电料	插头插座	no		high	工业插头属插头插座类电料。
IMG-0419	工业防潮剂	化工耗材/防潮剂	1	化工胶粘涂料	防潮材料	no		medium	防潮剂为化工防潮材料；推荐无对应二级，按防潮材料新建。
IMG-0420	工字钢	钢材/型材；钢材/型钢	3	金属材料	型钢	no		high	工字钢属型钢。
IMG-0421	布手套	劳保耗材/手套	3	劳保防护	手套	no		high	布手套为劳保手部防护用品。
IMG-0422	帆布手套	劳保用品/手套；劳保耗材/手套	6	劳保防护	手套	no		high	帆布手套为劳保手套，旧劳保耗材不作分类。
IMG-0423	带灯按钮开关	电气/按钮开关	1	电气电料	开关按钮	no		high	带灯按钮开关属开关按钮类电料。
IMG-0424	带牙钢管加工件	定制件/管路接头	2	定制加工件	管路接头	no		high	带牙钢管加工后作为管路连接短节。
IMG-0425	带牙铁管加工件	定制件/钢管加工件	1	定制加工件	管路接头	no		high	带牙铁管加工件用于管路连接。
IMG-0426	带盖周转箱	容器/周转箱	1	包装覆盖周转	周转容器	no		high	带盖周转箱属周转容器。
IMG-0427	带盖方桶	容器/塑料桶	1	包装覆盖周转	周转容器	no		high	塑料方桶为周转容器，容量为规格。
IMG-0428	常闭气动阀	气动元件/阀	1	液压气动	气动阀件	no		medium	常闭气动阀属气动系统阀件；推荐无对应二级，按气动阀件新建。
IMG-0429	平光防护眼镜	劳保耗材/眼面防护	2	劳保防护	眼面防护	no		high	防护眼镜为眼面防护用品。
IMG-0430	平垫片	五金备件/紧固件	3	紧固件与连接件	垫圈	no		high	平垫片属垫圈类紧固件。
IMG-0431	床上四件套	行政后勤/生活用品	1	清洁办公后勤	生活用品	no		high	床上四件套为后勤生活用品。
IMG-0432	床品四件套	行政后勤/生活用品	1	清洁办公后勤	生活用品	no		high	床品四件套为后勤生活用品。
IMG-0433	床垫	行政后勤/生活用品	2	清洁办公后勤	生活用品	no		high	床垫为后勤生活用品。
IMG-0434	建筑模板	建筑材料/模板；建筑材料/模板木方	8	建筑材料	模板木方	no		high	建筑模板属模板木方类，颜色尺寸为规格。
IMG-0435	开关	电气材料/开关	1	电气电料	开关按钮	no		high	二位开关属开关按钮类电料。
IMG-0436	开关底盒	电气/开关插座辅材	1	电气电料	电气辅材	no		high	开关底盒是开关插座安装辅材。
IMG-0437	开关电源	电气材料/电源电器	1	电气电料	低压电器	no		high	开关电源属低压电源电器。
IMG-0438	开口/梅花扳手	工具/手动工具	3	工具量具	手动工具	no		high	开口梅花扳手属手动工具。
IMG-0439	开口梅花扳手套装	工具/手动工具	1	工具量具	工具套装	no		high	成套开口梅花扳手按工具套装归类。
IMG-0440	开口铜鼻子	电气/接线端子	4	电气电料	接线端子	no		high	开口铜鼻子属接线端子。
IMG-0441	开口销	紧固件/销	1	紧固件与连接件	销	no		medium	开口销属销类紧固件；推荐无对应二级，按销新建。
IMG-0442	异形垫片	定制件/密封垫片	1	定制加工件	图纸件	no		medium	异形垫片按尺寸定做，属非标图纸件。
IMG-0443	异径三通	工程材料/PVC管件	2	管材管件阀门	三通	no		high	异径三通属管件三通。
IMG-0444	异径接头	工程材料/PVC管件；管件/管接头	2	管材管件阀门	直接	no		high	异径接头/大小头为管路直连变径管件。
IMG-0445	弓形卸扣	吊装索具/卸扣	5	吊装索具	卸扣	no		high	弓形卸扣属卸扣，载荷差异不拆分。
IMG-0446	弹性销	紧固件/销	2	紧固件与连接件	销	no		medium	弹性销属销类紧固件；推荐无对应二级，按销新建。
IMG-0447	弹簧减压阀	阀门/减压阀	1	管材管件阀门	阀门	no		high	减压阀属阀门。
IMG-0448	弹簧垫片	五金备件/紧固件	3	紧固件与连接件	垫圈	no		high	弹簧垫片属垫圈类紧固件。
IMG-0449	弹簧式安全阀	阀门/安全阀	2	管材管件阀门	阀门	no		high	安全阀属阀门。
IMG-0450	强光手电筒	工具/照明工具	1	工具量具	手动工具	no		medium	手电筒是手持作业照明工具，不是固定照明灯具。
IMG-0451	彩条布	工程材料/篷布油布；建筑材料/防护覆盖；覆盖材料/彩条布	5	包装覆盖周转	覆盖材料	no		high	彩条布用于覆盖防护，旧工程材料过宽。
IMG-0452	彩钢板	建筑材料/彩钢板	1	建筑材料	装饰材料	no		medium	彩钢板为建筑围护/装饰板材，不按原料金属板归类。
IMG-0453	彩钢瓦	建筑材料/板材	3	建筑材料	装饰材料	no		high	彩钢瓦为建筑屋面围护板材。
IMG-0454	快硬水泥	建筑材料/水泥砂石	1	建筑材料	水泥砂石	no		high	快硬水泥属水泥材料。
IMG-0455	快速接头胶垫	密封材料/胶垫	1	化工胶粘涂料	密封材料	no		high	接头胶垫用于密封，归密封材料。
IMG-0456	快速插头	电气材料/插头插座	2	电气电料	插头插座	no		high	快速插头属插头插座类电料。
IMG-0457	快速插座	电气材料/插头插座	2	电气电料	插头插座	no		high	快速插座属插头插座类电料。
IMG-0458	急停按钮	电气材料/按钮指示	1	电气电料	开关按钮	no		high	急停按钮属开关按钮类电料。
IMG-0459	总开关	电气材料/低压电器	1	电气电料	低压电器	no		high	总开关属低压电器。
IMG-0460	感应电笔	工具/电工工具	1	工具量具	电工工具	no		high	感应电笔为电工工具。
IMG-0461	成品网线	弱电安防/网络线缆	1	弱电安防	网络材料	no		high	成品网线属网络材料。
IMG-0462	户外电箱	定制件/配电箱	1	电气电料	电气箱柜	no		medium	户外电箱本质为电气箱柜；推荐无对应二级，按电气箱柜新建。
IMG-0463	扁平吊装带	吊装索具/吊带	11	吊装索具	吊带	no		high	扁平吊装带属吊带，载荷长度差异不拆分。
IMG-0464	扁钢	原材料/型钢；钢材/型材	3	金属材料	型钢	no		high	扁钢/扁铁属型钢材料。
IMG-0465	手动液压叉车	物流搬运/叉车	1	施工机具设备	搬运设备	no		high	手动液压叉车为现场搬运设备。
IMG-0466	手扳葫芦	吊装索具/葫芦	2	吊装索具	葫芦	no		high	手扳葫芦属吊装葫芦。
IMG-0467	手拉葫芦	吊装索具/葫芦	3	吊装索具	葫芦	no		high	手拉葫芦属吊装葫芦。
IMG-0468	手持吸尘器	行政后勤/清洁设备	1	清洁办公后勤	清洁工具	no		medium	手持吸尘器用于清洁后勤，归清洁工具。
