标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
PC板	材质：PC；颜色：透明；尺寸：1m*1.5m；厚度：3mm		塑料板材/PC板	块	透明PC板1m*1.5m*3mm	A	
封箱胶带	类型：封箱带		包装材料/胶带	卷	封箱带	C	宽度/长度/颜色缺失，无法区分封箱胶带SKU
记号笔	品牌：得力；颜色：黑色		办公用品/书写工具	支	得力黑色记号笔	B	型号/粗细缺失，按品牌/颜色建候选
防锈漆	品牌：立邦；颜色：白色；包装：18KG		油漆涂料/防锈漆	桶	立邦白色防锈漆18KG；立邦白色防锈漆18kg	B	型号/适用底材缺失，需后续确认
稀释剂	品牌：立邦；包装：12KG		油漆涂料/稀释剂	桶	立邦稀释剂12KG	C	适配漆种/型号缺失，会影响稀释剂SKU区分
整理箱	尺寸：800*800*600；配置：带盖		行政后勤/收纳用品	只	整理箱带盖800*800*600	B	材质/容量缺失，需后续确认
钻头	品牌：博世；规格：M12*200		工具/钻头	支	博世钻头m12*200	C	M12语义及柄型/材质缺失，会影响钻头SKU区分
钻头	品牌：博世；规格：M14*200		工具/钻头	支	博世钻头m14*200	C	M14语义及柄型/材质缺失，会影响钻头SKU区分
角钢	规格：40*40		钢材/型钢	根	角铁40*40	C	厚度/长度/材质缺失，无法区分角钢SKU
胶管总成	螺纹/规格：36*2；层数：2层；长度：2.5米		液压/高压管路	根	胶管36*2-2层-2.5米	C	长度不同需分SKU；压力等级/接头形式缺失
胶管总成	螺纹/规格：36*2；层数：2层；长度：10米		液压/高压管路	根	胶管36*2-2层-10米	C	长度不同需分SKU；压力等级/接头形式缺失
胶管总成	螺纹/规格：36*2；层数：2层；长度：11米		液压/高压管路	根	胶管36*2-2层-11米	C	长度不同需分SKU；压力等级/接头形式缺失
胶管总成	螺纹/规格：36*2；层数：2层；长度：15米		液压/高压管路	根	胶管36*2-2层-15米	C	长度不同需分SKU；压力等级/接头形式缺失
重型管夹	规格：36；类型：重型管夹		管夹/管路固定件	只	重型管夹36	C	材质/安装孔距缺失，会影响管夹SKU区分
重型六联管夹	联数：6联；类型：重型		管夹/管路固定件	组	重型6联管夹	C	规格/材质/安装孔距缺失，无法区分管夹SKU
直角接头加工件	加工：是；规格：36*3/36*2；类型：直角接头		定制件/管路接头	只	加工直角接头36*3/36*2	C	图纸/材质/压力等级缺失，定制件需复核
变径对丝接头	规格：25*2/36*2；类型：变径对丝		液压/高压管路	只	变径对丝25*2/36*2	C	材质/压力等级/螺纹标准缺失，会影响液压接头SKU区分
胶管总成	螺纹：M20*1.5；层数：2层；长度：1米		液压/高压管路	根	胶管M20*1.5-2层-1米	C	长度不同需分SKU；压力等级/接头形式缺失
胶管总成	螺纹：M20*1.5；层数：2层；长度：0.5米		液压/高压管路	根	胶管M20*1.5-2层-0.5米	C	长度不同需分SKU；压力等级/接头形式缺失
三通接头	螺纹：20*1.5；类型：三通		液压/高压管路	只	20*1.5三通	C	材质/压力等级缺失，会影响液压接头SKU区分
对丝接头	螺纹：20*1.5；类型：对丝		液压/高压管路	只	20*1.5对丝	C	材质/压力等级缺失；与同规格对丝是否合并需确认
配电箱壳体	材质：不锈钢；安装环境：室外；尺寸：500*600*300		电气/配电箱壳体	只	不锈钢室外箱500*600*300	C	防护等级/板厚缺失，会影响室外箱SKU区分
滤芯	进口：是；尺寸：Φ160*505		设备备件/过滤器滤芯	只	进口滤芯Φ160*505	C	过滤精度/材质/适配型号缺失，无法区分滤芯SKU
搅拌机叶轮	材质：不锈钢；适配型号：QJB-960S		设备备件/搅拌机配件	只	不锈钢搅拌机叶轮QJB-960S	C	叶轮直径/厂家缺失，会影响搅拌机叶轮SKU区分
AB胶	品牌：三和；类型：AB胶		胶粘剂/结构胶	支	三和AB胶	C	容量/型号/颜色缺失，会影响AB胶SKU区分
五孔插座	品牌：德力西；类型：五孔插座		电气/插座	只	德力西五孔插座	C	额定电流/安装方式缺失，会影响插座SKU区分
自攻螺丝	规格：M4*10		紧固件/自攻螺丝	盒	M4*10自攻丝	C	每盒数量/材质/头型缺失，会影响自攻螺丝SKU区分
螺丝套件	规格：M8*20；类型：螺丝		紧固件/螺丝套件	套	M8*20螺丝	C	套包含内容/材质/强度等级缺失，无法区分套件SKU
五孔插座	品牌：德力西；安装：导轨式；类型：五孔插座		电气/插座	只	德力西带导轨五孔插座	C	额定电流/型号缺失，会影响导轨式插座SKU区分
水桶	材质：304；配置：支架；容量：1T		容器/水桶水箱	只	304支架水桶1T	C	尺寸/厚度/接口缺失，会影响水桶SKU区分
井盖	用途：污水；规格：580		建筑材料/井盖	个	污水井盖580	C	材质/承重等级/外径内径缺失，无法区分井盖SKU
监控摄像头	通信：4G；供电：太阳能；清晰度：4K；存储：30天循环		弱电安防/监控设备	套	4G太阳能探头4K30天循环	C	品牌/存储容量/是否含流量卡缺失，会影响监控设备SKU区分
自喷漆	品牌：三和；颜色：灰色		油漆涂料/自喷漆	瓶	三和灰色自喷漆	C	容量/色号缺失，会影响自喷漆SKU区分
