current_top_category	current_material_family	sku_count	target_top_category	target_second_layer_family	decision	confidence	manual_judgment	next_action	examples
液压气动	高压钢丝软管	1	液压气动	高压油管/胶管	合并	高	高压钢丝软管是高压胶管的结构描述，适合进入高压油管/胶管二级族。	合并到高压油管/胶管，第三层名称保留高压钢丝软管。	PIPE-000490 高压钢丝软管 直径：Φ25；结构：钢丝增强
液压气动	高压树脂管	1	液压气动	高压油管/胶管	合并	中	高压树脂管是高压管路软管材质/结构类型，目标表没有单独树脂管族，先归高压油管/胶管。	合并到高压油管/胶管，第三层名称保留高压树脂管，并补耐压和适用介质。	PIPE-000197 高压树脂管 规格：8厘；材质：树脂；类型：高压管
液压气动	气动电磁阀	1	液压气动	液压气动阀	合并	高	气动电磁阀明确属于气动系统控制阀，二级应归液压气动阀，电磁阀作为第三层名称。	合并到液压气动阀，补齐电压、接口规格、通径和压力范围。	PIPE-000163 气动电磁阀 类型：电磁阀；用途：气动
液压气动	气动阀	1	液压气动	液压气动阀	合并	高	气动阀是液压气动阀族下的通用阀型名称，不适合单独作为二级族。	合并到液压气动阀，第三层名称为气动阀，并补型号、执行器和接口信息。	PIPE-000190 气动阀 型号：APL-210V
液压气动	气源处理双联件	1	液压气动	液压气动阀	合并	中	气源处理双联件属于压缩空气系统处理元件，不是接头或气管；目标表把气源处理件暂纳入液压气动阀承接。	暂合并到液压气动阀；后续如气源三联件、过滤减压阀数量增加，建议拆出气源处理元件二级族。	MAT-000083 气源处理双联件 型号系列：AFC；类型：双联件
定制加工件	定制管路接头	60	定制加工件	定制管路件	保留	高	当前族多为按现场尺寸加工的加厚接头、卡箍丝牙、抱箍三通等，核心是非标管路连接件，不应机械并入标准液压接头或水暖接头。	进入第三层治理，按接头、弯头、三通、抱箍、卡箍丝牙等拆分，并保留加工要求和接口尺寸。	PIPE-000046 高压加厚接头 定制：是；规格：52；特征：加厚；PIPE-000047 卡箍丝牙接头 加工：是；规格：60；连接：一头卡箍一头丝牙；特征：加厚；PIPE-000048 双头抱箍接头 加工：是；规格：60；连接：两头抱箍；特征：加厚；PIPE-000049 三通抱箍 加工：是；长度：1.15米；特征：加厚；类型：三通抱箍
定制加工件	不锈钢名牌	3	定制加工件	定制板牌件	合并	高	不锈钢名牌是按尺寸和内容定制的铭牌类板牌件，材质不应单独形成二级族。	合并到定制板牌件，第三层名称保留名牌/铭牌，补文字内容、尺寸、材质、安装方式。	METAL-000014 不锈钢名牌 定制：是；材质：不锈钢；规格：120*60；METAL-000015 不锈钢名牌 定制：是；材质：不锈钢；规格：100*80；METAL-000016 不锈钢名牌 定制：是；材质：不锈钢；规格：30*60
定制加工件	钢筋加工件	3	定制加工件	定制结构件	合并	高	钢筋加工件是按长度加工的结构类非标件，不是标准钢筋线材采购口径。	合并到定制结构件，第三层名称为钢筋加工件，并保留钢筋规格、长度、形状。	METAL-000038 钢筋加工件 加工：是；钢筋规格：12；长度：1.6米；METAL-000039 钢筋加工件 加工：是；钢筋规格：12；长度：11.93米；METAL-000040 钢筋加工件 加工：是；钢筋规格：12；长度：12.94米
定制加工件	抱箍加工件	2	定制加工件	定制结构件	合并	高	抱箍加工件体现非标加工，不是标准管卡/抱箍成品，应归定制结构件。	合并到定制结构件，第三层名称保留抱箍加工件，补适配管径、材质和加工图纸。	PIPE-000289 抱箍加工件 加工：是；规格：3寸；类型：抱箍；PIPE-000290 抱箍加工件 加工：是；规格：2寸；类型：抱箍
定制加工件	不锈钢数字牌	2	定制加工件	定制板牌件	合并	高	数字牌属于标识牌/铭牌类定制板牌件，不锈钢是材质属性。	合并到定制板牌件，第三层名称为数字牌，补数字内容、尺寸和材质。	METAL-000026 不锈钢数字牌 定制：是；材质：不锈钢；尺寸：20cm；METAL-000072 不锈钢数字牌 材质：不锈钢；类型：数字牌
定制加工件	电箱罩	2	定制加工件	定制结构件	合并	中	电箱罩是按尺寸加工的金属防护罩，当前信息更像外罩结构件，而不是低压电器本体。	合并到定制结构件；若后续含内部电气元件，应移出到电气箱柜/控制箱候选族。	ELEC-000124 电箱罩 定制：是；尺寸：2.3*1.3*0.7；特征：加厚；ELEC-000125 电箱罩 定制：是；尺寸：1.8*1.6*0.6；特征：加厚
定制加工件	定制钢板	2	定制加工件	定制板牌件	合并	高	定制钢板是按尺寸切割加工的板件，目标表定制板牌件已包含定制钢板口径。	合并到定制板牌件，第三层名称保留定制钢板，补厚度、长宽和材质。	METAL-000056 定制钢板 定制：是；尺寸：400*1000*30mm；材质：钢板；METAL-000079 定制钢板 加工：是；尺寸：400*400*40mm；材质：钢板
定制加工件	方柱加工件	2	定制加工件	定制结构件	合并	高	方柱加工件是按截面和长度加工的结构件，符合定制结构件二级族。	合并到定制结构件，第三层名称保留方柱加工件。	SPARE-000127 方柱加工件 定制：是；截面：70mm*70mm；长度：1m；SPARE-000128 方柱加工件 定制：是；截面：70mm*70mm；长度：0.3m
定制加工件	钢管抱箍	2	定制加工件	定制结构件	合并	高	样例标明加工且适配钢管规格，属于非标抱箍结构件，不应并到标准管卡/抱箍。	合并到定制结构件，第三层名称保留钢管抱箍。	PIPE-000102 钢管抱箍 加工：是；规格：159；适用：钢管；PIPE-000103 钢管抱箍 加工：是；规格：89；适用：钢管
定制加工件	钢圈	2	定制加工件	定制结构件	合并	中	钢圈是按尺寸加工的环形结构件，当前没有证据表明是标准垫圈或密封件。	合并到定制结构件，后续按用途复核是否为垫圈、套圈或设备配件。	SPARE-000009 钢圈 材质：钢；规格：100*108*5；加工：是；SPARE-000010 钢圈 材质：钢；规格：100*110*10；加工：是
定制加工件	加厚风筒	2	定制加工件	定制管路件	合并	中	加厚风筒是按直径和长度加工的通风管路件，虽不是液体管件，但比结构件更接近管路/风道加工口径。	暂合并到定制管路件；若通风风筒数量增加，建议新增定制通风风筒候选族。	MAT-000147 加厚风筒 加工：是；直径：600；长度：20米；特征：加厚；MAT-000148 加厚风筒 加工：是；直径：600；长度：10米；特征：加厚
定制加工件	螺纹钢筋加工件	2	定制加工件	定制结构件	合并	高	螺纹钢筋加工件是钢筋按指定直径和长度加工的结构件，不应作为标准钢筋/线材二级族。	合并到定制结构件，第三层名称保留螺纹钢筋加工件。	METAL-000133 螺纹钢筋加工件 加工：是；直径：Φ20；长度：40cm；METAL-000137 螺纹钢筋加工件 加工：是；直径：Φ20；长度：60cm
定制加工件	不锈钢标志牌	1	定制加工件	定制板牌件	合并	高	标志牌是典型定制板牌件，不锈钢只是材质属性。	合并到定制板牌件，第三层名称保留标志牌。	METAL-000028 不锈钢标志牌 定制：是；材质：不锈钢
定制加工件	不锈钢窗护栏	1	定制加工件	定制结构件	合并	中	窗护栏是按用途和尺寸定制的金属结构件，不是门窗五金小件。	合并到定制结构件；若后续门窗成品类增加，可另设门窗定制件候选。	METAL-000047 不锈钢窗护栏 定制：是；材质：不锈钢；用途：窗护栏
定制加工件	不锈钢控制箱	1	定制加工件	定制结构件	复核	中	当前信息只体现不锈钢箱体定制，无法判断是否包含电气元件；若只是箱体外壳，应归定制结构件。	暂按定制结构件复核；如包含开关、接触器、控制回路，应移到电气箱柜/控制箱候选族。	METAL-000065 不锈钢控制箱 定制：是；材质：不锈钢
定制加工件	不锈钢铭牌	1	定制加工件	定制板牌件	合并	高	铭牌属于定制板牌件，不锈钢为材质属性，不应单独建族。	合并到定制板牌件，补文字内容、尺寸和安装方式。	METAL-000029 不锈钢铭牌 定制：是；尺寸：250*180；材质：不锈钢
定制加工件	冲孔不锈钢板	1	定制加工件	定制板牌件	合并	高	冲孔不锈钢板是板材按冲孔工艺定制加工，目标表定制板牌件可承接定制钢板类。	合并到定制板牌件，第三层名称保留冲孔不锈钢板。	METAL-000058 冲孔不锈钢板 尺寸：250*250*3mm；材质：不锈钢；加工：冲孔
定制加工件	定制橡胶垫	1	定制加工件	定制橡胶件（候选）	复核	中	定制橡胶垫是按尺寸定制的橡胶垫片/垫块，既不是标准紧固垫片，也不是设备备件通用密封过滤件；目标表缺定制橡胶件。	建议补充定制橡胶件候选族；若用于密封且为标准件，可复核转入设备备件密封过滤件。	CHEM-000063 定制橡胶垫 定制：是；尺寸：300*350*5mm；材质：橡胶
定制加工件	防护罩加工件	1	定制加工件	定制结构件	合并	高	防护罩加工件是按尺寸加工的保护结构件，符合定制结构件。	合并到定制结构件，第三层名称保留防护罩加工件，并补适配设备或安装位置。	SAFE-000119 防护罩加工件 定制：是；尺寸：1.2m*2.7m*0.8m
定制加工件	钢板加工件	1	定制加工件	定制板牌件	合并	高	钢板加工件是定制钢板类板件，目标表定制板牌件已覆盖。	合并到定制板牌件，补厚度、长宽、工艺和材质。	SPARE-000035 钢板加工件 加工：是；尺寸：300*270*16
定制加工件	钢板镂空字体	1	定制加工件	定制板牌件	合并	高	钢板镂空字体属于标识字牌/板牌加工件，字符内容是规格属性。	合并到定制板牌件，第三层名称为镂空字体或标识字牌。	CONST-000027 钢板镂空字体 定制：是；材质：钢板；工艺：线切割；字符：01-50
定制加工件	钢格板	1	定制加工件	定制结构件	合并	中	钢格板是按尺寸定制的承载/铺设结构件，不是普通钢板材料。	合并到定制结构件，补承载、尺寸、表面处理；若为标准商品再复核到金属材料。	SPARE-000072 钢格板 定制：是；尺寸：1.3-1.5米
定制加工件	钢焊接件	1	定制加工件	定制结构件	合并	高	钢焊接件强调焊接加工和非标尺寸，属于定制结构件。	合并到定制结构件，补图纸号、焊接工艺和材质。	SPARE-000088 钢焊接件 定制：是；尺寸：80*200；材质：钢；工艺：焊接
定制加工件	钢筋方形箍	1	定制加工件	定制结构件	合并	高	钢筋方形箍是钢筋加工成特定形状的结构件，不是原材料钢筋。	合并到定制结构件，第三层名称保留钢筋方形箍。	METAL-000041 钢筋方形箍 加工：是；钢筋规格：12；形状：方形箍
定制加工件	钢箱	1	定制加工件	定制结构件	合并	中	钢箱为加工定做的大型钢制容器/结构件，不属于包装周转箱的标准口径。	合并到定制结构件，后续补容量、承载、用途；若作为设备容器再复核候选族。	SPARE-000051 钢箱 加工定做：是；容量：4立方；材质：钢
定制加工件	钢制铭牌	1	定制加工件	定制板牌件	合并	高	铭牌是定制板牌件，钢制是材质属性。	合并到定制板牌件，第三层名称保留铭牌。	METAL-000108 钢制铭牌 定制：是；材质：钢制
定制加工件	隔环加工件	1	定制加工件	设备定制配件	合并	中	隔环通常是设备内部定位/间隔非标部件，当前以部件形式出现，较定制结构件更接近设备定制配件。	合并到设备定制配件，补适配设备、材质、内外径和图纸号。	SPARE-000118 隔环加工件 加工：是；型号/规格：2350；部件：隔环
定制加工件	刮泥板	1	定制加工件	设备定制配件	合并	高	刮泥板是设备或现场机构上的非标配件，目标表设备定制配件已列为典型示例。	合并到设备定制配件，补适配设备、材质和尺寸。	SPARE-000033 刮泥板 定制：是；类型：刮泥板
定制加工件	后备套夹子	1	定制加工件	设备定制配件	合并	中	后备套夹子以设备部件方式命名，缺少标准件特征，适合归设备定制配件。	合并到设备定制配件，补适配设备、材质、图纸号和尺寸。	SPARE-000109 后备套夹子 定制：是；部件：后备套夹子
定制加工件	货号牌	1	定制加工件	定制板牌件	合并	高	货号牌是标识用定制牌件，属于定制板牌件。	合并到定制板牌件，补标识内容、尺寸、材质。	MAT-000189 货号牌 定制：是；用途：货号标识
定制加工件	夹板加工件	1	定制加工件	定制结构件	合并	高	夹板加工件按尺寸加工，属于结构性非标件，不是标准板材。	合并到定制结构件，第三层名称保留夹板加工件。	SPARE-000036 夹板加工件 加工：是；尺寸：94*33*3
定制加工件	角钢加工件	1	定制加工件	定制结构件	合并	高	角钢加工件是型钢二次加工的结构件，不应回到金属材料型钢原材口径。	合并到定制结构件，补角钢规格、长度、加工要求。	SPARE-000133 角钢加工件 定制：是；规格：40角铁；长度：1.5米
定制加工件	拉杆销子	1	定制加工件	设备定制配件	合并	中	拉杆销子带有部件语义，当前为定制件，不能按标准销/卡簧机械合并。	合并到设备定制配件，后续若确认是标准销轴，再复核转紧固件与连接件的销/卡簧。	SPARE-000097 拉杆销子 定制：是；部件：拉杆销子
定制加工件	离心机钢板	1	定制加工件	设备定制配件	合并	高	离心机钢板明确适配具体设备，属于设备相关非标配件，而不是普通钢板/板材。	合并到设备定制配件，补离心机型号、尺寸、材质和图纸号。	METAL-000086 离心机钢板 加工：是；适用设备：离心机；材质：钢板
定制加工件	离心机滤网	1	定制加工件	设备定制配件	合并	高	离心机滤网是按设备和尺寸定制的设备配件，虽然有过滤功能，但当前非标设备属性更强。	合并到设备定制配件，补适配设备型号、网孔、材质和尺寸。	MAT-000145 离心机滤网 定制：是；适配设备：离心机；尺寸：1.4米*0.31米*0.72米
定制加工件	六联管夹加工件	1	定制加工件	定制结构件	合并	高	六联管夹加工件是非标多联管夹，和标准管卡/抱箍不同，应保留定制结构件口径。	合并到定制结构件，补联数、管径、材质和图纸号。	PIPE-000366 六联管夹加工件 加工：是；联数：六联；规格：35
定制加工件	镂空标识字牌	1	定制加工件	定制板牌件	合并	高	镂空标识字牌属于定制标识牌件，材质和镂空工艺是规格属性。	合并到定制板牌件，补字牌内容、工艺、尺寸、材质。	METAL-000120 镂空标识字牌 定制：是；材质：不锈钢；类型：标识字牌
定制加工件	铝合金窗	1	定制加工件	定制结构件	复核	中	铝合金窗是建筑门窗成品，但当前表内只有定制加工件承接，目标表没有门窗成品二级族。	暂按定制结构件复核；后续若门窗类增加，建议新增门窗定制件或建筑门窗候选族。	METAL-000046 铝合金窗 定制：是；材质：铝合金
定制加工件	铭牌	1	定制加工件	定制板牌件	合并	高	铭牌是典型定制板牌件，尺寸和内容应进入 SKU 规格。	合并到定制板牌件，第三层名称保留铭牌。	MAT-000178 铭牌 定制：是；尺寸：70*40
定制加工件	木方垫	1	定制加工件	定制结构件	复核	中	木方垫是木材加工垫块，既不是标准木方原材，也不完全符合现有金属结构件示例；但按定制加工属性可暂归结构件。	暂归定制结构件；如木制垫块持续出现，建议新增木制加工件候选族。	SPARE-000084 木方垫 加工：是；规格：100*100
定制加工件	木方垫板	1	定制加工件	定制结构件	复核	中	木方垫板是按尺寸加工的木制垫板，采购重点是加工尺寸而不是标准建筑木方。	暂归定制结构件；后续可补木制加工件候选族。	SPARE-000083 木方垫板 尺寸：200*200*1500mm；加工：是；用途：垫板
定制加工件	排烟罩	1	定制加工件	定制结构件	合并	中	排烟罩是按尺寸定制的金属罩体/风道部件，当前更适合定制结构件承接。	合并到定制结构件，补尺寸、材质、安装位置；若通风设备类增加再复核。	METAL-000162 排烟罩 定制：是；材质：不锈钢；尺寸：500*600
定制加工件	设备按钮标识贴	1	定制加工件	定制板牌件	合并	高	设备按钮标识贴是设备标识用定制标签/牌件，不是电气元件本体。	合并到定制板牌件，第三层名称为标识贴，补文字内容、材质和粘贴位置。	ELEC-000186 设备按钮标识贴 用途：设备按钮；类型：标识贴
定制加工件	水泵防护罩	1	定制加工件	设备定制配件	合并	高	水泵防护罩明确适配水泵设备，属于设备相关非标配件。	合并到设备定制配件，补适配水泵型号、尺寸、材质。	SPARE-000089 水泵防护罩 定制：是；材质：不锈钢；尺寸：60*90
定制加工件	推进泵加长弯头	1	定制加工件	定制管路件	合并	高	推进泵加长弯头是按设备口径加工的非标管路弯头，目标表定制管路件已列为示例。	合并到定制管路件，补接口、角度、长度、适配设备。	SPARE-000044 推进泵加长弯头 加工定做：是；适用设备：推进泵；规格：189；特征：加长大弯头
定制加工件	推进泵吸轮	1	定制加工件	设备定制配件	合并	高	推进泵吸轮是具体设备的非标配件，不是标准传动轮或泵整机。	合并到设备定制配件，补适配设备、材质、尺寸和图纸号。	SPARE-000074 推进泵吸轮 定制：是；适用设备：推进泵；类型：吸轮
定制加工件	无缝管加工件	1	定制加工件	定制管路件	合并	高	无缝管加工件是按规格和长度加工的管路件，不是标准金属材料钢管。	合并到定制管路件，补管径、壁厚、长度、加工端部要求。	PIPE-000126 无缝管加工件 加工：是；规格：325*12；长度：12米
定制加工件	橡胶垫块	1	定制加工件	定制橡胶件（候选）	复核	中	橡胶垫块是按尺寸加工的橡胶件，现有定制结构件示例偏金属，目标表缺橡胶加工承接族。	建议补充定制橡胶件候选族；若只是设备通用缓冲垫，也可与设备垫块候选统一。	CHEM-000057 橡胶垫块 尺寸：260*330*5mm；加工：是
定制加工件	橡胶加工件	1	定制加工件	定制橡胶件（候选）	复核	中	橡胶加工件是材料和加工属性明确的非标件，不能直接并入化工胶粘涂料或标准密封件。	建议补充定制橡胶件候选族，第三层按垫块、支座、垫片等用途拆分。	CHEM-000089 橡胶加工件 定制：是；规格：200*5；材质：橡胶
定制加工件	橡胶支座	1	定制加工件	定制橡胶件（候选）	复核	中	橡胶支座是定制橡胶承载/减振件，目标表没有对应定制橡胶件或支座族。	建议补充定制橡胶件候选族；如为标准桥梁/建筑支座，后续再移到建筑材料候选。	CHEM-000043 橡胶支座 定制：是；材质：橡胶；类型：支座
定制加工件	异形垫片	1	定制加工件	定制橡胶件（候选）	复核	中	异形垫片强调非标形状和尺寸，但当前材质缺失；可能是橡胶密封垫，也可能是金属垫片。	暂挂定制橡胶件候选并复核材质；若为金属结构垫片，转定制结构件或垫圈/垫片。	FAST-000092 异形垫片 定制：是；尺寸：330*260*5
定制加工件	长销加工件	1	定制加工件	设备定制配件	合并	中	长销加工件是非标加工销类部件，不应按标准销/卡簧直接合并。	合并到设备定制配件，补适配设备、材质、直径和长度；若标准件化再转销/卡簧。	SPARE-000093 长销加工件 加工：是；规格：20*340
定制加工件	重型管夹加工件	1	定制加工件	定制结构件	合并	高	重型管夹加工件属于非标管夹结构件，和标准管卡/抱箍应分开。	合并到定制结构件，补管径、联数、材质和加工图纸。	PIPE-000359 重型管夹加工件 加工：是；类型：重型管夹；规格：60
定制加工件	轴承钢钢套	1	定制加工件	设备定制配件	合并	中	轴承钢钢套是设备用套类非标配件，材质为轴承钢，不是普通钢材原料。	合并到设备定制配件，补内外径、长度、热处理和适配设备。	SPARE-000030 轴承钢钢套 定制：是；材质：轴承钢；特征：加厚
定制加工件	轴套	1	定制加工件	设备定制配件	合并	高	轴套是设备传动/支承部位的定制配件，当前为加工件口径。	合并到设备定制配件，补内径、外径、长度、材质和适配轴。	SPARE-000103 轴套 加工：是；部件：轴套
定制加工件	注浆机活塞	1	定制加工件	设备定制配件	合并	高	注浆机活塞明确适配具体设备，目标表设备定制配件已列为示例。	合并到设备定制配件，补注浆机型号、材质、尺寸和图纸号。	SPARE-000046 注浆机活塞 定制：是；适用设备：注浆机；类型：活塞
设备备件	黄油嘴	15	设备备件	润滑配件	合并	高	黄油嘴是润滑点注油附件，属于润滑配件下的第三层名称，不应和液压接头或气动接头混淆。	合并到润滑配件，第三层名称保留黄油嘴，补螺纹规格、角度、材质。	CHEM-000072 黄油嘴 螺纹：M10*1.5；CHEM-000073 黄油嘴 螺纹：M12*1.5；CHEM-000074 黄油嘴 螺纹：M14*1.5；CHEM-000075 黄油嘴 螺纹：M16*1.5
设备备件	传动皮带	4	设备备件	传动件	合并	高	传动皮带是典型传动件，型号是 SKU 属性。	合并到传动件，第三层名称保留传动皮带，并补型号、长度、截面和适配设备。	SPARE-000085 传动皮带 型号：BLI1753；SPARE-000094 传动皮带 型号：XPL2800；SPARE-000095 传动皮带 型号：XPL2650；SPARE-000108 传动皮带 型号：1041
设备备件	机械密封	3	设备备件	密封过滤件	合并	高	机械密封属于设备密封件，适合归密封过滤件二级族。	合并到密封过滤件，第三层名称保留机械密封，补型号、材质、适配设备。	SPARE-000101 机械密封 型号：6205；SPARE-000107 机械密封 规格：50；SPARE-000134 机械密封 材质：合金钢；型号：109-35
设备备件	万向脚轮	3	设备备件	传动件	合并	高	万向脚轮是设备/车体轮类部件，目标表传动件包含脚轮和轮类。	合并到传动件，第三层名称保留万向脚轮，并补规格、刹车配置、承载。	MAT-000181 万向脚轮 类型：万向轮；MAT-000201 万向脚轮 类型：万向脚轮；MAT-000210 万向脚轮 类型：万向轮；配置：带刹车
设备备件	叶轮	3	设备备件	传动件	合并	中	当前叶轮样例适配 QJB 搅拌机，更像设备旋转部件；目标表传动件可承接叶轮，但泵叶轮需另归泵类配件。	暂合并到传动件；后续按适配设备拆分，泵用叶轮转泵类配件，搅拌机叶轮可保留传动件或补搅拌机配件候选。	SPARE-000130 叶轮 适配型号：QJB-4/6；部件：叶轮；SPARE-000131 叶轮 适配型号：QJB-2/8；部件：叶轮；SPARE-000132 叶轮 适配型号：QJB-5/8；部件：叶轮
设备备件	电机	2	设备备件	电机/驱动件（候选）	复核	中	电机是设备驱动部件，既不是皮带轴承类传动件，也不是施工机具整机；目标表设备备件缺电机/驱动件承接族。	建议补充电机/驱动件二级候选；若只是整机设备采购，应另行复核资产口径。	SPARE-000114 电机 功率：7.5kW；SPARE-000122 电机 功率：5.5kW
设备备件	定向轮	2	设备备件	传动件	合并	高	定向轮是轮类设备备件，适合归传动件。	合并到传动件，第三层名称保留定向轮，补规格、刹车、承载。	SPARE-000062 定向轮 规格：4寸；类型：定向轮；SPARE-000063 定向轮 规格：4寸；特征：带刹车
设备备件	滤芯	2	设备备件	密封过滤件	合并	高	滤芯是典型过滤件，型号和尺寸进入 SKU。	合并到密封过滤件，第三层名称保留滤芯，补适配设备、过滤精度、尺寸。	SPARE-000091 滤芯 型号：06/08-25；SPARE-000124 滤芯 进口：是；尺寸：Φ160*505
设备备件	泥浆泵活塞	2	设备备件	泵类配件	合并	高	泥浆泵活塞明确适配泵类设备，是泵类配件而非普通设备定制件。	合并到泵类配件，第三层名称保留泥浆泵活塞，补适配型号和材质。	SPARE-000136 泥浆泵活塞 适配型号：BW-250；部件：活塞；SPARE-000137 泥浆泵活塞 适配型号：BW-150；部件：活塞
设备备件	轴承	2	设备备件	传动件	合并	高	轴承是典型传动支承件，目标表传动件已包含。	合并到传动件，第三层名称保留轴承，补品牌、型号、进口属性。	SPARE-000102 轴承 品牌：TIMKEN；型号：J90354；进口：是；SPARE-000116 轴承 品牌：SKF；型号：2315；进口：是
设备备件	注浆枪头	2	设备备件	泵类配件	合并	中	注浆枪头是注浆设备末端配件，目标表泵类配件包含枪头类；但需和普通焊割枪头区分。	合并到泵类配件，第三层名称保留注浆枪头，补适配设备和接口。	MAT-000127 注浆枪头 类型：注浆枪头；MAT-000139 注浆枪头 用途：注浆；部件：枪头
设备备件	不锈钢黄油嘴接头	1	设备备件	润滑配件	合并	高	黄油嘴接头属于润滑系统附件，不应因接头二字并入液压接头或水暖接头。	合并到润滑配件，第三层名称为黄油嘴接头，补螺纹和材质。	CHEM-000014 不锈钢黄油嘴接头 材质：不锈钢；类型：接头
设备备件	不锈钢黄油嘴弯头	1	设备备件	润滑配件	合并	高	黄油嘴弯头是润滑附件的形状类型，不是管路弯头或液压接头。	合并到润滑配件，第三层名称为黄油嘴弯头，补角度、螺纹、材质。	CHEM-000015 不锈钢黄油嘴弯头 材质：不锈钢；类型：弯头
设备备件	导流罩	1	设备备件	搅拌机配件（候选）	复核	中	导流罩适配 QJB 搅拌机，是具体设备配件；目标表没有搅拌机配件或通用设备外罩配件族。	建议补充搅拌机配件候选，或在设备备件增加其他设备配件承接族。	SPARE-000129 导流罩 适配型号：QJB-4/6；部件：导流罩
设备备件	高压枪头	1	设备备件	泵类配件	合并	中	高压枪头更像高压清洗/注浆设备末端配件，目标表泵类配件可暂承接枪头。	合并到泵类配件，后续按适配设备确认是清洗枪头还是注浆枪头。	TOOL-000147 高压枪头 特征：加长；类型：高压枪头
