current_top_category	current_material_family	sku_count	target_top_category	target_second_layer_family	decision	confidence	manual_judgment	next_action	examples
电气电料	RVVP屏蔽线	1	电气电料	电线电缆	合并	高	旧族“RVVP屏蔽线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“RVVP屏蔽线”，后续补齐型号、芯数、截面积、电压等级和长度。	ELEC-000232 RVVP屏蔽线 型号：RVVP；规格：3*1.5；特性：屏蔽
电气电料	电瓶夹线	1	电气电料	电线电缆	合并	高	旧族“电瓶夹线”样例是输配电、接地、焊接或数据传输线缆，核心属性是芯数、截面积、长度、屏蔽或用途，符合“电线电缆”。	合并到“电线电缆”，第三层保留“电瓶夹线”，后续补齐型号、芯数、截面积、电压等级和长度。	ELEC-000089 电瓶夹线 类型：电瓶夹；包含：线
电气电料	电缆防水接头	4	电气电料	电缆附件	合并	高	旧族“电缆防水接头”是电缆连接、防水或绝缘保护附件，不是线缆本体，符合二级族“电缆附件”。	合并到“电缆附件”，第三层保留“电缆防水接头”，补齐适配线径、螺纹规格、防护等级或收缩规格。	ELEC-000052 电缆防水接头 规格：M50；ELEC-000053 电缆防水接头 规格：M40；ELEC-000054 电缆防水接头 规格：M32；ELEC-000195 金属电缆防水接头 材质：金属；螺纹：M50*1.5；特性：防水
电气电料	热缩管	4	电气电料	电缆附件	合并	高	旧族“热缩管”是电缆连接、防水或绝缘保护附件，不是线缆本体，符合二级族“电缆附件”。	合并到“电缆附件”，第三层保留“热缩管”，补齐适配线径、螺纹规格、防护等级或收缩规格。	ELEC-000002 热缩管 规格：3cm；ELEC-000003 热缩管 规格：2cm；ELEC-000004 热缩管 规格：1.5cm；ELEC-000058 热缩管 规格：30
电气电料	水下连接器	1	电气电料	电缆附件	复核	中	旧族“水下连接器”是特殊环境电气连接附件，功能接近电缆连接/密封附件，但水下连接器对接口和防护等级要求更高。	暂归“电缆附件”并人工复核；若后续数量增加，建议在电气电料下新增“电气连接器/水下连接器”候选族。	ELEC-000190 水下连接器 环境：水下；结构：四电二光
电气电料	水下连接器堵头	1	电气电料	电缆附件	复核	中	旧族“水下连接器堵头”是特殊环境电气连接附件，功能接近电缆连接/密封附件，但水下连接器对接口和防护等级要求更高。	暂归“电缆附件”并人工复核；若后续数量增加，建议在电气电料下新增“电气连接器/水下连接器”候选族。	ELEC-000191 水下连接器堵头 适配：水下连接器；类型：堵头
电气电料	插座	22	电气电料	开关插座	合并	高	旧族“插座”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“插座”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000007 USB插座 品牌：公牛；USB电流：2.1A；ELEC-000010 五孔插座 品牌：公牛；类型：五孔；ELEC-000020 插座 品牌：公牛；电流：16A；ELEC-000023 空调插座 品牌：公牛；电流：16A；用途：空调
电气电料	插头	11	电气电料	开关插座	合并	高	旧族“插头”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“插头”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000018 工业插头 品牌：公牛；电压：380V；电流：25A；ELEC-000033 插头 品牌：德力西；电流：16A；ELEC-000048 插头 品牌：公牛；电流：10A；ELEC-000049 三脚插头 品牌：公牛；电流：10A；类型：三插
电气电料	插线板	6	电气电料	开关插座	合并	高	旧族“插线板”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“插线板”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000024 插排 品牌：公牛；线长：3米；孔位：8孔；ELEC-000157 拖线板 品牌：公牛；线长：3m；插位：6位；ELEC-000159 插线板 品牌：公牛；插位：6位；线长：3米；ELEC-000160 拖线板 品牌：公牛；线长：6米
电气电料	一位开关	3	电气电料	开关插座	合并	高	旧族“一位开关”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“一位开关”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000012 一位开关 品牌：公牛；位数：1位；ELEC-000062 一位开关 位数：1位；含底座：是；ELEC-000093 一位开关 品牌：公牛；位数：1位
电气电料	二位开关	1	电气电料	开关插座	合并	高	旧族“二位开关”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“二位开关”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000013 二位开关 品牌：公牛；位数：2位
电气电料	四位开关	1	电气电料	开关插座	合并	高	旧族“四位开关”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“四位开关”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000011 四位开关 品牌：公牛；位数：4位
电气电料	开关	1	电气电料	开关插座	合并	高	旧族“开关”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“开关”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000141 开关 位数：二位
电气电料	热水器开关	1	电气电料	开关插座	合并	高	旧族“热水器开关”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“热水器开关”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000146 热水器开关 用途：热水器
电气电料	底盒	3	电气电料	开关插座	合并	高	旧族“底盒”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“底盒”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000056 插座底盒 类型：插座底盒；ELEC-000107 明装底盒 安装：明装；类型：底盒；ELEC-000206 开关底盒 品牌：公牛；安装方式：明装；部件：底盒底座
电气电料	航空插头插座套装	1	电气电料	开关插座	合并	高	旧族“航空插头插座套装”是建筑或临电用开关、插头、插座、底盒或成套插接件，采购和使用口径与“开关插座”一致。	合并到“开关插座”，第三层保留“航空插头插座套装”，规格治理关注额定电流、电压、孔位、安装方式和防护等级。	ELEC-000181 航空插头插座套装 安装方式：明装；芯数：3芯；额定电流：16A
电气电料	断路器	11	电气电料	低压电器	合并	高	旧族“断路器”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“断路器”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000001 漏电断路器 品牌：施耐德；极数：4P；电流：250A；类型：漏电二合一；ELEC-000029 空气开关 品牌：施耐德；极数：3P；电流：63A；ELEC-000063 漏电断路器 品牌：施耐德；极数：2P；电流：C40A；ELEC-000082 空气开关 电流：16A
电气电料	漏电保护器	8	电气电料	低压电器	合并	高	旧族“漏电保护器”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“漏电保护器”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000028 漏电保护器 品牌：施耐德；极数：2P；电流：63A；ELEC-000045 漏电保护器 品牌：德力西；电流：400A；极数：4P；ELEC-000046 漏电保护器 品牌：德力西；电流：250A；极数：4P；ELEC-000081 漏电保护器 电流：40A；类型：漏电保护
电气电料	时控开关	3	电气电料	低压电器	合并	高	旧族“时控开关”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“时控开关”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000127 时控开关 类型：时控开关；ELEC-000178 时控开关 品牌：德力西；类型：时控开关；ELEC-000221 时控开关 品牌：施耐德；电压：220V；额定电流：10A
电气电料	按钮开关	2	电气电料	低压电器	合并	高	旧族“按钮开关”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“按钮开关”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000151 带灯按钮开关 品牌：施耐德；类型：带灯按钮开关；ELEC-000201 按钮开关 颜色：红+绿；类型：按钮开关
电气电料	交流接触器	2	电气电料	低压电器	合并	高	旧族“交流接触器”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“交流接触器”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000179 交流接触器 品牌：施耐德；系列：CJX2；线圈电压：220V；ELEC-000223 交流接触器 品牌：人民；系列/型号：CJX2-1810
电气电料	按钮指示灯	1	电气电料	低压电器	合并	高	旧族“按钮指示灯”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“按钮指示灯”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000147 启动按钮指示灯 功能：启动按钮、指示灯
电气电料	保险管	1	电气电料	低压电器	合并	高	旧族“保险管”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“保险管”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000087 保险管 电流：32A
电气电料	刀开关手柄	1	电气电料	低压电器	合并	高	旧族“刀开关手柄”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“刀开关手柄”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000156 刀开关手柄 型号：HD13；额定电流：1000A；部件：手柄
电气电料	电位器	1	电气电料	低压电器	合并	高	旧族“电位器”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“电位器”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000204 电位器 品牌：天逸；型号：LA42D；阻值：5K
电气电料	调速电位器	1	电气电料	低压电器	合并	高	旧族“调速电位器”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“调速电位器”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000200 调速电位器 品牌：施耐德；阻值：5K；用途：调速
电气电料	浮球液位开关	1	电气电料	低压电器	合并	高	旧族“浮球液位开关”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“浮球液位开关”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000230 浮球液位开关 类型：浮球开关；线长：10m
电气电料	急停按钮	1	电气电料	低压电器	合并	高	旧族“急停按钮”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“急停按钮”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000148 急停按钮 功能：急停
电气电料	继电器套装	1	电气电料	低压电器	合并	高	旧族“继电器套装”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“继电器套装”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000203 继电器套装 品牌：施耐德；电压：220V；电流：5A；配置：带底座
电气电料	接触器	1	电气电料	低压电器	合并	高	旧族“接触器”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“接触器”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000064 接触器 品牌：施耐德；用途：行车；电流：80A
电气电料	控制开关	1	电气电料	低压电器	合并	高	旧族“控制开关”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“控制开关”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	SPARE-000141 水泵自动控制开关 用途：水泵自动控制
电气电料	时间继电器	1	电气电料	低压电器	合并	高	旧族“时间继电器”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“时间继电器”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000208 时间继电器 品牌：施耐德；类型：多功能时间继电器
电气电料	温控开关	1	电气电料	低压电器	合并	高	旧族“温控开关”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“温控开关”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000185 温控开关 用途：电柜风扇；颜色：蓝色；类型：温控开关
电气电料	压力开关	1	电气电料	低压电器	合并	高	旧族“压力开关”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“压力开关”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000132 压力开关 接口：4分；类型：压力开关
电气电料	指示灯	1	电气电料	低压电器	合并	高	旧族“指示灯”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“指示灯”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000199 指示灯 安装孔径：M22；颜色：红+绿
电气电料	转换开关	1	电气电料	低压电器	合并	高	旧族“转换开关”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“转换开关”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000202 转换开关 类型：按钮转换开关
电气电料	总开关	1	电气电料	低压电器	合并	高	旧族“总开关”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“总开关”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000080 总开关 电流：100A；用途：总开关
电气电料	电箱刀闸推拉杆	1	电气电料	低压电器	合并	高	旧族“电箱刀闸推拉杆”属于低压控制、保护、指示或操作元件，使用时需要电流、电压、极数、线圈或接口参数，符合“低压电器”。	合并到“低压电器”，第三层保留“电箱刀闸推拉杆”，后续按断路器、接触器、继电器、按钮/指示件等治理关键规格。	ELEC-000209 电箱刀闸推拉杆 适配：1级电箱刀闸；部件：推拉杆
电气电料	电源转换器	3	电气电料	低压电器	合并	中	旧族“电源转换器”是电压转换或供电模块，当前目标族表没有单独电源/变压器族，先归入低压电器口径承接。	暂合并到“低压电器”，第三层保留“电源转换器”；建议后续评估是否新增“电源/变压器”二级族。	ELEC-000192 双电源转换器 电压：220V；极数：2P；电流：20A；ELEC-000193 双电源转换器 电压：24V；ELEC-000253 电源转换器 输入：24V；输出：12V；电流：2A
电气电料	变压器	1	电气电料	低压电器	合并	中	旧族“变压器”是电压转换或供电模块，当前目标族表没有单独电源/变压器族，先归入低压电器口径承接。	暂合并到“低压电器”，第三层保留“变压器”；建议后续评估是否新增“电源/变压器”二级族。	ELEC-000060 变压器 输出：24V 5A
电气电料	电源适配器	1	电气电料	低压电器	合并	中	旧族“电源适配器”是电压转换或供电模块，当前目标族表没有单独电源/变压器族，先归入低压电器口径承接。	暂合并到“低压电器”，第三层保留“电源适配器”；建议后续评估是否新增“电源/变压器”二级族。	ELEC-000074 电源适配器 输出：12V 1A
电气电料	开关电源	1	电气电料	低压电器	合并	中	旧族“开关电源”是电压转换或供电模块，当前目标族表没有单独电源/变压器族，先归入低压电器口径承接。	暂合并到“低压电器”，第三层保留“开关电源”；建议后续评估是否新增“电源/变压器”二级族。	ELEC-000079 开关电源 输出电压：36V；功率：400W
电气电料	一体式触摸屏	2	电气电料	低压电器	复核	中	旧族“一体式触摸屏”是自动化/设备控制界面，不是普通开关插座；目标表暂无自动化控制件族，低压电器可临时承接。	暂归“低压电器”并复核；建议新增或评估“自动化控制件/HMI面板”候选二级族。	ELEC-000136 一体式触摸屏 型号：TPC1570；结构：一体式；ELEC-000139 一体式触摸屏 型号：TPC1570；结构：一体式
电气电料	变频器操作面板	1	电气电料	低压电器	复核	中	旧族“变频器操作面板”是自动化/设备控制界面，不是普通开关插座；目标表暂无自动化控制件族，低压电器可临时承接。	暂归“低压电器”并复核；建议新增或评估“自动化控制件/HMI面板”候选二级族。	CONST-000025 变频器操作面板 适配设备：变频器；部件：操作面板
电气电料	灯泡	7	电气电料	照明光源	合并	高	旧族“灯泡”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“灯泡”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000014 LED灯泡 品牌：公牛；功率：40W；ELEC-000044 LED灯泡 品牌：公牛；功率：20W；ELEC-000130 LED灯泡 功率：40W；类型：LED；ELEC-000138 LED灯泡 功率：50W；类型：LED
电气电料	灯管	2	电气电料	照明光源	合并	高	旧族“灯管”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“灯管”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000006 灯管 功率：36W；ELEC-000067 LED灯管 功率：38W；类型：LED灯管
电气电料	灯座	2	电气电料	照明光源	合并	高	旧族“灯座”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“灯座”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000170 灯座 类型：灯座；ELEC-000233 灯座 规格：E27
电气电料	螺纹灯座	1	电气电料	照明光源	合并	高	旧族“螺纹灯座”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“螺纹灯座”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000161 螺纹灯座 类型：螺纹灯座
电气电料	启辉器	1	电气电料	照明光源	合并	高	旧族“启辉器”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“启辉器”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000025 启辉器 类型：启辉器
电气电料	灯头	1	电气电料	照明光源	合并	高	旧族“灯头”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“灯头”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000026 灯头 接口：螺口
电气电料	吊灯头	1	电气电料	照明光源	合并	高	旧族“吊灯头”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“吊灯头”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000131 吊灯头 类型：吊灯头
电气电料	室外照明灯	1	电气电料	照明光源	合并	高	旧族“室外照明灯”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“室外照明灯”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000128 室外照明灯 功率：200W；用途：室外
电气电料	太阳能LED灯	1	电气电料	照明光源	合并	高	旧族“太阳能LED灯”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“太阳能LED灯”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000077 太阳能LED灯 品牌：公牛；功率：80W；供电：太阳能
电气电料	LED充电头灯	1	电气电料	照明光源	合并	高	旧族“LED充电头灯”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“LED充电头灯”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000084 LED充电头灯 类型：头灯；供电：充电；光源：LED
电气电料	LED灯带	1	电气电料	照明光源	合并	高	旧族“LED灯带”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“LED灯带”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000078 LED灯带 品牌：雷士；电压：36V；灯珠：120珠
电气电料	LED防爆机床方形灯	1	电气电料	照明光源	合并	高	旧族“LED防爆机床方形灯”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“LED防爆机床方形灯”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000040 LED防爆机床方形灯 长度：1220MM；类型：LED；功能：防爆；形状：方形；用途：机床
电气电料	LED强光手电筒	1	电气电料	照明光源	合并	高	旧族“LED强光手电筒”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“LED强光手电筒”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	TOOL-000339 LED强光手电筒 供电方式：充电式；光源：LED；类型：强光
电气电料	LED探照灯	1	电气电料	照明光源	合并	高	旧族“LED探照灯”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“LED探照灯”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	TOOL-000342 LED探照灯 结构：手提式；光源：LED
电气电料	LED浴室灯	1	电气电料	照明光源	合并	高	旧族“LED浴室灯”是照明灯具、光源或灯具配件，核心规格是功率、电压、色温、接口和供电方式，符合“照明光源”。	合并到“照明光源”，第三层保留“LED浴室灯”，后续区分固定灯具、便携灯具、灯座/启辉器等名称。	ELEC-000075 LED浴室灯 功率：50W；类型：浴室灯
电气电料	LED塔灯	1	电气电料	照明光源	复核	中	旧族“LED塔灯”可能是照明塔灯，也可能是设备警示塔灯；目标照明光源可承接照明用途，但警示用途应转安全警示。	先归“照明光源”并复核用途；若确认为警示塔灯，应移到安全消防/安全警示。	ELEC-000171 LED塔灯 品牌：欧普；类型：LED塔灯；电压：380V；功率：1KW
