domain	candidate_term	decision	suggested_family	split_rule	family_attributes	include_examples	exclude_examples	priority	confidence	reason
紧固件与连接件；管材管件阀门；定制加工件	管卡	split	管卡；定制管路接头；气体软管卡箍	按用途和结构拆：PPR/PVC管卡、骑马卡、重型管卡归管卡；PE管卡箍组件或加工件归定制管路接头；气体软管卡箍归焊割气瓶附件	固定对象；材质；规格；结构；表面处理；是否定制	PPR管卡；PVC管卡；管卡；重型管卡；不锈钢骑马卡；抱箍钢卡	PE管卡箍组件；气体软管卡箍；卡槽导轨	P0	high	管卡以固定件为主，但混入定制组件和软管卡箍，需拆用途。
定制加工件；安全消防；紧固件与连接件	卡箍	split	管卡；消防管件；定制管路接头；气体软管卡箍	按系统拆：普通卡箍/管箍归管卡；消防卡箍归消防管件；卡箍接头或卡箍丝牙接头归定制管路接头；气体软管卡箍归焊割附件	系统；材质；规格；连接结构；固定对象；是否定制	卡箍；消防卡箍；卡箍接头；卡箍丝牙接头；高压卡箍双丝牙接头；气体软管卡箍	卡槽；卡套接头；电缆抱箍	P1	medium	卡箍既可能是固定件也可能是接头结构，必须看主名词和系统。
紧固件与连接件；定制加工件	抱箍	split	管卡；定制管路接头；金属加工件	按用途拆：标准固定抱箍归管卡；双头抱箍接头/三通抱箍归定制管路接头；抱箍加工件按金属加工件	材质；规格；固定对象；结构；是否定制；连接形式	抱箍；钢管抱箍；不锈钢双卡抱箍；铝合金抱箍；双头抱箍接头；三通抱箍	抱箍加工图纸；非管路夹具	P1	medium	抱箍词面不足以判断是固定件还是非标接头，需按用途拆。
管材管件阀门；液压气动；电气电料	堵头	split	堵头；液压接头；电气连接器堵头	按系统拆：PPR/镀锌/普通管路堵头归堵头；高压/液压堵头归液压接头；水下连接器堵头归电气连接器附件	系统；材质；规格；螺纹；连接方式；压力等级	PPR堵头；镀锌堵头；堵头；液压堵头；高压堵头；高压外丝堵头	水下连接器堵头；橡胶堵漏剂	P0	high	堵头跨管路封堵、液压接头和电气连接器附件，不能单族合并。
液压气动	高压堵头	solidify	液压接头	不拆；作为液压接头族内接头形式=堵头	螺纹；规格；连接方式；压力等级；材质	高压堵头；高压外丝堵头；液压堵头	PPR堵头；水下连接器堵头	P1	high	高压堵头样例集中在液压接头，作为接头形式固化更稳。
管材管件阀门	异径	attribute_only	按主物料族归属	不作为物料族；作为规格变化属性，主物料可能是直接、三通、弯头、接头或法兰	大端规格；小端规格；变径形式；连接方式	PPR异径直接；排水异径三通；异径接头；法兰异径接头	异径单独建族	P1	high	异径描述两端规格不同，本身不是独立实物族。
管材管件阀门；液压气动；定制加工件	异径接头	split	异径接头；直接/接头；液压接头；定制管路接头	按系统和连接形态拆：UPVC/镀锌/焊接异径接头归异径接头；PPR异径直接归直接/接头且属性异径；高压异径归液压接头；定制加工归定制管路接头	材质；大端规格；小端规格；连接方式；压力等级；是否定制	UPVC异径接头；焊接异径接头；镀锌异径接头；PPR异径直接；高压变径接头	异径三通；法兰垫片	P1	high	异径接头有价值，但和异径直接、三通及液压变径接头交叉。
管材管件阀门	变径	attribute_only	按主物料族归属	不作为物料族；作为规格变化或转换属性，主物料可能是接头、直接、对丝、弯头	大端规格；小端规格；变径形式；螺纹；连接方式	变径接头；内丝变径直接；不锈钢双外丝变径接头；高压外丝变径接头	变径单独建族	P1	high	变径是尺寸转换特征，不应脱离主名词建族。
管材管件阀门；液压气动；定制加工件	变径接头	split	变径接头；直接/接头；液压接头；定制管路接头	按系统拆：标准水暖变径接头归变径接头；变径直接归直接/接头；高压/液压变径归液压接头；加工定制归定制管路接头	材质；大端规格；小端规格；连接方式；螺纹；压力等级；是否定制	变径接头；焊接变径接头；不锈钢外丝变径接头；高压变径接头；高压外丝变径接头	变径开关；变径作为尺寸属性单独出现	P1	high	变径接头是管路实物，但跨标准管件、液压和定制加工场景。
管材管件阀门；液压气动；安全消防；焊接切割	快速接头	split	液压接头；消防接头；管路快速接头；焊割快速接头	按系统拆：液压/油管快接归液压接头；消防管快接归消防接头；铝合金管路快接归管路快速接头；电焊/焊机快接归焊割工具附件	系统；接头形式；规格；材质；接口标准；压力等级；密封件	液压快速接头；油管快速接头；消防管快速接头；铝合金快速接头；电焊快速接头	快速接头胶垫；快插端子	P0	high	快速接头是连接方式词，液压、消防、管路和焊机快接不可合并。
安全消防；管材管件阀门	水带	split	消防水带；橡胶水带；高压水带	按用途和管理系统拆：消防水带归安全消防；橡胶防爆/耐磨水带按消防或管材用途判；高压水带归管材/高压水管路	用途；材质；公称通径；压力等级；长度；接口形式；特性	消防水带；橡胶水带；橡胶防爆水带；防爆耐磨水带；高压水带	高压水枪；水带接头；胶水带误分	P1	medium	水带跨消防器材和普通/高压管材，需按用途拆。
管材管件阀门；液压气动	外丝	attribute_only	按主物料族归属	不作为物料族；作为连接方式/螺纹属性写入直接、接头、阀门等主族	连接方式；螺纹规格；内外丝组合	镀锌外丝直接；镀锌外丝接头；不锈钢外丝变径接头；不锈钢内外丝球阀	外丝单独建族	P1	high	外丝只是连接形式，不能作为物料族。
管材管件阀门；液压气动	内丝	attribute_only	按主物料族归属	不作为物料族；作为连接方式/螺纹属性写入直接、弯头、接头、阀门等主族	连接方式；螺纹规格；内外丝组合	内丝直接；镀锌内丝弯头；镀锌内丝直接；不锈钢内丝球阀；高压内丝接头	内丝单独建族	P1	high	内丝是接口属性，必须依附主物料族。
液压气动；管材管件阀门	对丝	split	液压接头；直接/接头	按系统拆：高压/液压对丝接头归液压接头；普通水暖对丝归直接/接头	系统；螺纹；规格；连接形式；压力等级；材质	高压对丝；高压对丝接头；液压对丝接头；对丝接头；不锈钢变径对丝	对丝螺杆；对丝作为加工描述	P1	medium	对丝是实物形态但跨液压和普通水暖，需先看系统。
液压气动；电气电料	铜接头	split	液压接头；电气接线端子	按用途拆：DN/管径/加厚铜头归管路或液压接头；平方线径/电气旧组归接线端子	用途；材质；规格；适配线径；公称通径；连接方式	加厚铜接头；DN80铜接头；DN50铜接头；铜接头150平方	铜接头单独建族	P2	medium	铜接头同时有管路铜接头和电气铜接线端子，必须按规格单位和旧组拆。
管材管件阀门；液压气动；工具耗材	宝塔	attribute_only	按主物料族归属	不作为物料族；宝塔头作为接头/阀门连接形式，宝塔钻头归工具耗材另域	连接形式；适配软管规格；材质；主物料族	转换宝塔接头；不锈钢宝塔球阀	宝塔钻头开孔器；宝塔单独建族	P2	medium	宝塔在本域是接口形态，另有钻头误命中，不能直接固化。
管材管件阀门	给水管	attribute_only	管材	不作为独立族；给水是用途，PPR/PVC/UPVC仍归管材	用途；材质；规格；压力等级；品牌	PPR给水管；PVC给水管；UPVC给水管	给水泵；给水阀门	P2	high	给水描述用途，物料族仍是管材。
管材管件阀门；定制加工件	注浆管	split	管材；直接/接头；定制管路接头	按主名词拆：注浆管本体归管材；注浆管接头归直接/接头；泥浆/注浆管接头加工件归定制管路接头	用途；规格；长度；套件组成；连接方式；是否定制	注浆管；注浆管套装；注浆管接头；泥浆管接头加工件	注浆泵；注浆泵压力表	P2	medium	注浆管本体、接头和定制泥浆管接头不应混为一族。
