domain	candidate_term	decision	suggested_family	split_rule	family_attributes	include_examples	exclude_examples	priority	confidence	reason
化工胶粘涂料	涂料	split	自喷漆；防锈漆；乳胶漆；调和油漆；普通涂料	按涂料类型/施工用途拆，不把涂料作为过宽物料族直接使用	品牌；系列；颜色；包装规格；基料；用途；环保等级	立邦涂料；内墙乳胶漆；防水乳胶漆；调和油漆	油漆滚筒；油漆笔；喷枪	P1	medium	涂料更像上位类目，规则应尽量落到具体漆种或涂料类型。
化工胶粘涂料	密封胶	solidify	密封胶		材质；型号；容量；颜色；用途；包装形式；固化方式	密封胶；588密封胶；液态密封胶；管片密封胶；聚氨酯密封胶	玻璃胶枪；生料带；法兰胶垫	P0	high	密封胶样例均为密封材料，型号、材质和用途作为族内属性。
化工胶粘涂料	玻璃胶	solidify	玻璃胶		品牌；型号；容量；颜色；材质；用途；包装形式	玻璃胶；道康宁玻璃胶；白色玻璃胶	玻璃胶枪；玻璃刮；玻璃纸	P1	high	玻璃胶是接缝密封材料，需排除施胶工具和玻璃类材料。
化工胶粘涂料	发泡胶	solidify	发泡胶		品牌；容量；阻燃等级；发泡倍率；用途；包装形式	发泡胶；高倍发泡胶；聚氨酯发泡胶	发泡剂枪；泡沫清洗剂；胶枪	P1	high	发泡胶用于填缝密封，枪具和清洗剂不是同族。
化工胶粘涂料	螺纹锁固胶	solidify	螺纹锁固胶		品牌；型号；强度；容量；颜色；适用螺纹规格	螺纹锁固胶；乐泰243螺纹锁固胶	螺纹钢；螺纹规；锁紧螺母	P1	high	螺纹锁固胶属于胶粘剂，螺纹只是适用对象属性，不能误归金属材料或工具。
化工胶粘涂料	胶水	split	胶水；PVC胶水；水带	名称明确为502/101/PVC等胶水归胶粘剂；橡胶水带、高压胶水带按水带/管材处理，不能按子串胶水命中	型号；用途；容量；品牌；适用材质；包装形式	502胶水；101胶水；PVC胶水；胶水	橡胶水带；高压胶水带；消防水带	P0	high	候选中胶水被水带误命中，规则必须先排除胶水带类词。
化工胶粘涂料	胶	split	胶水；密封胶；玻璃胶；发泡胶；螺纹锁固胶；除胶剂；地板胶	按完整品名和用途拆：粘接/密封/清洗/装饰材料分别归不同族；单字胶不直接建族	材质；用途；型号；容量；颜色；包装形式	胶水；密封胶；玻璃胶；发泡胶；螺纹锁固胶；除胶剂；地板胶	胶管；胶水带；橡胶手套；橡胶垫片	P0	high	胶是极宽词，既可表示胶粘剂也可表示橡胶材质或除胶清洗剂，必须拆分。
管材管件阀门	生料带	solidify	生料带		材质；宽度；长度；厚度；密度；颜色；包装数量	生料带；PTFE生料带；螺纹密封带	电工胶布；高压防水自粘带；封箱胶带	P1	high	生料带用于管螺纹密封，按水暖五金/密封带实物固化，不归普通胶带。
焊接切割	焊条	solidify	焊条		材质；牌号；型号；直径；包装重量；品牌；适用母材	焊条；碳钢焊条；不锈钢焊条；大西洋422焊条	焊丝；电焊钳；电焊线	P0	high	焊条样例集中在焊接耗材，材质和牌号为关键属性。
焊接切割	焊丝	solidify	焊丝		材质；牌号；直径；特性；包装重量；品牌；适用工艺	焊丝；耐磨焊丝；不锈钢焊丝；药芯焊丝	焊条；钢丝绳；扎丝	P1	high	焊丝是焊接耗材实物族，耐磨等性能不应单独成族。
焊接切割	电焊	attribute_only	不单独建族	电焊只作为用途/工艺属性；按完整名称归入电焊钳、焊工眼镜、焊工手套、电焊线等族	用途；工艺；适配电流；截面积；防护等级	电焊眼镜；电焊钳；电焊线；电焊手套	电焊	P1	high	电焊横跨工具、线缆和劳保用品，不是实物族。
劳保防护	焊工	attribute_only	不单独建族	焊工只作为人员/用途属性；焊工手套归手套，焊工眼镜归焊工眼镜或防护眼镜	用途；防护场景；防护等级；材质	焊工手套；焊工眼镜	焊工	P2	high	焊工描述使用场景，不直接回答物料是什么。
建筑材料	水泥	split	水泥；水泥砖；水泥钉	按完整实物拆：硅酸盐水泥/双快水泥/快硬水泥归水泥，水泥砖归砖砌材料，水泥钉归紧固件	类型；强度等级；品牌；包装形式；包装重量；执行标准	水泥；普通硅酸盐水泥；硅酸盐水泥；双快水泥；快硬水泥	水泥砖；水泥钉；水泥垫块	P0	high	水泥候选跨建材本体、砖和紧固钉，单按水泥子串合并会误归类。
建筑材料	硅酸盐水泥	solidify	水泥	作为水泥族的类型规则，普通硅酸盐水泥、硅酸盐水泥均归水泥	类型；强度等级；品牌；包装重量；包装形式；执行标准	硅酸盐水泥；普通硅酸盐水泥；海螺42.5水泥	水泥砖；水泥钉	P1	high	硅酸盐水泥是水泥类型，强度等级和品牌区分SKU。
金属材料	角钢/角铁	split	角钢；角钢加工件	角钢和角铁按同义词归角钢；带加工、定制、图纸尺寸成品归角钢加工件/金属加工件	规格；厚度；材质；表面处理；执行标准；长度	角钢；角铁；镀锌角钢；镀锌角铁	角钢加工件；钢筋方形箍；角阀	P0	high	角铁即角钢型材，但加工件不是原材料型钢，应按是否定制加工拆。
金属材料	槽钢	split	槽钢；定制管路接头	标准槽钢归型钢；卡槽钢圈接头等带接头/加工用途的归管路接头或定制加工件	规格；型号；材质；表面处理；执行标准；长度	槽钢；B型槽钢；国标槽钢	卡槽钢圈接头；槽钢加工件	P0	high	槽钢本身是型钢，但候选混入卡槽钢圈接头，需按完整名称排除。
金属材料	钢管	split	钢管；钢管加工件；钢管抱箍；管路接头	标准钢管/镀锌钢管/无缝钢管归钢管；带牙加工件归金属加工件；抱箍/管箍归紧固连接件；管路接头归接头	外径；壁厚；公称直径；材质；表面处理；长度；执行标准	钢管；镀锌钢管；无缝钢管；脚手架钢管	钢管抱箍；带牙钢管加工件；不锈钢管箍；管卡	P0	high	钢管候选跨原材料、加工件、抱箍和接头，必须按实物功能拆。
金属材料	无缝钢管	solidify	钢管	作为钢管族的类型规则，类型=无缝；不要单独按规格建族	外径；壁厚；长度；材质；执行标准；表面处理	无缝钢管；无缝碳钢管	钢管抱箍；钢管加工件；不锈钢管箍	P1	high	无缝钢管样例集中在金属材料/钢管，差异为钢管类型和规格。
金属材料	钢板	split	钢板；钢板加工件；钢板起重钳；标识字牌；彩钢板	原材料钢板/花纹钢板归钢板；定制/冲孔/镂空字体归加工件或标识；钢板起重钳归吊具；彩钢板按建筑装饰/板材单列	厚度；尺寸；材质；表面处理；花纹；加工方式；执行标准	钢板；花纹钢板；冲孔不锈钢板；彩钢板	钢板加工件；钢板起重钳；钢板镂空字体	P0	high	钢板候选跨原材料、加工件、吊具和标识字牌，不能直接合并。
金属材料	花纹钢板	solidify	钢板	作为钢板族的表面/类型规则，类型=花纹钢板；厚度和尺寸区分SKU	厚度；尺寸；表面花纹；材质；执行标准；长度宽度	花纹钢板；防滑花纹钢板	钢板起重钳；钢板加工件；镂空字体	P1	high	花纹钢板样例均为金属钢板，花纹是类型属性。
金属材料	钢	attribute_only	不单独建族	钢只作为材质属性或完整族名前缀，必须按完整名归入钢管、钢板、角钢、槽钢、钢筋等	材质牌号；表面处理；规格；执行标准	钢管；钢板；角钢；槽钢；钢筋	钢；不锈钢阀门；钢制铭牌；钢丝绳	P0	high	单字钢不能回答物料是什么，且横跨金属材料、阀门、标识、索具等多个领域。
金属材料	不锈钢	attribute_only	不单独建族	不锈钢只作为材质属性；按完整实物名归入合页、阀门、接头、铭牌、钢板等族	材质牌号；表面处理；规格；执行标准	不锈钢合页；不锈钢球阀；不锈钢接头；不锈钢铭牌	不锈钢	P0	high	不锈钢候选覆盖大量不同实物族，是材质而不是物料族。
金属材料	镀锌	attribute_only	不单独建族	镀锌作为表面处理属性，完整实物名决定族；镀锌角钢归角钢，镀锌钢管归钢管	表面处理；镀锌方式；规格；材质；执行标准	镀锌角钢；镀锌角铁；镀锌钢管；镀锌骑马卡	镀锌	P1	high	镀锌描述表面处理，不能单独建族。
