item_code	item_name	sku_name	required_specs	optional_specs	item_group	top_group	sub_group	material_family	stock_uom	purchase_uom	conversion_factor	estimated_rate	currency	price_basis	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_item_codes	merged_count	governance_note	updated_at
ADMIN-000012	床垫	床垫 单人	尺寸：单人；材质：海绵		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	150.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	床垫	ADMIN-000012 床垫 床垫 单人 尺寸：单人；材质：海绵 床垫 生活后勤			active	standard	auto_select_allowed	ADMIN-000012	1		2026-07-08
ADMIN-000014	电视支架	电视支架 70寸	适配尺寸：70寸		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	75.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	70寸电视支架；电视支架	ADMIN-000014 电视支架 电视支架 70寸 适配尺寸：70寸 70寸电视支架；电视支架 生活后勤			active	standard	auto_select_allowed	ADMIN-000014	1		2026-07-08
ADMIN-000015	电源线	电源线 C13 1.8米	接口：C13；长度：1.8米		电气电料/电线电缆	电气电料	电线电缆	电线电缆	条	条	1	20.17	CNY	按C13电源线1.8米市场均价10元/条估价；按物料族“电线电缆”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=2.0171；金额按四舍五入保留两位小数。	打印机电源线	ADMIN-000015 电源线 电源线 C13 1.8米 接口：C13；长度：1.8米 打印机电源线 电线电缆			active	standard	auto_select_allowed	ADMIN-000015	1		2026-07-08
ADMIN-000016	数据线	数据线 USB 2.0 A-B 1.5m	接口：USB 2.0 A-B；长度：1.5m		电气电料/电线电缆	电气电料	电线电缆	电线电缆	条	条	1	16.14	CNY	按USB2.0 A-B数据线1.5米市场均价8元/条估价；按物料族“电线电缆”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=2.0171；金额按四舍五入保留两位小数。	打印机数据线	ADMIN-000016 数据线 数据线 USB 2.0 A-B 1.5m 接口：USB 2.0 A-B；长度：1.5m 打印机数据线 电线电缆			active	standard	auto_select_allowed	ADMIN-000016	1		2026-07-08
ADMIN-000017	办公椅	办公椅 网布	材质：网布		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	把	把	1	112.50	CNY	按把估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	多功能办公椅；办公椅；得力多功能椅子	ADMIN-000017 办公椅 办公椅 网布 材质：网布 多功能办公椅；办公椅；得力多功能椅子 生活后勤 得力	得力		active	standard	auto_select_allowed	ADMIN-000017	1		2026-07-08
ADMIN-000018	鼠标	鼠标 无线	连接方式：无线		清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	个	个	1	45.00	CNY	按个计价；按物料族“办公设备”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=0.9000；金额按四舍五入保留两位小数。	小米鼠标；鼠标；无线鼠标	ADMIN-000018 鼠标 鼠标 无线 连接方式：无线 小米鼠标；鼠标；无线鼠标 办公设备 小米	小米		active	standard	auto_select_allowed	ADMIN-000018	1		2026-07-08
ADMIN-000021	除甲醛机	除甲醛机	用途：办公室；适用面积：100-200㎡		清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	个	个	1	450.00	CNY	按个计价；按物料族“办公设备”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=0.9000；金额按四舍五入保留两位小数。	办公室除甲醛机；除甲醛机	ADMIN-000021 除甲醛机 除甲醛机 用途：办公室；适用面积：100-200㎡ 办公室除甲醛机；除甲醛机 办公设备			active	standard	auto_select_allowed	ADMIN-000021	1		2026-07-08
ADMIN-000022	多功能打印机	惠普多功能打印机	品牌：惠普；类型：激光多功能一体机		清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	台	台	1	1800.00	CNY	按台计价；按物料族“办公设备”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=0.9000；金额按四舍五入保留两位小数。	惠普多功能打印机；多功能打印机	ADMIN-000022 多功能打印机 惠普多功能打印机 品牌：惠普；类型：激光多功能一体机 惠普多功能打印机；多功能打印机 办公设备 惠普	惠普		active	standard	auto_select_allowed	ADMIN-000022	1		2026-07-08
ADMIN-000023	办公桌	办公桌 1.2米*0.6米 板式	尺寸：1.2米*0.6米；材质：板式		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	张	张	1	150.00	CNY	按张估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	办公桌	ADMIN-000023 办公桌 办公桌 1.2米*0.6米 板式 尺寸：1.2米*0.6米；材质：板式 办公桌 生活后勤			active	standard	auto_select_allowed	ADMIN-000023	1		2026-07-08
ADMIN-000026	棉布	棉布 大块	规格：大块		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	千克	千克	1	7.13	CNY	按kg计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	大块棉布	ADMIN-000026 棉布 棉布 大块 规格：大块 大块棉布 清洁工具			active	standard	auto_select_allowed	ADMIN-000026	1		2026-07-08
ADMIN-000027	吸油棉	吸油棉 400*500*5mm	规格/尺寸：400*500*5mm；材质：PP		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	张	张	1	2.38	CNY	按张计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	40*50*5吸油棉；吸油棉；5MM厚吸油棉；吸油棉40cm*50cm*5mm	ADMIN-000027 吸油棉 吸油棉 400*500*5mm 规格/尺寸：400*500*5mm；材质：PP 40*50*5吸油棉；吸油棉；5MM厚吸油棉；吸油棉40cm*50cm*5mm 清洁工具			active	standard	auto_select_allowed	ADMIN-000027	1		2026-07-08
ADMIN-000029	拖把	拖把	规格：通用；材质：棉布		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	7.13	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	拖把	ADMIN-000029 拖把 拖把 规格：通用；材质：棉布 拖把 清洁工具			active	standard	auto_select_allowed	ADMIN-000029	1		2026-07-08
ADMIN-000030	抹布	抹布 通用	材质：棉质		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	条	条	1	1.43	CNY	按条计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	抹布	ADMIN-000030 抹布 抹布 通用 材质：棉质 抹布 清洁工具			active	standard	auto_select_allowed	ADMIN-000030	1		2026-07-08
ADMIN-000031	垃圾桶	垃圾桶 120L	容量：120L；材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	38.00	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	大垃圾桶；垃圾桶120L	ADMIN-000031 垃圾桶 垃圾桶 120L 容量：120L；材质：塑料 大垃圾桶；垃圾桶120L 清洁工具			active	standard	auto_select_allowed	ADMIN-000031	1		2026-07-08
ADMIN-000032	垃圾袋	垃圾袋 50*60cm	尺寸：50*60cm		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	0.29	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	垃圾袋子；垃圾袋	ADMIN-000032 垃圾袋 垃圾袋 50*60cm 尺寸：50*60cm 垃圾袋子；垃圾袋 清洁用品			active	standard	auto_select_allowed	ADMIN-000032	1		2026-07-08
ADMIN-000033	电视支架	电视支架 通用	适配尺寸：通用		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	60.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	电视支架	ADMIN-000033 电视支架 电视支架 通用 适配尺寸：通用 电视支架 生活后勤			active	standard	auto_select_allowed	ADMIN-000033	1		2026-07-08
ADMIN-000034	垃圾袋	垃圾袋 100*120cm	尺寸：100*120cm		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	0.49	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	100*120垃圾袋；垃圾袋；垃圾袋1m*1.2m	ADMIN-000034 垃圾袋 垃圾袋 100*120cm 尺寸：100*120cm 100*120垃圾袋；垃圾袋；垃圾袋1m*1.2m 清洁用品			active	standard	auto_select_allowed	ADMIN-000034	1		2026-07-08
ADMIN-000035	扫把	扫把 竹 大	材质：竹；规格：大		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	7.13	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	大号竹扫把；竹扫把；大竹扫把	ADMIN-000035 扫把 扫把 竹 大 材质：竹；规格：大 大号竹扫把；竹扫把；大竹扫把 清洁工具			active	standard	auto_select_allowed	ADMIN-000035	1		2026-07-08
ADMIN-000037	扫把	扫把 通用	材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	3.80	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	扫把	ADMIN-000037 扫把 扫把 通用 材质：塑料 扫把 清洁工具			active	standard	auto_select_allowed	ADMIN-000037	1		2026-07-08
ADMIN-000038	扫斗	塑料扫斗	材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	2.38	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	扫斗	ADMIN-000038 扫斗 塑料扫斗 材质：塑料 扫斗 清洁工具			active	standard	auto_select_allowed	ADMIN-000038	1		2026-07-08
ADMIN-000043	抹布	抹布 白色大块	颜色：白色；尺寸：大块；材质：棉质		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	千克	千克	1	9.50	CNY	按kg计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	大块白抹布；抹布	ADMIN-000043 抹布 抹布 白色大块 颜色：白色；尺寸：大块；材质：棉质 大块白抹布；抹布 清洁工具			active	standard	auto_select_allowed	ADMIN-000043	1		2026-07-08
ADMIN-000044	喷壶	喷壶 1L	容量：1L；材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	3.80	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	喷壶	ADMIN-000044 喷壶 喷壶 1L 容量：1L；材质：塑料 喷壶 清洁工具			active	standard	auto_select_allowed	ADMIN-000044	1		2026-07-08
ADMIN-000045	喷壶	喷壶 2L	容量：2L；材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	5.70	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	2升喷壶；喷壶	ADMIN-000045 喷壶 喷壶 2L 容量：2L；材质：塑料 2升喷壶；喷壶 清洁工具			active	standard	auto_select_allowed	ADMIN-000045	1		2026-07-08
ADMIN-000048	烟灰桶	不锈钢烟灰桶	材质：304不锈钢		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	19.00	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	不锈钢烟灰桶；烟灰桶	ADMIN-000048 烟灰桶 不锈钢烟灰桶 材质：304不锈钢 不锈钢烟灰桶；烟灰桶 清洁工具			active	standard	auto_select_allowed	ADMIN-000048	1		2026-07-08
ADMIN-000050	油污清洗剂	油污清洗剂 重油污 30KG/桶	包装：30KG/桶；用途：重油污		化工胶粘涂料/清洗脱漆剂	化工胶粘涂料	清洗脱漆剂	清洗脱漆剂	桶	桶	1	196.50	CNY	按1桶30KG估价；按物料族“清洗脱漆剂”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=1.3100；金额按四舍五入保留两位小数。	重油污除污剂30KG;重油污除污剂;除污剂	ADMIN-000050 油污清洗剂 油污清洗剂 重油污 30KG/桶 包装：30KG/桶；用途：重油污 重油污除污剂30KG;重油污除污剂;除污剂 清洗脱漆剂			active	standard	auto_select_allowed	ADMIN-000050	1		2026-07-08
ADMIN-000051	洗洁精	洗洁精 3KG	容量：3KG		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	桶	桶	1	27.30	CNY	按3KG桶装估价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	洗洁精3KG；洗洁精	ADMIN-000051 洗洁精 洗洁精 3KG 容量：3KG 洗洁精3KG；洗洁精 清洁用品			active	standard	auto_select_allowed	ADMIN-000051	1		2026-07-08
ADMIN-000053	牙膏	牙膏	规格：通用		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	支	支	1	7.50	CNY	按支估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。		ADMIN-000053 牙膏 牙膏 规格：通用 生活后勤			active	standard	auto_select_allowed	ADMIN-000053	1		2026-07-08
ADMIN-000054	拖鞋	拖鞋 均码	材质：EVA；尺码：均码		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	双	双	1	11.25	CNY	按双估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。		ADMIN-000054 拖鞋 拖鞋 均码 材质：EVA；尺码：均码 生活后勤			active	standard	auto_select_allowed	ADMIN-000054	1		2026-07-08
ADMIN-000056	垃圾桶	垃圾桶 30L	容量：30L；材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	14.25	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	垃圾桶	ADMIN-000056 垃圾桶 垃圾桶 30L 容量：30L；材质：塑料 垃圾桶 清洁工具			active	standard	auto_select_allowed	ADMIN-000056	1		2026-07-08
ADMIN-000057	记号笔	记号笔 红色	颜色：红色；类型：油性		清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	支	1	2.00	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	红色油性记号笔；油性记号笔	ADMIN-000057 记号笔 记号笔 红色 颜色：红色；类型：油性 红色油性记号笔；油性记号笔 办公文具			active	standard	auto_select_allowed	ADMIN-000057	1		2026-07-08
ADMIN-000058	垃圾袋	垃圾袋 黑色 120*140cm	尺寸：120*140cm；颜色：黑色		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	0.98	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	黑色垃圾袋1.2米*1.4米；垃圾袋	ADMIN-000058 垃圾袋 垃圾袋 黑色 120*140cm 尺寸：120*140cm；颜色：黑色 黑色垃圾袋1.2米*1.4米；垃圾袋 清洁用品			active	standard	auto_select_allowed	ADMIN-000058	1		2026-07-08
ADMIN-000060	洗洁精	洗洁精 2KG	容量：2KG		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	桶	桶	1	19.50	CNY	按2KG桶装估价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	洗洁精2KG；洗洁精	ADMIN-000060 洗洁精 洗洁精 2KG 容量：2KG 洗洁精2KG；洗洁精 清洁用品			active	standard	auto_select_allowed	ADMIN-000060	1		2026-07-08
ADMIN-000061	铅笔	铅笔 2B	规格：2B		清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	支	1	0.50	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	2B铅笔；铅笔	ADMIN-000061 铅笔 铅笔 2B 规格：2B 2B铅笔；铅笔 办公文具			active	standard	auto_select_allowed	ADMIN-000061	1		2026-07-08
ADMIN-000062	吸油棉	复合吸油棉 400*500*5mm	规格/尺寸：400*500*5mm；材质：复合		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	张	张	1	2.85	CNY	按张计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	复合吸油棉400*500*5；复合吸油棉	ADMIN-000062 吸油棉 复合吸油棉 400*500*5mm 规格/尺寸：400*500*5mm；材质：复合 复合吸油棉400*500*5；复合吸油棉 清洁工具			active	standard	auto_select_allowed	ADMIN-000062	1		2026-07-08
ADMIN-000064	圆桌	圆桌 1.5米折叠	直径：1.5米；结构：折叠；材质：木质		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	张	张	1	187.50	CNY	按张估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	1.5米折叠圆桌；折叠圆桌	ADMIN-000064 圆桌 圆桌 1.5米折叠 直径：1.5米；结构：折叠；材质：木质 1.5米折叠圆桌；折叠圆桌 生活后勤			active	standard	auto_select_allowed	ADMIN-000064	1		2026-07-08
ADMIN-000065	办公桌	办公桌 1.4米*0.6米 实木	尺寸：1.4米*0.6米；材质：实木		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	张	张	1	300.00	CNY	按张估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	实木办公桌1.4米*0.6米；办公桌	ADMIN-000065 办公桌 办公桌 1.4米*0.6米 实木 尺寸：1.4米*0.6米；材质：实木 实木办公桌1.4米*0.6米；办公桌 生活后勤			active	standard	auto_select_allowed	ADMIN-000065	1		2026-07-08
ADMIN-000066	吸尘器	手持吸尘器	类型：手持；额定功率：100W		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	台	台	1	142.50	CNY	按台计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	小米大功率手持吸尘器；手持吸尘器	ADMIN-000066 吸尘器 手持吸尘器 类型：手持；额定功率：100W 小米大功率手持吸尘器；手持吸尘器 清洁工具 小米	小米		active	standard	auto_select_allowed	ADMIN-000066	1		2026-07-08
ADMIN-000067	垃圾桶	垃圾桶 240L 带盖带轮	容量：240L；配置：带盖、带轮；材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	71.25	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	240L垃圾桶带盖轮	ADMIN-000067 垃圾桶 垃圾桶 240L 带盖带轮 容量：240L；配置：带盖、带轮；材质：塑料 240L垃圾桶带盖轮 清洁工具			active	standard	auto_select_allowed	ADMIN-000067	1		2026-07-08
ADMIN-000070	记录本	记录本 A4	规格：A4；页数：50页		清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	本	本	1	10.00	CNY	按本计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	设备维修保养记录本	ADMIN-000070 记录本 记录本 A4 规格：A4；页数：50页 设备维修保养记录本 办公文具			active	standard	auto_select_allowed	ADMIN-000070	1		2026-07-08
ADMIN-000072	扫把	扫把 塑料	材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	4.75	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	塑料扫把；扫把	ADMIN-000072 扫把 扫把 塑料 材质：塑料 塑料扫把；扫把 清洁工具			active	standard	auto_select_allowed	ADMIN-000072	1		2026-07-08
CHEM-000001	聚氨酯堵漏剂	聚氨酯堵漏剂 20kg/桶	规格/口径：20kg/桶		化工胶粘涂料/胶粘密封	化工胶粘涂料	胶粘密封	胶粘密封	桶	桶	1	300.00	CNY	按桶计价，每桶20kg，200元；按物料族“胶粘密封”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=1.5000；金额按四舍五入保留两位小数。	聚氨酯堵漏剂20KG；聚氨酯堵漏剂	CHEM-000001 聚氨酯堵漏剂 聚氨酯堵漏剂 20kg/桶 规格/口径：20kg/桶 聚氨酯堵漏剂20KG；聚氨酯堵漏剂 胶粘密封			active	standard	auto_select_allowed	CHEM-000001	1		2026-07-08
