item_code	item_name	sku_name	required_specs	optional_specs	item_group	top_group	sub_group	material_family	stock_uom	purchase_uom	conversion_factor	estimated_rate	currency	price_basis	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_item_codes	merged_count	governance_note	updated_at	v05_original_item_name	v05_type_id	v05_standard_name	v05_decision	v05_review	v05_validation	v05_attribute_template	v05_issues
ADMIN-000012	床垫	床垫 单人	尺寸：单人；材质：海绵		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	150.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	床垫	ADMIN-000012 床垫 床垫 单人 尺寸：单人；材质：海绵 床垫 生活后勤			active	needs_review	auto_select_allowed	ADMIN-000012	1		2026-07-08	床垫			keep：床垫与床品、被子边界清晰。	名称覆盖完整，类型边界总体清晰；但水壶/热水壶合并后目标定义将SKU断言为非电热，属无依据推断，需修正。	review_required		该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。
ADMIN-000014	电视支架	电视支架 70寸	适配尺寸：70寸		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	75.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	70寸电视支架；电视支架	ADMIN-000014 电视支架 电视支架 70寸 适配尺寸：70寸 70寸电视支架；电视支架 生活后勤			active	needs_review	auto_select_allowed	ADMIN-000014	1		2026-07-08	电视支架			keep：电视支架按适配尺寸区分。	名称覆盖完整，类型边界总体清晰；但水壶/热水壶合并后目标定义将SKU断言为非电热，属无依据推断，需修正。	review_required		该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。
ADMIN-000015	电源线	电源线 C13 1.8米	接口：C13；长度：1.8米		电气电料/电线电缆	电气电料	电线电缆	电线电缆	条	条	1	20.17	CNY	按C13电源线1.8米市场均价10元/条估价；按物料族“电线电缆”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=2.0171；金额按四舍五入保留两位小数。	打印机电源线	ADMIN-000015 电源线 电源线 C13 1.8米 接口：C13；长度：1.8米 打印机电源线 电线电缆			active	standard	auto_select_allowed	ADMIN-000015	1	v0.5标准类型：MT-73BAC5D3B018；旧名称：电源线	2026-07-08	电源线	MT-73BAC5D3B018	电源线	keep：现有名称即标准类型名称。	电线电缆族类型和名称决定均无实质问题。	frozen	接口(required)；长度(required)	
ADMIN-000016	数据线	数据线 USB 2.0 A-B 1.5m	接口：USB 2.0 A-B；长度：1.5m		电气电料/电线电缆	电气电料	电线电缆	电线电缆	条	条	1	16.14	CNY	按USB2.0 A-B数据线1.5米市场均价8元/条估价；按物料族“电线电缆”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=2.0171；金额按四舍五入保留两位小数。	打印机数据线	ADMIN-000016 数据线 数据线 USB 2.0 A-B 1.5m 接口：USB 2.0 A-B；长度：1.5m 打印机数据线 电线电缆			active	standard	auto_select_allowed	ADMIN-000016	1	v0.5标准类型：MT-B738E1F78153；旧名称：数据线	2026-07-08	数据线	MT-B738E1F78153	数据线	keep：现有名称即标准类型名称。	电线电缆族类型和名称决定均无实质问题。	frozen	接口(required)；长度(optional)	
ADMIN-000017	办公椅	办公椅 网布	材质：网布		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	把	把	1	112.50	CNY	按把估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	多功能办公椅；办公椅；得力多功能椅子	ADMIN-000017 办公椅 办公椅 网布 材质：网布 多功能办公椅；办公椅；得力多功能椅子 生活后勤 得力	得力		active	needs_review	auto_select_allowed	ADMIN-000017	1		2026-07-08	办公椅			keep：办公椅用途明确。	名称覆盖完整，类型边界总体清晰；但水壶/热水壶合并后目标定义将SKU断言为非电热，属无依据推断，需修正。	review_required		该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。
ADMIN-000018	鼠标	鼠标 无线	连接方式：无线		清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	个	个	1	45.00	CNY	按个计价；按物料族“办公设备”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=0.9000；金额按四舍五入保留两位小数。	小米鼠标；鼠标；无线鼠标	ADMIN-000018 鼠标 鼠标 无线 连接方式：无线 小米鼠标；鼠标；无线鼠标 办公设备 小米	小米		active	standard	auto_select_allowed	ADMIN-000018	1	v0.5标准类型：MT-83BB20A2CD56；旧名称：鼠标	2026-07-08	鼠标	MT-83BB20A2CD56	鼠标	keep：设备类型稳定，连接方式和品牌归SKU属性。	设备类型稳定，品牌/类型/连接方式归SKU属性。	frozen	连接方式(required)；品牌(optional)	
ADMIN-000021	除甲醛机	除甲醛机	用途：办公室；适用面积：100-200㎡		清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	个	个	1	450.00	CNY	按个计价；按物料族“办公设备”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=0.9000；金额按四舍五入保留两位小数。	办公室除甲醛机；除甲醛机	ADMIN-000021 除甲醛机 除甲醛机 用途：办公室；适用面积：100-200㎡ 办公室除甲醛机；除甲醛机 办公设备			active	standard	auto_select_allowed	ADMIN-000021	1	v0.5标准类型：MT-4ECDC4BBE3A7；旧名称：除甲醛机	2026-07-08	除甲醛机	MT-4ECDC4BBE3A7	除甲醛机	keep：功能设备独立，用途和适用面积归SKU属性。	设备类型稳定，品牌/类型/连接方式归SKU属性。	frozen	用途(optional)；适用面积(optional)	
ADMIN-000022	多功能打印机	惠普多功能打印机	品牌：惠普；类型：激光多功能一体机		清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	台	台	1	1800.00	CNY	按台计价；按物料族“办公设备”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=0.9000；金额按四舍五入保留两位小数。	惠普多功能打印机；多功能打印机	ADMIN-000022 多功能打印机 惠普多功能打印机 品牌：惠普；类型：激光多功能一体机 惠普多功能打印机；多功能打印机 办公设备 惠普	惠普		active	standard	auto_select_allowed	ADMIN-000022	1	v0.5标准类型：MT-C5316F0242F6；旧名称：多功能打印机	2026-07-08	多功能打印机	MT-C5316F0242F6	多功能打印机	keep：设备类型稳定，品牌和类型归SKU属性。	设备类型稳定，品牌/类型/连接方式归SKU属性。	frozen	品牌(optional)；类型(optional)	
ADMIN-000023	办公桌	办公桌 1.2米*0.6米 板式	尺寸：1.2米*0.6米；材质：板式		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	张	张	1	150.00	CNY	按张估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	办公桌	ADMIN-000023 办公桌 办公桌 1.2米*0.6米 板式 尺寸：1.2米*0.6米；材质：板式 办公桌 生活后勤			active	needs_review	auto_select_allowed	ADMIN-000023	1		2026-07-08	办公桌			keep：办公桌用途明确。	名称覆盖完整，类型边界总体清晰；但水壶/热水壶合并后目标定义将SKU断言为非电热，属无依据推断，需修正。	review_required		该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。
ADMIN-000026	擦拭布	棉布 大块	规格：大块		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	千克	千克	1	7.13	CNY	按kg计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	大块棉布	ADMIN-000026 棉布 棉布 大块 规格：大块 大块棉布 清洁工具			active	standard	auto_select_allowed	ADMIN-000026	1	v0.5标准类型：MT-23A67A242AA9；旧名称：棉布	2026-07-08	棉布	MT-23A67A242AA9	擦拭布	merge：棉布在清洁场景中作为擦拭布原料/物料，合并进入擦拭布。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	材质(optional)；颜色(optional)；口径(optional)；供应形态(optional)	
ADMIN-000027	吸油棉	吸油棉 400*500*5mm	规格/尺寸：400*500*5mm；材质：PP		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	张	张	1	2.38	CNY	按张计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	40*50*5吸油棉；吸油棉；5MM厚吸油棉；吸油棉40cm*50cm*5mm	ADMIN-000027 吸油棉 吸油棉 400*500*5mm 规格/尺寸：400*500*5mm；材质：PP 40*50*5吸油棉；吸油棉；5MM厚吸油棉；吸油棉40cm*50cm*5mm 清洁工具			active	standard	auto_select_allowed	ADMIN-000027	1	v0.5标准类型：MT-D26523FE2B24；旧名称：吸油棉	2026-07-08	吸油棉	MT-D26523FE2B24	吸油棉	keep：名称稳定；材质和尺寸作为SKU属性。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	材质(optional)；口径(optional)	
ADMIN-000029	拖把	拖把	规格：通用；材质：棉布		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	7.13	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	拖把	ADMIN-000029 拖把 拖把 规格：通用；材质：棉布 拖把 清洁工具			active	standard	auto_select_allowed	ADMIN-000029	1	v0.5标准类型：MT-310EA2FFDD11；旧名称：拖把	2026-07-08	拖把	MT-310EA2FFDD11	拖把	keep：名称稳定；拖头材质和规格作为SKU属性。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	材质(optional)；规格(optional)	
ADMIN-000030	擦拭布	抹布 通用	材质：棉质		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	条	条	1	1.43	CNY	按条计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	抹布	ADMIN-000030 抹布 抹布 通用 材质：棉质 抹布 清洁工具			active	standard	auto_select_allowed	ADMIN-000030	1	v0.5标准类型：MT-23A67A242AA9；旧名称：抹布	2026-07-08	抹布	MT-23A67A242AA9	擦拭布	merge：抹布属于擦拭布类成品，合并进入擦拭布。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	材质(optional)；颜色(optional)；口径(optional)；供应形态(optional)	
ADMIN-000031	垃圾桶	垃圾桶 120L	容量：120L；材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	38.00	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	大垃圾桶；垃圾桶120L	ADMIN-000031 垃圾桶 垃圾桶 120L 容量：120L；材质：塑料 大垃圾桶；垃圾桶120L 清洁工具			active	standard	auto_select_allowed	ADMIN-000031	1	v0.5标准类型：MT-40FB771794DF；旧名称：垃圾桶	2026-07-08	垃圾桶	MT-40FB771794DF	垃圾桶	keep：名称稳定；容量、材质和配置作为SKU属性。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	容量(optional)；材质(optional)；配置(optional)	
ADMIN-000032	垃圾袋	垃圾袋 50*60cm	尺寸：50*60cm		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	0.29	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	垃圾袋子；垃圾袋	ADMIN-000032 垃圾袋 垃圾袋 50*60cm 尺寸：50*60cm 垃圾袋子；垃圾袋 清洁用品			active	standard	auto_select_allowed	ADMIN-000032	1	v0.5标准类型：MT-05F875FF3F83；旧名称：垃圾袋	2026-07-08	垃圾袋	MT-05F875FF3F83	垃圾袋	keep：类型稳定，尺寸/厚度/颜色归SKU属性。	清洁用品类型定义清晰，容量/尺寸等属性覆盖完整。	frozen	口径(required)；厚度(optional)；颜色(optional)	
ADMIN-000033	电视支架	电视支架 通用	适配尺寸：通用		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	60.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	电视支架	ADMIN-000033 电视支架 电视支架 通用 适配尺寸：通用 电视支架 生活后勤			active	needs_review	auto_select_allowed	ADMIN-000033	1		2026-07-08	电视支架			keep：电视支架按适配尺寸区分。	名称覆盖完整，类型边界总体清晰；但水壶/热水壶合并后目标定义将SKU断言为非电热，属无依据推断，需修正。	review_required		该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。
ADMIN-000034	垃圾袋	垃圾袋 100*120cm	尺寸：100*120cm		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	0.49	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	100*120垃圾袋；垃圾袋；垃圾袋1m*1.2m	ADMIN-000034 垃圾袋 垃圾袋 100*120cm 尺寸：100*120cm 100*120垃圾袋；垃圾袋；垃圾袋1m*1.2m 清洁用品			active	standard	auto_select_allowed	ADMIN-000034	1	v0.5标准类型：MT-05F875FF3F83；旧名称：垃圾袋	2026-07-08	垃圾袋	MT-05F875FF3F83	垃圾袋	keep：类型稳定，尺寸/厚度/颜色归SKU属性。	清洁用品类型定义清晰，容量/尺寸等属性覆盖完整。	frozen	口径(required)；厚度(optional)；颜色(optional)	
ADMIN-000035	扫把	扫把 竹 大	材质：竹；规格：大		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	7.13	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	大号竹扫把；竹扫把；大竹扫把	ADMIN-000035 扫把 扫把 竹 大 材质：竹；规格：大 大号竹扫把；竹扫把；大竹扫把 清洁工具			active	standard	auto_select_allowed	ADMIN-000035	1	v0.5标准类型：MT-C50DDC6D6023；旧名称：扫把	2026-07-08	扫把	MT-C50DDC6D6023	扫把	keep：名称稳定；材质和规格作为SKU属性。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	材质(optional)；规格(optional)	
ADMIN-000037	扫把	扫把 通用	材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	3.80	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	扫把	ADMIN-000037 扫把 扫把 通用 材质：塑料 扫把 清洁工具			active	standard	auto_select_allowed	ADMIN-000037	1	v0.5标准类型：MT-C50DDC6D6023；旧名称：扫把	2026-07-08	扫把	MT-C50DDC6D6023	扫把	keep：名称稳定；材质和规格作为SKU属性。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	材质(optional)；规格(optional)	
ADMIN-000038	扫斗	塑料扫斗	材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	2.38	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	扫斗	ADMIN-000038 扫斗 塑料扫斗 材质：塑料 扫斗 清洁工具			active	standard	auto_select_allowed	ADMIN-000038	1	v0.5标准类型：MT-8AB95E4FF3A2；旧名称：扫斗	2026-07-08	扫斗	MT-8AB95E4FF3A2	扫斗	keep：名称稳定且商品结构清晰。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	材质(optional)	
ADMIN-000043	擦拭布	抹布 白色大块	颜色：白色；尺寸：大块；材质：棉质		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	千克	千克	1	9.50	CNY	按kg计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	大块白抹布；抹布	ADMIN-000043 抹布 抹布 白色大块 颜色：白色；尺寸：大块；材质：棉质 大块白抹布；抹布 清洁工具			active	standard	auto_select_allowed	ADMIN-000043	1	v0.5标准类型：MT-23A67A242AA9；旧名称：抹布	2026-07-08	抹布	MT-23A67A242AA9	擦拭布	merge：抹布属于擦拭布类成品，合并进入擦拭布。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	材质(optional)；颜色(optional)；口径(optional)；供应形态(optional)	
ADMIN-000044	喷壶	喷壶 1L	容量：1L；材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	3.80	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	喷壶	ADMIN-000044 喷壶 喷壶 1L 容量：1L；材质：塑料 喷壶 清洁工具			active	standard	auto_select_allowed	ADMIN-000044	1	v0.5标准类型：MT-D0EF7E647AA6；旧名称：喷壶	2026-07-08	喷壶	MT-D0EF7E647AA6	喷壶	keep：名称稳定；容量和材质作为SKU属性。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	容量(optional)；材质(optional)	
ADMIN-000045	喷壶	喷壶 2L	容量：2L；材质：塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	5.70	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	2升喷壶；喷壶	ADMIN-000045 喷壶 喷壶 2L 容量：2L；材质：塑料 2升喷壶；喷壶 清洁工具			active	standard	auto_select_allowed	ADMIN-000045	1	v0.5标准类型：MT-D0EF7E647AA6；旧名称：喷壶	2026-07-08	喷壶	MT-D0EF7E647AA6	喷壶	keep：名称稳定；容量和材质作为SKU属性。	清洁工具族各类型和名称决定均基于证据，边界清晰，属性模板足以区分现有采购SKU。	frozen	容量(optional)；材质(optional)	
